word sentid sentpos wlen surp entropy entred
how 0 0 3 10.851533889770508 8.118135452270508 0
did 0 1 3 5.11507511138916 6.845577716827393 1.2725577354431152
bill 0 2 4 17.388042449951172 4.033536911010742 2.8120408058166504
claim 0 3 5 14.338902473449707 7.279931545257568 0
that 0 4 4 1.9060442447662354 5.4069905281066895 1.872941017150879
today 0 5 5 12.971122741699219 6.572958946228027 0
is 0 6 2 7.019347190856934 3.5827691555023193 2.990189790725708
his 0 7 3 9.642610549926758 2.64296555519104 0.9398036003112793
last 0 8 4 9.072178840637207 8.996111869812012 0
day 0 9 3 6.500107765197754 9.924871444702148 0
? 0 10 1 4.548905849456787 6.886276721954346 3.0385947227478027
how 1 0 3 10.851533889770508 8.118135452270508 0
does 1 1 4 6.275064945220947 6.845577716827393 1.2725577354431152
<unk> 1 2 5 6.08062744140625 3.7725672721862793 3.0730104446411133
claim 1 3 5 13.693424224853516 6.260369777679443 0
that 1 4 4 1.2721009254455566 4.796823501586914 1.4635462760925293
he 1 5 2 5.7277631759643555 6.503138065338135 0
has 1 6 3 5.351182460784912 7.938060760498047 0
a 1 7 1 4.595111846923828 7.674428462982178 0.26363229751586914
boat 1 8 4 13.41750431060791 10.471328735351562 0
and 1 9 3 6.097836017608643 7.765772819519043 2.7055559158325195
a 1 10 1 5.180586338043213 8.506888389587402 0
car 1 11 3 8.459628105163574 11.00241470336914 0
? 1 12 1 4.7175068855285645 7.305238246917725 3.697176456451416
how 2 0 3 10.851533889770508 8.118135452270508 0
did 2 1 3 5.11507511138916 6.845577716827393 1.2725577354431152
she 2 2 3 9.717599868774414 4.033536911010742 2.8120408058166504
think 2 3 5 10.185209274291992 8.317610740661621 0
that 2 4 4 2.7507996559143066 5.891786575317383 2.4258241653442383
she 2 5 3 6.461325645446777 6.530182361602783 0
bought 2 6 6 12.198400497436523 7.8019118309021 0
beans 2 7 5 14.253969192504883 5.822261333465576 1.9796504974365234
and 2 8 3 3.8024652004241943 6.852993965148926 0
<unk> 2 9 5 3.728546619415283 9.802605628967285 0
? 2 10 1 5.061032772064209 7.681120872497559 2.1214847564697266
how 3 0 3 10.851533889770508 8.118135452270508 0
does 3 1 4 6.275064945220947 6.845577716827393 1.2725577354431152
<unk> 3 2 5 6.08062744140625 3.7725672721862793 3.0730104446411133
claim 3 3 5 13.693424224853516 6.260369777679443 0
that 3 4 4 1.2721009254455566 4.796823501586914 1.4635462760925293
he 3 5 2 5.7277631759643555 6.503138065338135 0
can 3 6 3 7.733055591583252 7.938060760498047 0
make 3 7 4 6.806690692901611 8.344047546386719 0
<unk> 3 8 5 7.377209663391113 4.562894821166992 3.7811527252197266
and 3 9 3 8.486111640930176 5.511360168457031 0
espresso 3 10 8 19.5157413482666 8.170625686645508 0
? 3 11 1 4.0563483238220215 6.4966254234313965 1.6740002632141113
how 4 0 3 10.851533889770508 8.118135452270508 0
does 4 1 4 6.275064945220947 6.845577716827393 1.2725577354431152
she 4 2 3 8.636774063110352 3.7725672721862793 3.0730104446411133
know 4 3 4 8.302912712097168 7.8212480545043945 0
that 4 4 4 3.4989986419677734 5.370680332183838 2.4505677223205566
she 4 5 3 7.109339237213135 6.78831672668457 0
failed 4 6 6 12.130756378173828 7.993706703186035 0
the 4 7 3 3.262413263320923 6.771759986877441 1.2219467163085938
test 4 8 4 12.328938484191895 10.355611801147461 0
? 4 9 1 2.9047091007232666 8.833723068237305 1.5218887329101562
how 5 0 3 10.851533889770508 8.118135452270508 0
did 5 1 3 5.11507511138916 6.845577716827393 1.2725577354431152
he 5 2 2 7.643073558807373 4.033536911010742 2.8120408058166504
say 5 3 3 10.022884368896484 8.090598106384277 0
that 5 4 4 1.7393481731414795 4.757813930511475 3.3327841758728027
he 5 5 2 5.344515323638916 6.15455961227417 0
went 5 6 4 9.445718765258789 7.9830708503723145 0
to 5 7 2 5.320766448974609 7.340143203735352 0.6429276466369629
school 5 8 6 8.886281967163086 6.431181907653809 0.908961296081543
? 5 9 1 6.255163669586182 7.291910171508789 0
how 6 0 3 10.851533889770508 8.118135452270508 0
does 6 1 4 6.275064945220947 6.845577716827393 1.2725577354431152
will 6 2 4 13.81796932220459 3.7725672721862793 3.0730104446411133
think 6 3 5 11.864099502563477 6.487574100494385 0
that 6 4 4 2.043428421020508 5.53422212600708 0.9533519744873047
bill 6 5 4 14.625351905822754 6.113612651824951 0
is 6 6 2 5.892397880554199 6.885899066925049 0
pregnant 6 7 8 16.951927185058594 3.431760311126709 3.45413875579834
in 6 8 2 7.430487632751465 4.1150665283203125 0
class 6 9 5 11.29766845703125 5.928418159484863 0
? 6 10 1 4.498420238494873 7.240955352783203 0
how 7 0 3 10.851533889770508 8.118135452270508 0
did 7 1 3 5.11507511138916 6.845577716827393 1.2725577354431152
<unk> 7 2 5 5.67498779296875 4.033536911010742 2.8120408058166504
claim 7 3 5 13.48238754272461 6.816237926483154 0
that 7 4 4 1.2646946907043457 4.860578536987305 1.9556593894958496
he 7 5 2 5.499269008636475 6.678185939788818 0
fell 7 6 4 12.127095222473145 8.078597068786621 0
asleep 7 7 6 5.674715995788574 7.166961193084717 0.9116358757019043
in 7 8 2 4.30037260055542 6.155868053436279 1.0110931396484375
class 7 9 5 14.216361045837402 5.196048259735107 0.9598197937011719
today 7 10 5 13.12946891784668 7.375354290008545 0
? 7 11 1 4.822248935699463 6.639452934265137 0.7359013557434082
how 8 0 3 10.851533889770508 8.118135452270508 0
does 8 1 4 6.275064945220947 6.845577716827393 1.2725577354431152
someone 8 2 7 9.301876068115234 3.7725672721862793 3.0730104446411133
who 8 3 3 6.159336566925049 0.2011462152004242 3.571421056985855
speaks 8 4 6 13.473921775817871 6.341383457183838 0
a 8 5 1 5.8031816482543945 6.778947353363037 0
<unk> 8 6 5 4.8021135330200195 10.797796249389648 0
language 8 7 8 8.075770378112793 7.437927722930908 3.3598685264587402
solve 8 8 5 17.748842239379883 7.131993770599365 0.30593395233154297
by 8 9 2 7.619640350341797 5.208653926849365 1.92333984375
<unk> 8 10 5 5.932476997375488 6.442956924438477 0
analysis 8 11 8 14.940884590148926 4.035307884216309 2.407649040222168
? 8 12 1 3.204720973968506 6.64587926864624 0
how 9 0 3 10.851533889770508 8.118135452270508 0
does 9 1 4 6.275064945220947 6.845577716827393 1.2725577354431152
<unk> 9 2 5 6.08062744140625 3.7725672721862793 3.0730104446411133
claim 9 3 5 13.693424224853516 6.260369777679443 0
that 9 4 4 1.2721009254455566 4.796823501586914 1.4635462760925293
she 9 5 3 8.10049819946289 6.503138065338135 0
sleeps 9 6 6 14.817261695861816 8.011313438415527 0
with 9 7 4 4.725890636444092 3.673567771911621 4.337745666503906
a 9 8 1 5.2458672523498535 5.175900936126709 0
teddy 9 9 5 14.94525146484375 10.348564147949219 0
bear 9 10 4 6.162834644317627 7.713366985321045 2.635197162628174
? 9 11 1 5.243799686431885 6.7183518409729 0.9950151443481445
how 10 0 3 10.851533889770508 8.118135452270508 0
does 10 1 4 6.275064945220947 6.845577716827393 1.2725577354431152
someone 10 2 7 9.301876068115234 3.7725672721862793 3.0730104446411133
who 10 3 3 6.159336566925049 0.2011462152004242 3.571421056985855
speaks 10 4 6 13.473921775817871 6.341383457183838 0
a 10 5 1 5.8031816482543945 6.778947353363037 0
<unk> 10 6 5 4.8021135330200195 10.797796249389648 0
language 10 7 8 8.075770378112793 7.437927722930908 3.3598685264587402
know 10 8 4 14.880240440368652 7.131993770599365 0.30593395233154297
beans 10 9 5 19.65389060974121 5.11988639831543 2.0121073722839355
and 10 10 3 5.052303314208984 6.416788101196289 0
<unk> 10 11 5 3.380049705505371 9.666770935058594 0
? 10 12 1 3.404979944229126 7.015435695648193 2.6513352394104004
how 11 0 3 10.851533889770508 8.118135452270508 0
