word sentid sentpos wlen surp entropy entred
what 0 0 4 5.295872688293457 7.369866847991943 0
did 0 1 3 7.655991554260254 4.860300540924072 2.509566307067871
they 0 2 4 7.9035563468933105 6.998918056488037 0
not 0 3 3 6.790514945983887 8.702616691589355 0
like 0 4 4 9.183222770690918 8.785680770874023 0
that 0 5 4 4.674355506896973 7.989360332489014 0.7963204383850098
<unk> 0 6 5 4.764177322387695 8.809184074401855 0
likes 0 7 5 13.789602279663086 6.654369831085205 2.1548142433166504
and 0 8 3 6.2289042472839355 6.9967827796936035 0
accounts 0 9 8 14.322344779968262 8.266719818115234 0
? 0 10 1 4.367657661437988 6.985826015472412 1.2808938026428223
who 1 0 3 6.69193172454834 7.369866847991943 0
did 1 1 3 6.034698009490967 7.106926918029785 0.2629399299621582
she 1 2 3 9.3943452835083 5.682627201080322 1.424299716949463
hear 1 3 4 11.992782592773438 7.140125751495361 0
a 1 4 1 5.962090015411377 4.822935104370117 2.317190647125244
rumour 1 5 6 13.401006698608398 10.245471000671387 0
about 1 6 5 4.977266788482666 5.887782573699951 4.3576884269714355
and 1 7 3 9.38122844696045 4.306722164154053 1.5810604095458984
wait 1 8 4 13.766362190246582 6.612937927246094 0
for 1 9 3 4.069170951843262 5.222339153289795 1.3905987739562988
? 1 10 1 2.724724292755127 6.454634666442871 0
what 2 0 4 5.295872688293457 7.369866847991943 0
did 2 1 3 7.655991554260254 4.860300540924072 2.509566307067871
he 2 2 2 7.192022800445557 6.998918056488037 0
hear 2 3 4 11.592084884643555 8.284563064575195 0
that 2 4 4 4.7884931564331055 6.104632377624512 2.1799306869506836
<unk> 2 5 5 5.189823627471924 6.65986442565918 0
ate 2 6 3 16.429752349853516 4.385714530944824 2.2741498947143555
accounts 2 7 8 14.038593292236328 7.199002265930176 0
and 2 8 3 5.9950337409973145 6.373258113861084 0.8257441520690918
? 2 9 1 7.093081951141357 8.989023208618164 0
what 3 0 4 5.295872688293457 7.369866847991943 0
did 3 1 3 7.655991554260254 4.860300540924072 2.509566307067871
will 3 2 4 11.881519317626953 6.998918056488037 0
buy 3 3 3 9.25975513458252 7.731157302856445 0
? 3 4 1 4.102678298950195 7.5087809562683105 0.22237634658813477
what 4 0 4 5.295872688293457 7.369866847991943 0
did 4 1 3 7.655991554260254 4.860300540924072 2.509566307067871
you 4 2 3 7.959738254547119 6.998918056488037 0
read 4 3 4 6.428417682647705 8.272185325622559 0
about 4 4 5 5.186957359313965 6.984030246734619 1.2881550788879395
and 4 5 3 8.67969799041748 3.8671658039093018 3.1168644428253174
announce 4 6 8 17.132272720336914 6.86742639541626 0
about 4 7 5 7.74086332321167 5.147732257843018 1.7196941375732422
? 4 8 1 5.514108657836914 5.175746917724609 0
what 5 0 4 5.295872688293457 7.369866847991943 0
did 5 1 3 7.655991554260254 4.860300540924072 2.509566307067871
he 5 2 2 7.192022800445557 6.998918056488037 0
announce 5 3 8 16.211091995239258 8.284563064575195 0
a 5 4 1 5.062708377838135 6.388215065002441 1.896347999572754
plan 5 5 4 5.726987361907959 10.485773086547852 0
and 5 6 3 6.90592098236084 7.295285224914551 3.190487861633301
speak 5 7 5 12.150944709777832 9.697481155395508 0
? 5 8 1 6.574534893035889 6.7712178230285645 2.9262633323669434
which 6 0 5 8.698447227478027 7.369866847991943 0
subjects 6 1 8 15.341472625732422 7.770947456359863 0
did 6 2 3 6.358631134033203 6.88597297668457 0.884974479675293
she 6 3 3 10.918866157531738 6.937855243682861 0
not 6 4 3 6.52759313583374 8.054309844970703 0
study 6 5 5 11.917757987976074 8.090487480163574 0
for 6 6 3 5.276698112487793 7.0448102951049805 1.0456771850585938
or 6 7 2 8.568249702453613 8.151448249816895 0
fail 6 8 4 12.007713317871094 7.980118274688721 0.17132997512817383
the 6 9 3 4.0004048347473145 6.779955863952637 1.200162410736084
test 6 10 4 11.653267860412598 7.956052780151367 0
for 6 11 3 5.82370662689209 8.992209434509277 0
? 6 12 1 5.663265228271484 7.871984481811523 1.120224952697754
what 7 0 4 5.295872688293457 7.369866847991943 0
did 7 1 3 7.655991554260254 4.860300540924072 2.509566307067871
<unk> 7 2 5 4.6405487060546875 6.998918056488037 0
order 7 3 5 13.117653846740723 6.8961501121521 0.1027679443359375
for 7 4 3 5.768803596496582 8.591534614562988 0
me 7 5 2 9.328733444213867 7.877497673034668 0.7140369415283203
and 7 6 3 6.448134422302246 7.554992198944092 0.32250547409057617
borrow 7 7 6 16.073820114135742 7.522650718688965 0.03234148025512695
for 7 8 3 6.793456554412842 7.482518196105957 0.04013252258300781
you 7 9 3 7.301502227783203 7.295691013336182 0.1868271827697754
? 7 10 1 3.708374261856079 7.333920955657959 0
what 8 0 4 5.295872688293457 7.369866847991943 0
does 8 1 4 10.286601066589355 4.860300540924072 2.509566307067871
will 8 2 4 13.312322616577148 6.34572696685791 0
like 8 3 4 9.433149337768555 7.3087239265441895 0
and 8 4 3 7.362534523010254 7.217443943023682 0.09127998352050781
girls 8 5 5 14.143316268920898 8.461294174194336 0
? 8 6 1 5.391829967498779 7.84981107711792 0.611483097076416
what 9 0 4 5.295872688293457 7.369866847991943 0
did 9 1 3 7.655991554260254 4.860300540924072 2.509566307067871
they 9 2 4 7.9035563468933105 6.998918056488037 0
not 9 3 3 6.790514945983887 8.702616691589355 0
like 9 4 4 9.183222770690918 8.785680770874023 0
that 9 5 4 4.674355506896973 7.989360332489014 0.7963204383850098
will 9 6 4 9.58544635772705 8.809184074401855 0
bought 9 7 6 16.234149932861328 7.597042083740234 1.212141990661621
<unk> 9 8 5 5.17686128616333 6.708543300628662 0.8884987831115723
and 9 9 3 6.014108180999756 6.480710983276367 0.22783231735229492
? 9 10 1 7.355414390563965 8.674980163574219 0
what 10 0 4 5.295872688293457 7.369866847991943 0
