word sentid sentpos wlen surp entropy entred
what 0 0 4 5.944672584533691 8.118135452270508 0
did 0 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
they 0 2 4 7.366587162017822 4.736475467681885 0
not 0 3 3 8.618535995483398 8.078311920166016 0
like 0 4 4 5.441103935241699 8.279376983642578 0
that 0 5 4 4.139721393585205 6.103024005889893 2.1763529777526855
<unk> 0 6 5 4.453977584838867 7.632584095001221 0
likes 0 7 5 14.462788581848145 6.755481719970703 0.8771023750305176
and 0 8 3 7.160685062408447 5.808730602264404 0.9467511177062988
accounts 0 9 8 13.900325775146484 7.774991512298584 0
? 0 10 1 6.564692497253418 5.698379993438721 2.0766115188598633
who 1 0 3 7.409207820892334 8.118135452270508 0
did 1 1 3 6.186381816864014 7.692770957946777 0.42536449432373047
she 1 2 3 11.011012077331543 5.110241413116455 2.5825295448303223
hear 1 3 4 14.168716430664062 7.864851951599121 0
a 1 4 1 4.794174671173096 5.731509685516357 2.1333422660827637
rumour 1 5 6 11.681191444396973 10.778216361999512 0
about 1 6 5 2.662184953689575 4.146127700805664 6.632088661193848
and 1 7 3 9.876811981201172 3.08917498588562 1.056952714920044
wait 1 8 4 12.819388389587402 7.3885626792907715 0
for 1 9 3 1.8980485200881958 5.451366901397705 1.9371957778930664
? 1 10 1 6.245871067047119 6.242028713226318 0
what 2 0 4 5.944672584533691 8.118135452270508 0
did 2 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
he 2 2 2 6.699747085571289 4.736475467681885 0
hear 2 3 4 12.191926002502441 7.617629051208496 0
that 2 4 4 3.30903697013855 5.609367370605469 2.0082616806030273
<unk> 2 5 5 4.973597049713135 6.867919445037842 0
ate 2 6 3 16.089860916137695 6.26838493347168 0.5995345115661621
accounts 2 7 8 16.14741325378418 7.566821098327637 0
and 2 8 3 5.287757396697998 6.488869667053223 1.077951431274414
? 2 9 1 5.783743381500244 9.43840217590332 0
what 3 0 4 5.944672584533691 8.118135452270508 0
did 3 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
will 3 2 4 14.805957794189453 4.736475467681885 0
buy 3 3 3 11.672738075256348 6.611227035522461 0
? 3 4 1 6.862080097198486 6.659978866577148 0
what 4 0 4 5.944672584533691 8.118135452270508 0
did 4 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
you 4 2 3 6.188019275665283 4.736475467681885 0
read 4 3 4 10.416988372802734 7.819787502288818 0
about 4 4 5 3.915674924850464 5.969133377075195 1.850654125213623
and 4 5 3 9.375370979309082 3.1084976196289062 2.860635757446289
announce 4 6 8 15.592720031738281 7.216528415679932 0
about 4 7 5 5.425684452056885 4.918798923492432 2.2977294921875
? 4 8 1 7.562599182128906 3.188462972640991 1.7303359508514404
what 5 0 4 5.944672584533691 8.118135452270508 0
did 5 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
he 5 2 2 6.699747085571289 4.736475467681885 0
announce 5 3 8 15.811614036560059 7.617629051208496 0
a 5 4 1 4.8710618019104 4.996931076049805 2.6206979751586914
plan 5 5 4 5.484349250793457 10.467915534973145 0
and 5 6 3 7.207180500030518 5.165793418884277 5.302122116088867
speak 5 7 5 13.28219223022461 8.221384048461914 0
? 5 8 1 5.586131572723389 6.46205472946167 1.7593293190002441
which 6 0 5 7.981722354888916 8.118135452270508 0
subjects 6 1 8 15.876842498779297 6.926217555999756 1.191917896270752
did 6 2 3 6.687843322753906 7.317199230194092 0
she 6 3 3 12.902996063232422 4.9385271072387695 2.3786721229553223
not 6 4 3 7.917343616485596 8.0084867477417 0
study 6 5 5 14.809475898742676 7.889708042144775 0.11877870559692383
for 6 6 3 6.922216415405273 6.12073278427124 1.7689752578735352
or 6 7 2 12.219971656799316 6.431985855102539 0
fail 6 8 4 16.22052764892578 8.553420066833496 0
the 6 9 3 3.246967315673828 6.826040267944336 1.7273797988891602
test 6 10 4 11.807743072509766 10.135238647460938 0
for 6 11 3 5.5008111000061035 9.337075233459473 0.7981634140014648
? 6 12 1 7.428443908691406 6.997635841369629 2.3394393920898438
what 7 0 4 5.944672584533691 8.118135452270508 0
did 7 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
<unk> 7 2 5 5.352260112762451 4.736475467681885 0
order 7 3 5 13.051207542419434 6.646955490112305 0
for 7 4 3 4.830909729003906 7.645951747894287 0
me 7 5 2 9.035897254943848 6.466432571411133 1.1795191764831543
and 7 6 3 6.176029205322266 6.27082633972168 0.19560623168945312
borrow 7 7 6 16.729272842407227 7.088254451751709 0
for 7 8 3 6.814013957977295 6.671543598175049 0.41671085357666016
you 7 9 3 8.162543296813965 7.082725524902344 0
? 7 10 1 2.4866154193878174 6.663102626800537 0.41962289810180664
what 8 0 4 5.944672584533691 8.118135452270508 0
does 8 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
will 8 2 4 14.245795249938965 4.3821868896484375 0
like 8 3 4 9.574835777282715 6.4892425537109375 0
and 8 4 3 8.208528518676758 5.990602970123291 0.4986395835876465
girls 8 5 5 14.568537712097168 7.523688316345215 0
? 8 6 1 4.378399848937988 6.92864990234375 0.5950384140014648
what 9 0 4 5.944672584533691 8.118135452270508 0
did 9 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
they 9 2 4 7.366587162017822 4.736475467681885 0
not 9 3 3 8.618535995483398 8.078311920166016 0
like 9 4 4 5.441103935241699 8.279376983642578 0
that 9 5 4 4.139721393585205 6.103024005889893 2.1763529777526855
will 9 6 4 10.117445945739746 7.632584095001221 0
bought 9 7 6 16.891799926757812 6.441017150878906 1.1915669441223145
<unk> 9 8 5 5.0228729248046875 5.854850769042969 0.5861663818359375
and 9 9 3 6.457273006439209 6.805239200592041 0
? 9 10 1 5.266284942626953 7.944396495819092 0
what 10 0 4 5.944672584533691 8.118135452270508 0
did 10 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
he 10 2 2 6.699747085571289 4.736475467681885 0
hear 10 3 4 12.191926002502441 7.617629051208496 0
that 10 4 4 3.30903697013855 5.609367370605469 2.0082616806030273
<unk> 10 5 5 4.973597049713135 6.867919445037842 0
ate 10 6 3 16.089860916137695 6.26838493347168 0.5995345115661621
and 10 7 3 6.604737281799316 7.566821098327637 0
story 10 8 5 11.109073638916016 9.584720611572266 0
? 10 9 1 2.339747428894043 7.893935680389404 1.6907849311828613
which 11 0 5 7.981722354888916 8.118135452270508 0
things 11 1 6 12.533063888549805 6.926217555999756 1.191917896270752
did 11 2 3 5.653481960296631 6.794345855712891 0.13187170028686523
she 11 3 3 10.479684829711914 5.101637363433838 1.6927084922790527
solve 11 4 5 14.888330459594727 8.079692840576172 0
and 11 5 3 8.105698585510254 5.0467095375061035 3.0329833030700684
give 11 6 4 9.502839088439941 8.502270698547363 0
? 11 7 1 10.282095909118652 4.797360897064209 3.7049098014831543
what 12 0 4 5.944672584533691 8.118135452270508 0
did 12 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
he 12 2 2 6.699747085571289 4.736475467681885 0
announce 12 3 8 15.811614036560059 7.617629051208496 0
a 12 4 1 4.8710618019104 4.996931076049805 2.6206979751586914
plan 12 5 4 5.484349250793457 10.467915534973145 0
and 12 6 3 7.207180500030518 5.165793418884277 5.302122116088867
solve 12 7 5 14.191866874694824 8.221384048461914 0
by 12 8 2 9.140686988830566 5.106540679931641 3.1148433685302734
? 12 9 1 8.559037208557129 6.6918110847473145 0
what 13 0 4 5.944672584533691 8.118135452270508 0
does 13 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
<unk> 13 2 5 5.607186317443848 4.3821868896484375 0
like 13 3 4 9.121652603149414 6.396690845489502 0
and 13 4 3 9.191505432128906 5.559210300445557 0.8374805450439453
mothers 13 5 7 17.94305992126465 7.217754364013672 0
? 13 6 1 3.7497098445892334 7.239729881286621 0
what 14 0 4 5.944672584533691 8.118135452270508 0
did 14 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
she 14 2 3 9.01684856414795 4.736475467681885 0
hear 14 3 4 12.411511421203613 7.8515706062316895 0
about 14 4 5 5.7601447105407715 5.683304309844971 2.1682662963867188
me 14 5 2 11.119050979614258 3.6883797645568848 1.994924545288086
and 14 6 3 6.392758846282959 6.414947986602783 0
take 14 7 4 9.957613945007324 6.843746185302734 0
about 14 8 5 6.364902496337891 6.931528091430664 0
you 14 9 3 9.068376541137695 4.125637054443359 2.8058910369873047
? 14 10 1 3.6346383094787598 7.307682037353516 0
what 15 0 4 5.944672584533691 8.118135452270508 0
did 15 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
<unk> 15 2 5 5.352260112762451 4.736475467681885 0
<unk> 15 3 5 4.226691246032715 6.646955490112305 0
demand 15 4 6 16.059946060180664 6.390542984008789 0.2564125061035156
the 15 5 3 2.715463638305664 6.855616569519043 0
scandalous 15 6 10 17.041959762573242 9.760249137878418 0
rumour 15 7 6 14.498597145080566 9.07328987121582 0.6869592666625977
and 15 8 3 7.137637615203857 4.733755111694336 4.339534759521484
whisper 15 9 7 18.307262420654297 7.048684120178223 0
? 15 10 1 3.7056758403778076 6.57128381729126 0.4774003028869629
what 16 0 4 5.944672584533691 8.118135452270508 0
does 16 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
the 16 2 3 1.6903188228607178 4.3821868896484375 0
unrealistic 16 3 11 14.821988105773926 9.356144905090332 0
brother 16 4 7 14.836553573608398 9.43967342376709 0
like 16 5 4 10.47882080078125 7.26212215423584 2.17755126953125
and 16 6 3 8.416241645812988 5.625018119812012 1.6371040344238281
silly 16 7 5 15.558444023132324 7.317828178405762 0
parties 16 8 7 14.573193550109863 7.5450263023376465 0
? 16 9 1 2.8981642723083496 6.447872638702393 1.097153663635254
what 17 0 4 5.944672584533691 8.118135452270508 0
does 17 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
the 17 2 3 1.6903188228607178 4.3821868896484375 0
<unk> 17 3 5 4.798031806945801 9.356144905090332 0
possibility 17 4 11 17.027912139892578 6.735279560089111 2.6208653450012207
eat 17 5 3 16.37031364440918 6.621268272399902 0.11401128768920898
probable 17 6 8 19.657848358154297 6.641958236694336 0
windows 17 7 7 14.209312438964844 8.750763893127441 0
and 17 8 3 5.039302825927734 7.233205318450928 1.5175585746765137
? 17 9 1 5.247398853302002 9.122664451599121 0
what 18 0 4 5.944672584533691 8.118135452270508 0
does 18 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
the 18 2 3 1.6903188228607178 4.3821868896484375 0
directed 18 3 8 12.087030410766602 9.356144905090332 0
candy 18 4 5 15.83348274230957 8.986113548278809 0.37003135681152344
store 18 5 5 10.762072563171387 8.271170616149902 0.7149429321289062
like 18 6 4 9.637895584106445 8.411029815673828 0
circulating 18 7 11 16.212722778320312 6.422127723693848 1.9889020919799805
salads 18 8 6 17.441194534301758 6.9883270263671875 0
and 18 9 3 4.8563714027404785 6.531773090362549 0.45655393600463867
? 18 10 1 5.476590633392334 10.163253784179688 0
what 19 0 4 5.944672584533691 8.118135452270508 0
did 19 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
the 19 2 3 1.4693931341171265 4.736475467681885 0
expensive 19 3 9 13.66533374786377 9.391677856445312 0
<unk> 19 4 5 3.2526204586029053 10.177568435668945 0
analysis 19 5 8 14.637127876281738 9.288893699645996 0.8886747360229492
not 19 6 3 9.87259292602539 8.52288818359375 0.7660055160522461
like 19 7 4 8.29032039642334 7.1390814781188965 1.3838067054748535
