word sentid sentpos wlen surp entropy entred
how 0 0 3 10.2809476852417 7.369866847991943 0
<unk> 0 1 5 4.130887508392334 7.3731303215026855 0
did 0 2 3 6.910441875457764 5.311925888061523 2.061204433441162
she 0 3 3 10.345436096191406 5.894965171813965 0
say 0 4 3 9.331080436706543 7.69430685043335 0
that 0 5 4 2.7935240268707275 5.853638648986816 1.8406682014465332
he 0 6 2 6.665711879730225 6.658529758453369 0
directed 0 7 8 10.469945907592773 6.013360977172852 0.6451687812805176
the 0 8 3 2.9092295169830322 6.414479732513428 0
movie 0 9 5 9.027532577514648 8.497624397277832 0
that 0 10 4 4.138401985168457 8.18184757232666 0.3157768249511719
i 0 11 1 7.54271125793457 8.04282283782959 0.1390247344970703
saw 0 12 3 4.046328067779541 7.756259918212891 0.2865629196166992
yesterday 0 13 9 15.438036918640137 1.188459038734436 6.567800879478455
? 0 14 1 4.850080490112305 6.220210075378418 0
how 1 0 3 10.2809476852417 7.369866847991943 0
discreet 1 1 8 18.200450897216797 7.3731303215026855 0
did 1 2 3 7.098344802856445 7.087496280670166 0.28563404083251953
<unk> 1 3 5 5.254214286804199 6.012254238128662 1.075242042541504
hire 1 4 4 13.559693336486816 6.5430378913879395 0
an 1 5 2 7.505723476409912 5.199466228485107 1.343571662902832
agent 1 6 5 8.445284843444824 9.520212173461914 0
? 1 7 1 4.219761371612549 7.291101455688477 2.2291107177734375
how 2 0 3 10.2809476852417 7.369866847991943 0
pretty 2 1 6 15.523778915405273 7.3731303215026855 0
does 2 2 4 7.484776496887207 6.691039562225342 0.6820907592773438
<unk> 2 3 5 5.710139751434326 5.208413124084473 1.4826264381408691
like 2 4 4 10.789104461669922 5.430373668670654 0
the 2 5 3 2.9115657806396484 6.897618293762207 0
woman 2 6 5 11.543689727783203 9.363012313842773 0
? 2 7 1 4.890905380249023 5.94377326965332 3.419239044189453
how 3 0 3 10.2809476852417 7.369866847991943 0
difficult 3 1 9 5.963223934173584 7.3731303215026855 0
did 3 2 3 7.9969305992126465 6.498613357543945 0.8745169639587402
he 3 3 2 7.532861232757568 6.7928466796875 0
hear 3 4 4 11.745302200317383 8.565629959106445 0
that 3 5 4 4.6435770988464355 6.080548286437988 2.485081672668457
you 3 6 3 8.521769523620605 6.823945045471191 0
failed 3 7 6 11.395588874816895 7.2249603271484375 0
the 3 8 3 3.4727394580841064 6.511028289794922 0.7139320373535156
test 3 9 4 12.196948051452637 7.530966758728027 0
? 3 10 1 3.2539925575256348 8.575409889221191 0
whose 4 0 5 12.952837944030762 7.369866847991943 0
did 4 1 3 9.023650169372559 10.862100601196289 0
she 4 2 3 10.248833656311035 5.781084060668945 5.081016540527344
say 4 3 3 8.902989387512207 7.688011169433594 0
that 4 4 4 2.368555784225464 5.637079238891602 2.050931930541992
<unk> 4 5 5 4.864080905914307 6.323604583740234 0
eats 4 6 4 18.01421546936035 3.7682626247406006 2.555341958999634
<unk> 4 7 5 5.44589900970459 7.131139278411865 0
? 4 8 1 3.6085264682769775 6.741154670715332 0.3899846076965332
how 5 0 3 10.2809476852417 7.369866847991943 0
<unk> 5 1 5 4.130887508392334 7.3731303215026855 0
did 5 2 3 6.910441875457764 5.311925888061523 2.061204433441162
she 5 3 3 10.345436096191406 5.894965171813965 0
say 5 4 3 9.331080436706543 7.69430685043335 0
that 5 5 4 2.7935240268707275 5.853638648986816 1.8406682014465332
he 5 6 2 6.665711879730225 6.658529758453369 0
announced 5 7 9 14.188009262084961 6.013360977172852 0.6451687812805176
a 5 8 1 5.715996265411377 5.722146987915039 0.2912139892578125
plan 5 9 4 4.508135795593262 10.18668270111084 0
? 5 10 1 9.24030876159668 7.089908599853516 3.096774101257324
how 6 0 3 10.2809476852417 7.369866847991943 0
pretty 6 1 6 15.523778915405273 7.3731303215026855 0
did 6 2 3 7.441306114196777 6.691039562225342 0.6820907592773438
he 6 3 2 7.505560398101807 5.721103191375732 0.9699363708496094
hear 6 4 4 12.521764755249023 7.208332538604736 0
that 6 5 4 4.8298845291137695 4.613565921783447 2.594766616821289
she 6 6 3 8.468021392822266 6.730175495147705 0
read 6 7 4 8.334246635437012 4.567888259887695 2.1622872352600098
the 6 8 3 3.3614284992218018 6.326611042022705 0
<unk> 6 9 5 5.637568473815918 8.078439712524414 0
comics 6 10 6 12.548147201538086 6.022278785705566 2.0561609268188477
? 6 11 1 1.9735578298568726 6.93813943862915 0
what 7 0 4 5.295872688293457 7.369866847991943 0
