word sentid sentpos wlen surp entropy entred
who 0 0 3 7.023520469665527 7.494076728820801 0
did 0 1 3 6.600219249725342 7.280930995941162 0.21314573287963867
he 0 2 2 7.759609699249268 5.508314609527588 1.7726163864135742
hear 0 3 4 10.900030136108398 7.93054723739624 0
that 0 4 4 4.225439071655273 6.082679748535156 1.847867488861084
it 0 5 2 8.197869300842285 8.112500190734863 0
is 0 6 2 6.0883870124816895 7.604864120483398 0.5076360702514648
important 0 7 9 11.956869125366211 3.102619171142578 4.50224494934082
to 0 8 2 5.705362319946289 7.185152530670166 0
see 0 9 3 8.71411418914795 6.650017261505127 0.5351352691650391
? 0 10 1 5.2988080978393555 6.133786201477051 0.5162310600280762
what 1 0 4 4.646332263946533 7.494076728820801 0
is 1 1 2 8.114246368408203 4.656248092651367 2.8378286361694336
it 1 2 2 10.945256233215332 5.9535908699035645 0
important 1 3 9 12.841314315795898 6.917700290679932 0
that 1 4 4 3.123840570449829 7.330084323883057 0
<unk> 1 5 5 3.756855010986328 8.832645416259766 0
buys 1 6 4 17.979990005493164 7.939629077911377 0.8930163383483887
? 1 7 1 3.8103585243225098 7.670673847198486 0.2689552307128906
who 2 0 3 7.023520469665527 7.494076728820801 0
did 2 1 3 6.600219249725342 7.280930995941162 0.21314573287963867
he 2 2 2 7.759609699249268 5.508314609527588 1.7726163864135742
hear 2 3 4 10.900030136108398 7.93054723739624 0
that 2 4 4 4.225439071655273 6.082679748535156 1.847867488861084
it 2 5 2 8.197869300842285 8.112500190734863 0
is 2 6 2 6.0883870124816895 7.604864120483398 0.5076360702514648
important 2 7 9 11.956869125366211 3.102619171142578 4.50224494934082
that 2 8 4 2.548203945159912 7.185152530670166 0
<unk> 2 9 5 4.452862739562988 8.542258262634277 0
knows 2 10 5 10.236607551574707 8.010258674621582 0.5319995880126953
? 2 11 1 5.084653377532959 6.469132423400879 1.5411262512207031
where 3 0 5 9.771787643432617 7.494076728820801 0
did 3 1 3 8.164347648620605 7.194744110107422 0.2993326187133789
<unk> 3 2 5 5.456354141235352 5.840871334075928 1.3538727760314941
tell 3 3 4 10.637710571289062 7.408730506896973 0
you 3 4 3 7.285231113433838 6.654845237731934 0.7538852691650391
that 3 5 4 3.005201578140259 6.576117038726807 0.07872819900512695
she 3 6 3 9.371332168579102 8.157102584838867 0
went 3 7 4 9.299399375915527 7.838995933532715 0.31810665130615234
? 3 8 1 4.519641399383545 7.446305751800537 0.39269018173217773
what 4 0 4 4.646332263946533 7.494076728820801 0
did 4 1 3 8.411282539367676 4.656248092651367 2.8378286361694336
he 4 2 2 6.399943828582764 6.182130336761475 0
hear 4 3 4 9.978096008300781 8.1671724319458 0
that 4 4 4 4.48761510848999 5.951956272125244 2.2152161598205566
<unk> 4 5 5 5.179538726806641 7.771873474121094 0
does 4 6 4 9.014263153076172 7.267302989959717 0.504570484161377
not 4 7 3 6.834585666656494 5.912684917449951 1.3546180725097656
do 4 8 2 7.87380313873291 8.331095695495605 0
? 4 9 1 4.362310409545898 6.338183879852295 1.9929118156433105
what 5 0 4 4.646332263946533 7.494076728820801 0
did 5 1 3 8.411282539367676 4.656248092651367 2.8378286361694336
he 5 2 2 6.399943828582764 6.182130336761475 0
hear 5 3 4 9.978096008300781 8.1671724319458 0
that 5 4 4 4.48761510848999 5.951956272125244 2.2152161598205566
<unk> 5 5 5 5.179538726806641 7.771873474121094 0
thinks 5 6 6 15.439558029174805 7.267302989959717 0.504570484161377
their 5 7 5 9.333150863647461 6.039706707000732 1.2275962829589844
car 5 8 3 14.030991554260254 8.100565910339355 0
needed 5 9 6 12.575739860534668 8.475643157958984 0
to 5 10 2 5.043213367462158 7.52117919921875 0.9544639587402344
do 5 11 2 5.754935264587402 8.288877487182617 0
? 5 12 1 4.787852764129639 7.25211763381958 1.036759853363037
who 6 0 3 7.023520469665527 7.494076728820801 0
is 6 1 2 6.811715602874756 7.280930995941162 0.21314573287963867
it 6 2 2 14.917895317077637 1.7505085468292236 5.5304224491119385
probable 6 3 8 15.688427925109863 6.613256454467773 0
that 6 4 4 2.52667498588562 5.97096586227417 0.6422905921936035
<unk> 6 5 5 3.913423538208008 7.949423313140869 0
helped 6 6 6 13.250410079956055 7.862559795379639 0.08686351776123047
? 6 7 1 8.07179069519043 6.7201104164123535 1.1424493789672852
what 7 0 4 4.646332263946533 7.494076728820801 0
did 7 1 3 8.411282539367676 4.656248092651367 2.8378286361694336
they 7 2 4 5.392889022827148 6.182130336761475 0
not 7 3 3 8.83035659790039 8.247363090515137 0
like 7 4 4 7.052525520324707 8.354930877685547 0
that 7 5 4 4.058950901031494 6.103992462158203 2.2509384155273438
you 7 6 3 9.624051094055176 8.097906112670898 0
read 7 7 4 7.411587715148926 7.434013843536377 0.6638922691345215
that 7 8 4 4.03874397277832 6.288428783416748 1.145585060119629
<unk> 7 9 5 4.945976734161377 7.8982253074646 0
is 7 10 2 8.48409366607666 7.305353164672852 0.592872142791748
trying 7 11 6 14.776738166809082 2.093322992324829 5.2120301723480225
to 7 12 2 3.8613414764404297 6.803241729736328 0
give 7 13 4 7.563169002532959 8.778661727905273 0
you 7 14 3 5.375414848327637 6.381699085235596 2.3969626426696777
? 7 15 1 5.185295581817627 5.881548881530762 0.500150203704834
who 8 0 3 7.023520469665527 7.494076728820801 0
did 8 1 3 6.600219249725342 7.280930995941162 0.21314573287963867
they 8 2 4 7.848258972167969 5.508314609527588 1.7726163864135742
