word sentid sentpos wlen surp entropy entred
who 0 0 3 7.409207820892334 8.118135452270508 0
did 0 1 3 6.186381816864014 7.692770957946777 0.42536449432373047
he 0 2 2 8.810099601745605 5.110241413116455 2.5825295448303223
hear 0 3 4 13.346656799316406 7.9330830574035645 0
that 0 4 4 3.505258798599243 5.758015155792236 2.175067901611328
it 0 5 2 7.392257213592529 7.140240669250488 0
is 0 6 2 4.935889720916748 7.186856269836426 0
important 0 7 9 12.781423568725586 2.9805102348327637 4.206346035003662
to 0 8 2 4.141542911529541 6.068487644195557 0
see 0 9 3 7.925431728363037 6.227449893951416 0
? 0 10 1 8.796358108520508 2.8061835765838623 3.4212663173675537
what 1 0 4 5.944672584533691 8.118135452270508 0
is 1 1 2 9.727497100830078 0.2607751488685608 7.857360303401947
it 1 2 2 7.6858906745910645 3.6511788368225098 0
important 1 3 9 11.072857856750488 5.893378257751465 0
that 1 4 4 3.028775453567505 6.098695278167725 0
<unk> 1 5 5 4.662240505218506 7.127614498138428 0
buys 1 6 4 17.9891300201416 5.918816566467285 1.2087979316711426
? 1 7 1 7.85647439956665 6.2841291427612305 0
who 2 0 3 7.409207820892334 8.118135452270508 0
did 2 1 3 6.186381816864014 7.692770957946777 0.42536449432373047
he 2 2 2 8.810099601745605 5.110241413116455 2.5825295448303223
hear 2 3 4 13.346656799316406 7.9330830574035645 0
that 2 4 4 3.505258798599243 5.758015155792236 2.175067901611328
it 2 5 2 7.392257213592529 7.140240669250488 0
is 2 6 2 4.935889720916748 7.186856269836426 0
important 2 7 9 12.781423568725586 2.9805102348327637 4.206346035003662
that 2 8 4 3.033615827560425 6.068487644195557 0
<unk> 2 9 5 4.933528900146484 6.905112266540527 0
knows 2 10 5 10.557168960571289 6.010736465454102 0.8943758010864258
? 2 11 1 5.920645236968994 5.74745512008667 0.26328134536743164
where 3 0 5 9.8583345413208 8.118135452270508 0
did 3 1 3 8.676942825317383 4.958200454711914 3.1599349975585938
<unk> 3 2 5 5.517983913421631 4.200262069702148 0.7579383850097656
tell 3 3 4 11.386347770690918 5.979484558105469 0
you 3 4 3 6.37008810043335 5.783757209777832 0.19572734832763672
that 3 5 4 1.656238317489624 5.072534561157227 0.7112226486206055
she 3 6 3 7.348189353942871 7.38912296295166 0
went 3 7 4 10.142230987548828 7.626488208770752 0
? 3 8 1 7.2417311668396 7.428222179412842 0.19826602935791016
what 4 0 4 5.944672584533691 8.118135452270508 0
did 4 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
he 4 2 2 6.699747085571289 4.736475467681885 0
hear 4 3 4 12.191926002502441 7.617629051208496 0
that 4 4 4 3.30903697013855 5.609367370605469 2.0082616806030273
<unk> 4 5 5 4.973597049713135 6.867919445037842 0
does 4 6 4 11.63510799407959 6.26838493347168 0.5995345115661621
not 4 7 3 6.665290355682373 4.710956573486328 1.5574283599853516
do 4 8 2 7.58316707611084 7.781196594238281 0
? 4 9 1 7.400305271148682 3.9361608028411865 3.8450357913970947
what 5 0 4 5.944672584533691 8.118135452270508 0
did 5 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
he 5 2 2 6.699747085571289 4.736475467681885 0
hear 5 3 4 12.191926002502441 7.617629051208496 0
that 5 4 4 3.30903697013855 5.609367370605469 2.0082616806030273
<unk> 5 5 5 4.973597049713135 6.867919445037842 0
thinks 5 6 6 14.96533489227295 6.26838493347168 0.5995345115661621
their 5 7 5 9.622649192810059 5.647650718688965 0.6207342147827148
car 5 8 3 10.709181785583496 10.34973430633545 0
needed 5 9 6 10.963343620300293 8.03861141204834 2.3111228942871094
to 5 10 2 5.109172821044922 6.220374584197998 1.8182368278503418
do 5 11 2 6.763901710510254 7.790916442871094 0
? 5 12 1 7.3537702560424805 4.152270793914795 3.638645648956299
who 6 0 3 7.409207820892334 8.118135452270508 0
is 6 1 2 7.123002052307129 7.692770957946777 0.42536449432373047
it 6 2 2 10.472254753112793 1.4023830890655518 6.290387868881226
probable 6 3 8 15.5916748046875 5.928019046783447 0
that 6 4 4 0.72462397813797 3.1317920684814453 2.796226978302002
<unk> 6 5 5 5.266900062561035 6.101768493652344 0
helped 6 6 6 14.200703620910645 6.124279499053955 0
? 6 7 1 12.069868087768555 6.687502861022949 0
what 7 0 4 5.944672584533691 8.118135452270508 0
did 7 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
they 7 2 4 7.366587162017822 4.736475467681885 0
not 7 3 3 8.618535995483398 8.078311920166016 0
like 7 4 4 5.441103935241699 8.279376983642578 0
that 7 5 4 4.139721393585205 6.103024005889893 2.1763529777526855
you 7 6 3 9.272706031799316 7.632584095001221 0
read 7 7 4 10.372164726257324 8.0785493850708 0
that 7 8 4 4.154367923736572 6.386152744293213 1.692396640777588
<unk> 7 9 5 5.391055583953857 6.795105934143066 0
is 7 10 2 11.393924713134766 5.350622177124023 1.444483757019043
trying 7 11 6 14.251328468322754 2.204625368118286 3.1459968090057373
to 7 12 2 3.7292158603668213 5.358269691467285 0
give 7 13 4 7.262228012084961 8.764425277709961 0
you 7 14 3 6.334178924560547 4.082638263702393 4.681787014007568
? 7 15 1 7.751134872436523 4.545661449432373 0
who 8 0 3 7.409207820892334 8.118135452270508 0
did 8 1 3 6.186381816864014 7.692770957946777 0.42536449432373047
they 8 2 4 9.767091751098633 5.110241413116455 2.5825295448303223
not 8 3 3 8.18173599243164 8.340721130371094 0
like 8 4 4 7.244292259216309 8.4324951171875 0
that 8 5 4 4.188619613647461 6.489687442779541 1.942807674407959
it 8 6 2 8.32720947265625 8.251112937927246 0
is 8 7 2 6.296170711517334 6.656980514526367 1.594132423400879
probable 8 8 8 15.838011741638184 2.922037124633789 3.734943389892578
that 8 9 4 1.3187505006790161 4.263865947723389 0
<unk> 8 10 5 5.211627006530762 6.055572509765625 0
met 8 11 3 11.2578763961792 6.107542037963867 0
? 8 12 1 12.483024597167969 0.74549400806427 5.362048029899597
who 9 0 3 7.409207820892334 8.118135452270508 0
is 9 1 2 7.123002052307129 7.692770957946777 0.42536449432373047
it 9 2 2 10.472254753112793 1.4023830890655518 6.290387868881226
probable 9 3 8 15.5916748046875 5.928019046783447 0
that 9 4 4 0.72462397813797 3.1317920684814453 2.796226978302002
the 9 5 3 2.303600549697876 6.101768493652344 0
account 9 6 7 12.042065620422363 10.22421932220459 0
is 9 7 2 3.4249963760375977 6.505548477172852 3.7186708450317383
waiting 9 8 7 14.135766983032227 4.025371551513672 2.4801769256591797
for 9 9 3 2.1844964027404785 6.242921829223633 0
? 9 10 1 6.389952182769775 6.6121063232421875 0
who 10 0 3 7.409207820892334 8.118135452270508 0
did 10 1 3 6.186381816864014 7.692770957946777 0.42536449432373047
they 10 2 4 9.767091751098633 5.110241413116455 2.5825295448303223
not 10 3 3 8.18173599243164 8.340721130371094 0
like 10 4 4 7.244292259216309 8.4324951171875 0
that 10 5 4 4.188619613647461 6.489687442779541 1.942807674407959
it 10 6 2 8.32720947265625 8.251112937927246 0
is 10 7 2 6.296170711517334 6.656980514526367 1.594132423400879
important 10 8 9 13.48452091217041 2.922037124633789 3.734943389892578
to 10 9 2 4.330422878265381 6.041308879852295 0
