word sentid sentpos wlen surp entropy entred
who 0 0 3 6.941471099853516 7.742798805236816 0
was 0 1 3 5.288585662841797 7.922473907470703 0
that 0 2 4 5.983265399932861 5.34467887878418 2.5777950286865234
quipped 0 3 7 19.326507568359375 8.242350578308105 0
about 0 4 5 4.368664741516113 6.381941795349121 1.8604087829589844
<unk> 0 5 5 3.162296772003174 7.200210094451904 0
analysis 0 6 8 16.011993408203125 6.065451145172119 1.1347589492797852
funny 0 7 5 15.820362091064453 5.915461540222168 0.14998960494995117
? 0 8 1 4.730639934539795 7.071667194366455 0
whom 1 0 4 6.603260517120361 7.742798805236816 0
were 1 1 4 1.6113334894180298 6.11871337890625 1.6240854263305664
two 1 2 3 11.270360946655273 2.243539810180664 3.875173568725586
rumours 1 3 7 17.66096305847168 8.846578598022461 0
about 1 4 5 4.673315048217773 6.4704508781433105 2.3761277198791504
waiting 1 5 7 13.91138744354248 7.349981307983398 0
? 1 6 1 1.8984357118606567 6.0724358558654785 1.27754545211792
who 2 0 3 6.941471099853516 7.742798805236816 0
does 2 1 4 8.105086326599121 7.922473907470703 0
that 2 2 4 3.4425477981567383 5.845062732696533 2.07741117477417
wears 2 3 5 15.119425773620605 8.139640808105469 0
extravagant 2 4 11 16.185739517211914 6.986809730529785 1.1528310775756836
rings 2 5 5 10.974345207214355 9.913697242736816 0
make 2 6 4 10.06507396697998 6.492140769958496 3.4215564727783203
the 2 7 3 3.3645763397216797 8.651924133300781 0
plan 2 8 4 10.177825927734375 9.561603546142578 0
unrealistic 2 9 11 14.86064624786377 8.639605522155762 0.9219980239868164
? 2 10 1 4.580069065093994 7.293054103851318 1.3465514183044434
whom 3 0 4 6.603260517120361 7.742798805236816 0
loaned 3 1 6 19.984296798706055 6.11871337890625 1.6240854263305664
that 3 2 4 5.891491889953613 6.667379379272461 0
<unk> 3 3 5 4.9428324699401855 7.78105354309082 0
heard 3 4 5 14.007831573486328 5.4811248779296875 2.299928665161133
the 3 5 3 3.003033399581909 6.638449668884277 0
claim 3 6 5 13.281914710998535 9.393636703491211 0
a 3 7 1 6.446345806121826 5.888829231262207 3.504807472229004
trumpet 3 8 7 18.19713020324707 9.655107498168945 0
to 3 9 2 7.509537696838379 7.692036151885986 1.963071346282959
you 3 10 3 8.5270357131958 8.220549583435059 0
? 3 11 1 3.063364028930664 7.335958480834961 0.8845911026000977
who 4 0 3 6.941471099853516 7.742798805236816 0
is 4 1 2 6.647213935852051 7.922473907470703 0
that 4 2 4 5.1028289794921875 5.1013288497924805 2.8211450576782227
is 4 3 2 6.516533851623535 8.114731788635254 0
a 4 4 1 5.544766902923584 5.5253801345825195 2.5893516540527344
teacher 4 5 7 13.874476432800293 10.652190208435059 0
unlikely 4 6 8 14.897427558898926 6.060361385345459 4.5918288230896
? 4 7 1 2.9804203510284424 6.68571138381958 0
whom 5 0 4 6.603260517120361 7.742798805236816 0
does 5 1 4 8.278924942016602 6.11871337890625 1.6240854263305664
one 5 2 3 7.054447650909424 4.480825424194336 1.637887954711914
story 5 3 5 6.889474391937256 9.247467994689941 0
about 5 4 5 4.347456455230713 7.35801362991333 1.8894543647766113
claim 5 5 5 14.55255126953125 7.776472568511963 0
the 5 6 3 3.787768602371216 6.503275394439697 1.2731971740722656
possibility 5 7 11 13.40621280670166 9.27944564819336 0
is 5 8 2 6.206814765930176 4.22254753112793 5.05689811706543
unrealistic 5 9 11 17.6035099029541 2.914606809616089 1.3079407215118408
? 5 10 1 5.062633514404297 4.4702863693237305 0
what 6 0 4 6.0709757804870605 7.742798805236816 0
was 6 1 3 5.338454246520996 4.518370151519775 3.224428653717041
that 6 2 4 4.209628105163574 5.272134304046631 0
she 6 3 3 9.0849027633667 7.857704162597656 0
likely 6 4 6 11.408798217773438 8.25146198272705 0
heard 6 5 5 9.698470115661621 9.045095443725586 0
true 6 6 4 12.910846710205078 6.505433082580566 2.5396623611450195
? 6 7 1 4.078869342803955 8.316415786743164 0
who 7 0 3 6.941471099853516 7.742798805236816 0
was 7 1 3 5.288585662841797 7.922473907470703 0
that 7 2 4 5.983265399932861 5.34467887878418 2.5777950286865234
knows 7 3 5 14.096429824829102 8.242350578308105 0
someone 7 4 7 9.64044189453125 6.652793884277344 1.5895566940307617
probable 7 5 8 24.270679473876953 0.5748263001441956 6.077967584133148
? 7 6 1 4.196780204772949 7.115925312042236 0
who 8 0 3 6.941471099853516 7.742798805236816 0
does 8 1 4 8.105086326599121 7.922473907470703 0
that 8 2 4 3.4425477981567383 5.845062732696533 2.07741117477417
got 8 3 3 10.51075267791748 8.139640808105469 0
a 8 4 1 5.090183734893799 6.858841419219971 1.280799388885498
new 8 5 3 6.684536933898926 10.765440940856934 0
phone 8 6 5 11.923917770385742 10.052793502807617 0.7126474380493164
for 8 7 3 5.617138385772705 7.9377641677856445 2.1150293350219727
<unk> 8 8 5 4.209192276000977 8.30349063873291 0
not 8 9 3 9.782578468322754 5.890257358551025 2.4132332801818848
make 8 10 4 9.455662727355957 6.00412130355835 0
sense 8 11 5 8.784811973571777 8.066932678222656 0
? 8 12 1 3.0772335529327393 6.833127498626709 1.2338051795959473
whom 9 0 4 6.603260517120361 7.742798805236816 0
did 9 1 3 6.264822483062744 6.11871337890625 1.6240854263305664
an 9 2 2 8.394593238830566 4.679773330688477 1.4389400482177734
account 9 3 7 6.907021999359131 9.136378288269043 0
for 9 4 3 3.1977367401123047 6.588096618652344 2.548281669616699
buy 9 5 3 14.757009506225586 7.103480339050293 0
a 9 6 1 4.29019832611084 7.774106502532959 0
gift 9 7 4 9.819290161132812 10.402411460876465 0
? 9 8 1 2.5027401447296143 6.367783546447754 4.034627914428711
what 10 0 4 6.0709757804870605 7.742798805236816 0
is 10 1 2 6.552130222320557 4.518370151519775 3.224428653717041
that 10 2 4 3.973723888397217 4.951135158538818 0
come 10 3 4 12.250753402709961 6.926666736602783 0
to 10 4 2 5.685955047607422 7.489109992980957 0
our 10 5 3 9.707759857177734 7.001300811767578 0.4878091812133789
party 10 6 5 9.412269592285156 9.242753982543945 0
likely 10 7 6 15.699618339538574 6.290407657623291 2.9523463249206543
? 10 8 1 2.8511743545532227 6.068495750427246 0.22191190719604492
who 11 0 3 6.941471099853516 7.742798805236816 0
does 11 1 4 8.105086326599121 7.922473907470703 0
the 11 2 3 1.6584575176239014 5.845062732696533 2.07741117477417
extravagant 11 3 11 17.36111831665039 8.665435791015625 0
rings 11 4 5 14.764104843139648 9.012113571166992 0
that 11 5 4 2.761021375656128 6.328019142150879 2.6840944290161133
takes 11 6 5 11.67590045928955 8.432303428649902 0
to 11 7 2 8.295352935791016 7.234766006469727 1.1975374221801758
school 11 8 6 10.471660614013672 7.404736518859863 0
are 11 9 3 6.144845008850098 7.178709983825684 0.2260265350341797
funny 11 10 5 12.239749908447266 5.862406253814697 1.3163037300109863
? 11 11 1 5.153714656829834 7.227566719055176 0
who 12 0 3 6.941471099853516 7.742798805236816 0
is 12 1 2 6.647213935852051 7.922473907470703 0
that 12 2 4 5.1028289794921875 5.1013288497924805 2.8211450576782227
<unk> 12 3 5 4.229357719421387 8.114731788635254 0
is 12 4 2 5.609448432922363 7.24976921081543 0.8649625778198242
trying 12 5 6 12.599740982055664 4.859905242919922 2.389863967895508
to 12 6 2 3.1007580757141113 7.7235188484191895 0
call 12 7 4 9.651775360107422 9.381898880004883 0
unrealistic 12 8 11 16.87122917175293 6.249331474304199 3.1325674057006836
? 12 9 1 6.478360652923584 9.005439758300781 0
who 13 0 3 6.941471099853516 7.742798805236816 0
was 13 1 3 5.288585662841797 7.922473907470703 0
that 13 2 4 5.983265399932861 5.34467887878418 2.5777950286865234
they 13 3 4 7.2440667152404785 8.242350578308105 0
loaned 13 4 6 18.637741088867188 7.109005928039551 1.1333446502685547
a 13 5 1 5.747761249542236 7.483720302581787 0
trumpet 13 6 7 17.474292755126953 10.59361457824707 0
to 13 7 2 5.244478702545166 8.508646011352539 2.0849685668945312
funny 13 8 5 12.998220443725586 7.634537696838379 0.8741083145141602
? 13 9 1 5.404060363769531 9.038378715515137 0
who 14 0 3 6.941471099853516 7.742798805236816 0
was 14 1 3 5.288585662841797 7.922473907470703 0
that 14 2 4 5.983265399932861 5.34467887878418 2.5777950286865234
heard 14 3 5 12.776867866516113 8.242350578308105 0
the 14 4 3 2.814640760421753 7.032361030578613 1.2099895477294922
claim 14 5 5 13.369367599487305 9.644655227661133 0
funny 14 6 5 14.703695297241211 5.606423377990723 4.03823184967041
? 14 7 1 3.5894229412078857 6.726532459259033 0
who 15 0 3 6.941471099853516 7.742798805236816 0
is 15 1 2 6.647213935852051 7.922473907470703 0
