word sentid sentpos wlen surp entropy entred
where 0 0 5 9.322787284851074 7.369866847991943 0
did 0 1 3 8.907024383544922 6.509938716888428 0.8599281311035156
<unk> 0 2 5 5.705145835876465 4.450321674346924 2.059617042541504
ask 0 3 3 12.548158645629883 5.790925025939941 0
who 0 4 3 7.102889060974121 4.6445393562316895 1.146385669708252
<unk> 0 5 5 4.892662048339844 6.883039951324463 0
took 0 6 4 13.560697555541992 3.2310352325439453 3.6520047187805176
? 0 7 1 4.820608139038086 7.534088134765625 0
what 1 0 4 5.295872688293457 7.369866847991943 0
did 1 1 3 7.655991554260254 4.860300540924072 2.509566307067871
she 1 2 3 9.123833656311035 6.998918056488037 0
say 1 3 3 8.370482444763184 8.15323257446289 0
that 1 4 4 3.3023083209991455 6.482974529266357 1.6702580451965332
<unk> 1 5 5 5.091643333435059 6.425450801849365 0.05752372741699219
asked 1 6 5 13.250755310058594 4.236098766326904 2.189352035522461
who 1 7 3 6.104305267333984 5.846733093261719 0
will 1 8 4 10.978209495544434 6.788248538970947 0
read 1 9 4 7.693470001220703 7.0156331062316895 0
? 1 10 1 3.5306787490844727 6.078266620635986 0.9373664855957031
where 2 0 5 9.322787284851074 7.369866847991943 0
did 2 1 3 8.907024383544922 6.509938716888428 0.8599281311035156
<unk> 2 2 5 5.705145835876465 4.450321674346924 2.059617042541504
ask 2 3 3 12.548158645629883 5.790925025939941 0
how 2 4 3 9.43925666809082 4.6445393562316895 1.146385669708252
<unk> 2 5 5 4.442442417144775 6.587360858917236 0
went 2 6 4 9.812639236450195 4.224795818328857 2.362565040588379
? 2 7 1 3.3571596145629883 7.036278247833252 0
what 3 0 4 5.295872688293457 7.369866847991943 0
did 3 1 3 7.655991554260254 4.860300540924072 2.509566307067871
will 3 2 4 11.881519317626953 6.998918056488037 0
ask 3 3 3 11.138198852539062 7.731157302856445 0
why 3 4 3 9.282403945922852 5.209727764129639 2.5214295387268066
<unk> 3 5 5 4.498195648193359 6.095085144042969 0
wears 3 6 5 14.198183059692383 4.985763072967529 1.1093220710754395
? 3 7 1 1.2564891576766968 5.362349033355713 0
what 4 0 4 5.295872688293457 7.369866847991943 0
did 4 1 3 7.655991554260254 4.860300540924072 2.509566307067871
she 4 2 3 9.123833656311035 6.998918056488037 0
say 4 3 3 8.370482444763184 8.15323257446289 0
that 4 4 4 3.3023083209991455 6.482974529266357 1.6702580451965332
will 4 5 4 10.55240535736084 6.425450801849365 0.05752372741699219
thinks 4 6 6 17.054006576538086 5.519527912139893 0.9059228897094727
he 4 7 2 7.585882186889648 5.045671463012695 0.47385644912719727
knows 4 8 5 7.762500762939453 6.404465198516846 0
where 4 9 5 10.399358749389648 4.390617370605469 2.013847827911377
<unk> 4 10 5 5.165522575378418 5.8126959800720215 0
announced 4 11 9 15.67280101776123 4.3255696296691895 1.487126350402832
? 4 12 1 5.218020915985107 5.576718330383301 0
what 5 0 4 5.295872688293457 7.369866847991943 0
did 5 1 3 7.655991554260254 4.860300540924072 2.509566307067871
they 5 2 4 7.9035563468933105 6.998918056488037 0
not 5 3 3 6.790514945983887 8.702616691589355 0
like 5 4 4 9.183222770690918 8.785680770874023 0
that 5 5 4 4.674355506896973 7.989360332489014 0.7963204383850098
<unk> 5 6 5 4.764177322387695 8.809184074401855 0
wonders 5 7 7 18.377992630004883 6.654369831085205 2.1548142433166504
how 5 8 3 7.263228893280029 5.465832710266113 1.1885371208190918
<unk> 5 9 5 4.826217174530029 6.811959266662598 0
was 5 10 3 6.787333011627197 4.524933338165283 2.2870259284973145
? 5 11 1 6.214286804199219 3.0879952907562256 1.4369380474090576
what 6 0 4 5.295872688293457 7.369866847991943 0
did 6 1 3 7.655991554260254 4.860300540924072 2.509566307067871
<unk> 6 2 5 4.6405487060546875 6.998918056488037 0
ask 6 3 3 12.495330810546875 6.8961501121521 0.1027679443359375
when 6 4 4 9.232816696166992 5.54397439956665 1.3521757125854492
<unk> 6 5 5 3.7968215942382812 7.498117446899414 0
ate 6 6 3 16.26486587524414 5.243715286254883 2.2544021606445312
? 6 7 1 4.062108516693115 7.340460777282715 0
what 7 0 4 5.295872688293457 7.369866847991943 0
does 7 1 4 10.286601066589355 4.860300540924072 2.509566307067871
<unk> 7 2 5 5.216006755828857 6.34572696685791 0
wonder 7 3 6 16.435184478759766 6.839963436126709 0
where 7 4 5 9.03917121887207 7.018417835235596 0
<unk> 7 5 5 4.244597911834717 7.814441204071045 0
buys 7 6 4 17.024749755859375 4.4051947593688965 3.4092464447021484
? 7 7 1 3.0342671871185303 6.632198810577393 0
what 8 0 4 5.295872688293457 7.369866847991943 0
does 8 1 4 10.286601066589355 4.860300540924072 2.509566307067871
will 8 2 4 13.312322616577148 6.34572696685791 0
wonder 8 3 6 15.924278259277344 7.3087239265441895 0
how 8 4 3 8.614542007446289 3.28240704536438 4.02631688117981
he 8 5 2 7.266993522644043 7.187157154083252 0
will 8 6 4 7.659914493560791 7.139953136444092 0.047204017639160156
read 8 7 4 7.723296165466309 7.595394134521484 0
? 8 8 1 3.5939276218414307 6.131499290466309 1.4638948440551758
how 9 0 3 10.2809476852417 7.369866847991943 0
did 9 1 3 6.873274803161621 7.3731303215026855 0
he 9 2 2 6.4548020362854 4.618771553039551 2.7543587684631348
hear 9 3 4 12.791630744934082 7.415401458740234 0
that 9 4 4 4.961185455322266 4.809539318084717 2.6058621406555176
<unk> 9 5 5 4.927807331085205 6.871396064758301 0
thinks 9 6 6 15.513989448547363 3.058016777038574 3.8133792877197266
he 9 7 2 7.432224273681641 5.205759048461914 0
knows 9 8 5 8.12574291229248 6.216955184936523 0
where 9 9 5 10.415456771850586 4.312334060668945 1.9046211242675781
<unk> 9 10 5 5.208418369293213 5.615915298461914 0
gets 9 11 4 11.560651779174805 4.015341758728027 1.6005735397338867
? 9 12 1 3.7235350608825684 6.36462926864624 0
whom 10 0 4 5.479881286621094 7.369866847991943 0
does 10 1 4 10.626230239868164 5.511104106903076 1.8587627410888672
<unk> 10 2 5 5.600290775299072 4.548168659210205 0.9629354476928711
wonder 10 3 6 15.508759498596191 5.872942924499512 0
how 10 4 3 8.668072700500488 5.739656925201416 0.1332859992980957
<unk> 10 5 5 4.184959888458252 7.276320457458496 0
is 10 6 2 7.99985408782959 4.291316509246826 2.98500394821167
waiting 10 7 7 14.426721572875977 2.304154634475708 1.9871618747711182
for 10 8 3 3.8855695724487305 4.355079174041748 0
? 10 9 1 3.729468584060669 6.9727959632873535 0
what 11 0 4 5.295872688293457 7.369866847991943 0
did 11 1 3 7.655991554260254 4.860300540924072 2.509566307067871
<unk> 11 2 5 4.6405487060546875 6.998918056488037 0
ask 11 3 3 12.495330810546875 6.8961501121521 0.1027679443359375
why 11 4 3 10.057680130004883 5.54397439956665 1.3521757125854492
<unk> 11 5 5 4.359767913818359 5.854234218597412 0
is 11 6 2 7.055403232574463 4.802883625030518 1.0513505935668945
? 11 7 1 7.2252888679504395 2.0017342567443848 2.801149368286133
what 12 0 4 5.295872688293457 7.369866847991943 0
did 12 1 3 7.655991554260254 4.860300540924072 2.509566307067871
<unk> 12 2 5 4.6405487060546875 6.998918056488037 0
ask 12 3 3 12.495330810546875 6.8961501121521 0.1027679443359375
who 12 4 3 7.002989292144775 5.54397439956665 1.3521757125854492
will 12 5 4 10.989853858947754 7.0992431640625 0
is 12 6 2 12.180584907531738 7.0940985679626465 0.005144596099853516
for 12 7 3 10.24206256866455 2.331977605819702 4.762120962142944
? 12 8 1 4.465608596801758 7.709636211395264 0
whom 13 0 4 5.479881286621094 7.369866847991943 0
did 13 1 3 7.539018630981445 5.511104106903076 1.8587627410888672
<unk> 13 2 5 5.302350997924805 4.826279163360596 0.6848249435424805
ask 13 3 3 12.430296897888184 5.9730072021484375 0
where 13 4 5 12.227168083190918 4.540122985839844 1.4328842163085938
<unk> 13 5 5 4.12418794631958 6.579680442810059 0
loaned 13 6 6 18.855104446411133 4.179757118225098 2.399923324584961
a 13 7 1 5.119457244873047 6.6404194831848145 0
trumpet 13 8 7 15.802379608154297 10.54662036895752 0
to 13 9 2 5.054191589355469 8.63005256652832 1.9165678024291992
? 13 10 1 7.064821720123291 7.694337368011475 0.9357151985168457
what 14 0 4 5.295872688293457 7.369866847991943 0
did 14 1 3 7.655991554260254 4.860300540924072 2.509566307067871
he 14 2 2 7.192022800445557 6.998918056488037 0
hear 14 3 4 11.592084884643555 8.284563064575195 0
that 14 4 4 4.7884931564331055 6.104632377624512 2.1799306869506836
<unk> 14 5 5 5.189823627471924 6.65986442565918 0
asked 14 6 5 12.676725387573242 4.385714530944824 2.2741498947143555
who 14 7 3 6.0228400230407715 5.979972839355469 0
<unk> 14 8 5 5.111759662628174 6.56028938293457 0
heard 14 9 5 14.321247100830078 3.456547498703003 3.1037418842315674
about 14 10 5 6.704259395599365 5.223109722137451 0
? 14 11 1 3.8186986446380615 4.4564361572265625 0.7666735649108887
what 15 0 4 5.295872688293457 7.369866847991943 0
did 15 1 3 7.655991554260254 4.860300540924072 2.509566307067871
<unk> 15 2 5 4.6405487060546875 6.998918056488037 0
ask 15 3 3 12.495330810546875 6.8961501121521 0.1027679443359375
why 15 4 3 10.057680130004883 5.54397439956665 1.3521757125854492
a 15 5 1 6.3287858963012695 5.854234218597412 0
discreet 15 6 8 15.090668678283691 10.219250679016113 0
rumour 15 7 6 15.485573768615723 10.063191413879395 0.15605926513671875
was 15 8 3 4.894506454467773 5.964086055755615 4.099105358123779
? 15 9 1 7.077118873596191 2.5495505332946777 3.4145355224609375
what 16 0 4 5.295872688293457 7.369866847991943 0
does 16 1 4 10.286601066589355 4.860300540924072 2.509566307067871
<unk> 16 2 5 5.216006755828857 6.34572696685791 0
wonder 16 3 6 16.435184478759766 6.839963436126709 0
when 16 4 4 8.979554176330566 7.018417835235596 0
the 16 5 3 2.677201271057129 8.124436378479004 0
blue 16 6 4 12.319962501525879 9.856260299682617 0
teddy 16 7 5 16.939044952392578 9.42739200592041 0.42886829376220703
