word sentid sentpos wlen surp entropy entred
how 0 0 3 7.501617908477783 6.331422805786133 0
did 0 1 3 5.128538608551025 6.630218505859375 0
bill 0 2 4 14.404072761535645 3.263000249862671 3.367218255996704
claim 0 3 5 17.854211807250977 4.34928035736084 0
that 0 4 4 2.049851655960083 5.0376482009887695 0
today 0 5 5 12.888070106506348 3.8712658882141113 1.1663823127746582
is 0 6 2 5.614072322845459 4.671680450439453 0
his 0 7 3 10.024262428283691 3.936006784439087 0.7356736660003662
last 0 8 4 8.335437774658203 6.9565558433532715 0
day 0 9 3 7.489696502685547 6.602436542510986 0.35411930084228516
? 0 10 1 1.6526830196380615 5.427525997161865 1.174910545349121
how 1 0 3 7.501617908477783 6.331422805786133 0
does 1 1 4 4.062585830688477 6.630218505859375 0
<unk> 1 2 5 0.529121458530426 3.1534762382507324 3.4767422676086426
claim 1 3 5 14.981626510620117 5.139523029327393 0
that 1 4 4 3.051442861557007 5.491424560546875 0
he 1 5 2 7.6080241203308105 4.030723571777344 1.4607009887695312
has 1 6 3 10.316503524780273 0.9133164882659912 3.1174070835113525
a 1 7 1 7.360119819641113 6.181682586669922 0
boat 1 8 4 15.629193305969238 6.371214389801025 0
and 1 9 3 7.208356857299805 5.611724376678467 0.7594900131225586
a 1 10 1 7.272036075592041 5.579223155975342 0.032501220703125
car 1 11 3 12.36046314239502 6.252467632293701 0
? 1 12 1 1.871965765953064 5.552189350128174 0.7002782821655273
how 2 0 3 7.501617908477783 6.331422805786133 0
did 2 1 3 5.128538608551025 6.630218505859375 0
she 2 2 3 10.751323699951172 3.263000249862671 3.367218255996704
think 2 3 5 7.772764682769775 1.5297694206237793 1.7332308292388916
that 2 4 4 4.951779365539551 3.306006669998169 0
she 2 5 3 8.702230453491211 4.529302597045898 0
bought 2 6 6 18.454635620117188 0.8645198941230774 3.664782702922821
beans 2 7 5 17.03218650817871 4.722803592681885 0
and 2 8 3 5.770347595214844 5.820411682128906 0
<unk> 2 9 5 1.4857749938964844 6.218706130981445 0
? 2 10 1 3.1801071166992188 5.483442783355713 0.7352633476257324
how 3 0 3 7.501617908477783 6.331422805786133 0
does 3 1 4 4.062585830688477 6.630218505859375 0
<unk> 3 2 5 0.529121458530426 3.1534762382507324 3.4767422676086426
claim 3 3 5 14.981626510620117 5.139523029327393 0
that 3 4 4 3.051442861557007 5.491424560546875 0
he 3 5 2 7.6080241203308105 4.030723571777344 1.4607009887695312
can 3 6 3 12.734975814819336 0.9133164882659912 3.1174070835113525
make 3 7 4 9.97116470336914 3.9080629348754883 0
<unk> 3 8 5 1.3837456703186035 4.65461540222168 0
and 3 9 3 8.370329856872559 4.7189130783081055 0
espresso 3 10 8 21.992813110351562 5.039332389831543 0
? 3 11 1 1.209450125694275 4.319772720336914 0.7195596694946289
how 4 0 3 7.501617908477783 6.331422805786133 0
does 4 1 4 4.062585830688477 6.630218505859375 0
she 4 2 3 11.267043113708496 3.1534762382507324 3.4767422676086426
know 4 3 4 9.994427680969238 1.8561803102493286 1.2972959280014038
that 4 4 4 3.324608564376831 5.523327827453613 0
she 4 5 3 10.211298942565918 3.530877113342285 1.9924507141113281
failed 4 6 6 18.570310592651367 1.2722318172454834 2.2586452960968018
the 4 7 3 7.679541110992432 5.855453968048096 0
test 4 8 4 10.762810707092285 6.192175388336182 0
? 4 9 1 2.303563117980957 6.747259616851807 0
how 5 0 3 7.501617908477783 6.331422805786133 0
did 5 1 3 5.128538608551025 6.630218505859375 0
he 5 2 2 7.6797194480896 3.263000249862671 3.367218255996704
say 5 3 3 10.162109375 1.5264085531234741 1.7365916967391968
that 5 4 4 3.3819260597229004 5.002405643463135 0
he 5 5 2 8.423805236816406 2.5126748085021973 2.4897308349609375
went 5 6 4 15.98796558380127 1.2083287239074707 1.3043460845947266
to 5 7 2 3.5125694274902344 6.039298057556152 0
school 5 8 6 9.35435676574707 5.702492713928223 0.3368053436279297
