word sentid sentpos wlen surp entropy entred
how 0 0 3 10.076904296875 7.264555931091309 0
did 0 1 3 6.150964736938477 5.892052173614502 1.3725037574768066
bill 0 2 4 20.078401565551758 2.695927143096924 3.196125030517578
claim 0 3 5 18.730134963989258 2.526010751724243 0.16991639137268066
that 0 4 4 3.1132211685180664 5.4783124923706055 0
today 0 5 5 13.596564292907715 4.467907428741455 1.0104050636291504
is 0 6 2 4.270708084106445 5.538805961608887 0
his 0 7 3 9.066688537597656 3.1305606365203857 2.408245325088501
last 0 8 4 9.290620803833008 6.364506721496582 0
day 0 9 3 7.3606743812561035 7.976086616516113 0
? 0 10 1 5.778310298919678 6.080759525299072 1.895327091217041
how 1 0 3 10.076904296875 7.264555931091309 0
does 1 1 4 4.023799896240234 5.892052173614502 1.3725037574768066
<unk> 1 2 5 0.7567123770713806 3.0217502117156982 2.8703019618988037
claim 1 3 5 15.880847930908203 5.516280651092529 0
that 1 4 4 3.5499069690704346 5.599749565124512 0
he 1 5 2 8.01115894317627 2.658491373062134 2.941258192062378
has 1 6 3 5.2994818687438965 5.391783237457275 0
a 1 7 1 6.45628023147583 6.044034957885742 0
boat 1 8 4 13.613091468811035 6.081641674041748 0
and 1 9 3 6.425525665283203 6.1060028076171875 0
a 1 10 1 6.659822463989258 7.97368860244751 0
car 1 11 3 8.765484809875488 6.159827709197998 1.8138608932495117
? 1 12 1 3.4566986560821533 5.497366428375244 0.6624612808227539
how 2 0 3 10.076904296875 7.264555931091309 0
did 2 1 3 6.150964736938477 5.892052173614502 1.3725037574768066
she 2 2 3 10.69275188446045 2.695927143096924 3.196125030517578
think 2 3 5 12.506600379943848 5.612983226776123 0
that 2 4 4 16.446941375732422 0.010922272689640522 5.6020609540864825
she 2 5 3 6.011743068695068 4.584531307220459 0
bought 2 6 6 12.855387687683105 5.388934135437012 0
beans 2 7 5 17.436052322387695 2.8794896602630615 2.50944447517395
and 2 8 3 4.1582231521606445 5.303927421569824 0
<unk> 2 9 5 0.7626562714576721 5.155950546264648 0.14797687530517578
? 2 10 1 4.916569709777832 6.266781330108643 0
how 3 0 3 10.076904296875 7.264555931091309 0
does 3 1 4 4.023799896240234 5.892052173614502 1.3725037574768066
<unk> 3 2 5 0.7567123770713806 3.0217502117156982 2.8703019618988037
claim 3 3 5 15.880847930908203 5.516280651092529 0
that 3 4 4 3.5499069690704346 5.599749565124512 0
he 3 5 2 8.01115894317627 2.658491373062134 2.941258192062378
can 3 6 3 6.2911376953125 5.391783237457275 0
make 3 7 4 9.125077247619629 4.108129501342773 1.283653736114502
<unk> 3 8 5 0.9142340421676636 4.81032657623291 0
and 3 9 3 7.465607166290283 6.135423183441162 0
espresso 3 10 8 21.598417282104492 6.499950885772705 0
? 3 11 1 5.047783374786377 5.891585826873779 0.6083650588989258
how 4 0 3 10.076904296875 7.264555931091309 0
does 4 1 4 4.023799896240234 5.892052173614502 1.3725037574768066
she 4 2 3 10.606249809265137 3.0217502117156982 2.8703019618988037
know 4 3 4 12.949111938476562 5.778687953948975 0
that 4 4 4 10.790337562561035 0.2437025010585785 5.534985452890396
she 4 5 3 6.886669158935547 1.706395149230957 0
failed 4 6 6 14.364476203918457 5.332205295562744 0
the 4 7 3 7.12796688079834 5.790979385375977 0
test 4 8 4 8.479534149169922 8.535311698913574 0
? 4 9 1 5.1205830574035645 7.601909160614014 0.9334025382995605
how 5 0 3 10.076904296875 7.264555931091309 0
did 5 1 3 6.150964736938477 5.892052173614502 1.3725037574768066
he 5 2 2 9.494293212890625 2.695927143096924 3.196125030517578
say 5 3 3 14.32496166229248 5.1268486976623535 0
