word sentid sentpos wlen surp entropy entred
what 0 0 4 2.9764037132263184 5.810532093048096 0
did 0 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
they 0 2 4 6.0280256271362305 3.191605806350708 0
not 0 3 3 7.199544429779053 3.4242703914642334 0
like 0 4 4 3.6240625381469727 5.984145164489746 0
that 0 5 4 5.368214130401611 4.0497941970825195 1.9343509674072266
<unk> 0 6 5 2.839184045791626 4.869732856750488 0
likes 0 7 5 14.580522537231445 5.489413261413574 0
and 0 8 3 7.687549591064453 5.087381839752197 0.40203142166137695
accounts 0 9 8 14.145368576049805 5.9961161613464355 0
? 0 10 1 5.998844146728516 5.854146957397461 0.1419692039489746
who 1 0 3 6.68441104888916 5.810532093048096 0
did 1 1 3 4.901475429534912 5.41964864730835 0.3908834457397461
she 1 2 3 10.727352142333984 3.942903757095337 1.4767448902130127
hear 1 3 4 12.332892417907715 2.9727561473846436 0.9701476097106934
a 1 4 1 7.842057228088379 5.11883544921875 0
rumour 1 5 6 11.0966215133667 6.1254682540893555 0
about 1 6 5 5.962069511413574 5.135627746582031 0.9898405075073242
and 1 7 3 8.501457214355469 4.83991813659668 0.29570960998535156
wait 1 8 4 12.497064590454102 5.9496283531188965 0
for 1 9 3 3.771120071411133 4.967019081115723 0.9826092720031738
? 1 10 1 6.018959999084473 5.043196678161621 0
what 2 0 4 2.9764037132263184 5.810532093048096 0
did 2 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
he 2 2 2 9.086596488952637 3.191605806350708 0
hear 2 3 4 11.555728912353516 2.521019458770752 0.670586347579956
that 2 4 4 5.478201866149902 5.046534538269043 0
<unk> 2 5 5 2.948920488357544 3.703885078430176 1.3426494598388672
ate 2 6 3 16.244781494140625 3.9012184143066406 0
accounts 2 7 8 16.294321060180664 3.078329086303711 0.8228893280029297
and 2 8 3 6.168434143066406 5.893643379211426 0
? 2 9 1 5.658882141113281 7.25161600112915 0
what 3 0 4 2.9764037132263184 5.810532093048096 0
did 3 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
will 3 2 4 10.315760612487793 3.191605806350708 0
buy 3 3 3 15.617318153381348 1.9930946826934814 1.1985111236572266
? 3 4 1 6.889984130859375 3.324723958969116 0
what 4 0 4 2.9764037132263184 5.810532093048096 0
did 4 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
you 4 2 3 8.976541519165039 3.191605806350708 0
read 4 3 4 9.77155590057373 4.648070812225342 0
about 4 4 5 8.49320125579834 4.6081953048706055 0.03987550735473633
and 4 5 3 8.794509887695312 4.087700843811035 0.5204944610595703
announce 4 6 8 16.559730529785156 6.108469486236572 0
about 4 7 5 8.277329444885254 5.168625831604004 0.9398436546325684
? 4 8 1 5.337401866912842 4.954546928405762 0.2140789031982422
what 5 0 4 2.9764037132263184 5.810532093048096 0
did 5 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
he 5 2 2 9.086596488952637 3.191605806350708 0
announce 5 3 8 19.446449279785156 2.521019458770752 0.670586347579956
a 5 4 1 7.227548122406006 5.41066837310791 0
plan 5 5 4 8.718482971191406 6.293472766876221 0
and 5 6 3 7.612123966217041 5.628546714782715 0.6649260520935059
speak 5 7 5 13.979204177856445 5.895780086517334 0
? 5 8 1 5.1858320236206055 5.306698322296143 0.5890817642211914
which 6 0 5 7.073307991027832 5.810532093048096 0
subjects 6 1 8 16.49286651611328 5.424280643463135 0.38625144958496094
did 6 2 3 5.898494243621826 6.773620128631592 0
she 6 3 3 11.50307559967041 3.7937564849853516 2.9798636436462402
not 6 4 3 7.398662090301514 3.6793978214263916 0.11435866355895996
study 6 5 5 16.62375831604004 6.655062198638916 0
for 6 6 3 7.242525100708008 6.1816816329956055 0.47338056564331055
or 6 7 2 9.077007293701172 6.079646110534668 0.1020355224609375
fail 6 8 4 16.428241729736328 7.011044025421143 0
the 6 9 3 8.094024658203125 5.319740295410156 1.6913037300109863
test 6 10 4 12.79526424407959 6.181156158447266 0
for 6 11 3 6.017337322235107 7.685983180999756 0
? 6 12 1 6.700213432312012 5.550332546234131 2.135650634765625
what 7 0 4 2.9764037132263184 5.810532093048096 0
did 7 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
<unk> 7 2 5 0.4616394340991974 3.191605806350708 0
order 7 3 5 13.809966087341309 5.488949775695801 0
for 7 4 3 6.415773391723633 6.124672889709473 0
me 7 5 2 8.903546333312988 5.947120666503906 0.1775522232055664
and 7 6 3 6.821111679077148 5.758908271789551 0.18821239471435547
borrow 7 7 6 16.896461486816406 5.338072299957275 0.4208359718322754
for 7 8 3 7.83137845993042 4.146028995513916 1.1920433044433594
you 7 9 3 8.337833404541016 5.7482686042785645 0
? 7 10 1 1.035705804824829 3.8920345306396484 1.856234073638916
what 8 0 4 2.9764037132263184 5.810532093048096 0
does 8 1 4 7.665314197540283 2.5409979820251465 3.269534111022949
will 8 2 4 10.266685485839844 3.5780932903289795 0
like 8 3 4 11.324867248535156 1.7220314741134644 1.8560618162155151
and 8 4 3 8.132567405700684 4.423582553863525 0
girls 8 5 5 17.53715705871582 5.510542869567871 0
? 8 6 1 3.3815221786499023 5.905848503112793 0
what 9 0 4 2.9764037132263184 5.810532093048096 0
did 9 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
they 9 2 4 6.0280256271362305 3.191605806350708 0
not 9 3 3 7.199544429779053 3.4242703914642334 0
like 9 4 4 3.6240625381469727 5.984145164489746 0
that 9 5 4 5.368214130401611 4.0497941970825195 1.9343509674072266
will 9 6 4 6.737667083740234 4.869732856750488 0
bought 9 7 6 15.061834335327148 2.571897268295288 2.2978355884552
<unk> 9 8 5 0.6520156860351562 3.732475519180298 0
and 9 9 3 7.1675543785095215 4.656624794006348 0
? 9 10 1 5.104642391204834 5.195051193237305 0
what 10 0 4 2.9764037132263184 5.810532093048096 0
did 10 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
he 10 2 2 9.086596488952637 3.191605806350708 0
hear 10 3 4 11.555728912353516 2.521019458770752 0.670586347579956
that 10 4 4 5.478201866149902 5.046534538269043 0
<unk> 10 5 5 2.948920488357544 3.703885078430176 1.3426494598388672
ate 10 6 3 16.244781494140625 3.9012184143066406 0
and 10 7 3 8.412785530090332 3.078329086303711 0.8228893280029297
story 10 8 5 15.755120277404785 5.753079891204834 0
? 10 9 1 3.957470178604126 6.180243968963623 0
which 11 0 5 7.073307991027832 5.810532093048096 0
things 11 1 6 12.082318305969238 5.424280643463135 0.38625144958496094
did 11 2 3 4.310606479644775 6.260020732879639 0
she 11 3 3 12.970759391784668 2.3772096633911133 3.8828110694885254
solve 11 4 5 15.138742446899414 3.60819935798645 0
and 11 5 3 7.88685417175293 4.605985641479492 0
give 11 6 4 10.957879066467285 6.4013566970825195 0
? 11 7 1 6.572258949279785 5.117308139801025 1.2840485572814941
what 12 0 4 2.9764037132263184 5.810532093048096 0
did 12 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
he 12 2 2 9.086596488952637 3.191605806350708 0
announce 12 3 8 19.446449279785156 2.521019458770752 0.670586347579956
a 12 4 1 7.227548122406006 5.41066837310791 0
plan 12 5 4 8.718482971191406 6.293472766876221 0
and 12 6 3 7.612123966217041 5.628546714782715 0.6649260520935059
solve 12 7 5 12.596456527709961 5.895780086517334 0
by 12 8 2 7.91398811340332 4.511753559112549 1.3840265274047852
? 12 9 1 9.33179759979248 0.9791092276573181 3.5326443314552307
what 13 0 4 2.9764037132263184 5.810532093048096 0
does 13 1 4 7.665314197540283 2.5409979820251465 3.269534111022949
<unk> 13 2 5 0.5767501592636108 3.5780932903289795 0
like 13 3 4 9.60392951965332 4.894375324249268 0
and 13 4 3 9.988513946533203 3.3655574321746826 1.528817892074585
mothers 13 5 7 20.502723693847656 5.452183246612549 0
? 13 6 1 3.512965202331543 5.682562351226807 0
what 14 0 4 2.9764037132263184 5.810532093048096 0
did 14 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
she 14 2 3 10.407879829406738 3.191605806350708 0
hear 14 3 4 11.245318412780762 3.080582857131958 0.11102294921875
about 14 4 5 8.90453815460205 5.185530185699463 0
me 14 5 2 8.770434379577637 4.798421382904053 0.38710880279541016
and 14 6 3 7.303572654724121 4.773919105529785 0.024502277374267578
take 14 7 4 10.24157428741455 5.391791343688965 0
about 14 8 5 8.39199447631836 3.980891704559326 1.4108996391296387
you 14 9 3 9.507898330688477 3.6005256175994873 0.38036608695983887
? 14 10 1 1.689145803451538 4.237716197967529 0
what 15 0 4 2.9764037132263184 5.810532093048096 0
did 15 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
<unk> 15 2 5 0.4616394340991974 3.191605806350708 0
<unk> 15 3 5 1.6132032871246338 5.488949775695801 0
demand 15 4 6 17.715126037597656 4.018911838531494 1.4700379371643066
the 15 5 3 7.562387943267822 5.661310195922852 0
scandalous 15 6 10 17.39655303955078 6.121718883514404 0
rumour 15 7 6 14.246933937072754 5.717813491821289 0.40390539169311523
and 15 8 3 6.500600814819336 5.533017635345459 0.18479585647583008
whisper 15 9 7 19.174776077270508 6.154707431793213 0
? 15 10 1 5.166509628295898 5.244699954986572 0.9100074768066406
what 16 0 4 2.9764037132263184 5.810532093048096 0
does 16 1 4 7.665314197540283 2.5409979820251465 3.269534111022949
the 16 2 3 7.594053745269775 3.5780932903289795 0
unrealistic 16 3 11 19.54510498046875 5.367740631103516 0
brother 16 4 7 14.280383110046387 6.357481956481934 0
like 16 5 4 9.144486427307129 5.689671516418457 0.6678104400634766
and 16 6 3 10.299131393432617 2.1463167667388916 3.5433547496795654
silly 16 7 5 16.981008529663086 5.500495910644531 0
parties 16 8 7 15.879952430725098 5.620704174041748 0
? 16 9 1 3.865459680557251 6.140429496765137 0
what 17 0 4 2.9764037132263184 5.810532093048096 0
does 17 1 4 7.665314197540283 2.5409979820251465 3.269534111022949
the 17 2 3 7.594053745269775 3.5780932903289795 0
<unk> 17 3 5 0.7523665428161621 5.367740631103516 0
possibility 17 4 11 14.922750473022461 5.596928596496582 0
eat 17 5 3 16.337684631347656 5.921070098876953 0
probable 17 6 8 21.72829246520996 3.5933430194854736 2.3277270793914795
windows 17 7 7 14.652140617370605 3.9622435569763184 0
and 17 8 3 6.018004417419434 4.715693950653076 0
? 17 9 1 7.129382133483887 4.279022216796875 0.43667173385620117
what 18 0 4 2.9764037132263184 5.810532093048096 0
does 18 1 4 7.665314197540283 2.5409979820251465 3.269534111022949
the 18 2 3 7.594053745269775 3.5780932903289795 0
directed 18 3 8 14.128945350646973 5.367740631103516 0
candy 18 4 5 16.71298599243164 5.53428316116333 0
store 18 5 5 8.783562660217285 6.242325782775879 0
like 18 6 4 8.230527877807617 6.2235941886901855 0.01873159408569336
circulating 18 7 11 19.132619857788086 2.770108938217163 3.4534852504730225
salads 18 8 6 17.73102378845215 3.2929534912109375 0
and 18 9 3 5.499935626983643 5.319919586181641 0
? 18 10 1 8.923701286315918 4.024827003479004 1.2950925827026367
what 19 0 4 2.9764037132263184 5.810532093048096 0
did 19 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
the 19 2 3 7.7034502029418945 3.191605806350708 0
expensive 19 3 9 14.8441801071167 5.595521450042725 0
<unk> 19 4 5 0.6126759648323059 4.684815883636475 0.91070556640625
analysis 19 5 8 16.930248260498047 6.115530490875244 0
not 19 6 3 7.428419589996338 7.886517524719238 0
like 19 7 4 4.406763076782227 7.076030254364014 0.8104872703552246
that 19 8 4 5.608595848083496 3.462099552154541 3.6139307022094727
the 19 9 3 8.632430076599121 6.227160930633545 0
difficult 19 10 9 16.112545013427734 5.401512145996094 0.8256487846374512
study 19 11 5 13.132683753967285 5.9181952476501465 0
bought 19 12 6 15.141136169433594 7.2515034675598145 0
and 19 13 3 7.760817050933838 4.554813385009766 2.696690082550049
discreet 19 14 8 18.202205657958984 5.90885591506958 0
ballet 19 15 6 20.648496627807617 5.974184036254883 0
