word sentid sentpos wlen surp entropy entred
how 0 0 3 7.501617908477783 6.331422805786133 0
<unk> 0 1 5 2.2206571102142334 6.630218505859375 0
did 0 2 3 4.151700973510742 6.117126941680908 0.5130915641784668
she 0 3 3 11.8046293258667 2.7043089866638184 3.41281795501709
say 0 4 3 11.674522399902344 1.5431803464889526 1.1611286401748657
that 0 5 4 3.1744625568389893 5.41591739654541 0
he 0 6 2 8.505698204040527 2.6924166679382324 2.7235007286071777
directed 0 7 8 14.955642700195312 1.233938217163086 1.4584784507751465
the 0 8 3 7.191718578338623 5.763187408447266 0
movie 0 9 5 9.05121898651123 6.702651500701904 0
that 0 10 4 3.5181198120117188 5.6945672035217285 1.0080842971801758
i 0 11 1 7.240534782409668 2.3109023571014404 3.383664846420288
saw 0 12 3 13.437273979187012 2.433962345123291 0
yesterday 0 13 9 12.405085563659668 4.4065752029418945 0
? 0 14 1 1.9750417470932007 3.495934247970581 0.9106409549713135
how 1 0 3 7.501617908477783 6.331422805786133 0
discreet 1 1 8 19.166563034057617 6.630218505859375 0
did 1 2 3 5.984302043914795 5.927032470703125 0.70318603515625
<unk> 1 3 5 0.36037585139274597 2.5306780338287354 3.3963544368743896
hire 1 4 4 16.80154800415039 4.841559410095215 0
an 1 5 2 8.312358856201172 5.728748321533203 0
agent 1 6 5 7.055881500244141 5.271692752838135 0.45705556869506836
? 1 7 1 2.8165786266326904 5.739064693450928 0
how 2 0 3 7.501617908477783 6.331422805786133 0
pretty 2 1 6 14.93089771270752 6.630218505859375 0
does 2 2 4 4.732858180999756 5.9652419090271 0.6649765968322754
<unk> 2 3 5 0.5767016410827637 2.7228174209594727 3.242424488067627
like 2 4 4 8.657281875610352 4.875694751739502 0
the 2 5 3 7.384212970733643 5.212888717651367 0
woman 2 6 5 11.929403305053711 5.801311016082764 0
? 2 7 1 2.089534282684326 5.185932159423828 0.6153788566589355
how 3 0 3 7.501617908477783 6.331422805786133 0
difficult 3 1 9 13.059303283691406 6.630218505859375 0
