word sentid sentpos wlen surp entropy entred
how 0 0 3 10.076904296875 7.264555931091309 0
<unk> 0 1 5 1.778002381324768 5.892052173614502 1.3725037574768066
did 0 2 3 5.941825866699219 6.1909260749816895 0
she 0 3 3 15.015839576721191 2.983220100402832 3.2077059745788574
say 0 4 3 9.464183807373047 6.325646877288818 0
that 0 5 4 3.0566723346710205 5.657813549041748 0.6678333282470703
he 0 6 2 7.281828880310059 4.559403419494629 1.0984101295471191
directed 0 7 8 12.117527961730957 5.679650783538818 0
the 0 8 3 6.867819786071777 4.3367204666137695 1.3429303169250488
movie 0 9 5 10.719269752502441 5.983850002288818 0
that 0 10 4 3.929999589920044 6.56428861618042 0
i 0 11 1 15.693791389465332 0.021215185523033142 6.543073430657387
saw 0 12 3 8.88884449005127 6.622959136962891 0
yesterday 0 13 9 11.408194541931152 6.006943225860596 0.6160159111022949
? 0 14 1 3.011695146560669 5.755597114562988 0.2513461112976074
how 1 0 3 10.076904296875 7.264555931091309 0
discreet 1 1 8 18.930206298828125 5.892052173614502 1.3725037574768066
did 1 2 3 7.820769786834717 6.7207722663879395 0
<unk> 1 3 5 0.5762626528739929 3.3812882900238037 3.3394839763641357
hire 1 4 4 16.929183959960938 6.39895486831665 0
an 1 5 2 8.361114501953125 3.4522106647491455 2.946744203567505
agent 1 6 5 9.013381958007812 4.358571529388428 0
? 1 7 1 4.632104873657227 5.815047740936279 0
how 2 0 3 10.076904296875 7.264555931091309 0
pretty 2 1 6 14.213766098022461 5.892052173614502 1.3725037574768066
does 2 2 4 5.408326625823975 6.018691062927246 0
<unk> 2 3 5 1.0169806480407715 4.026475429534912 1.992215633392334
like 2 4 4 8.380724906921387 6.169307231903076 0
the 2 5 3 7.393982887268066 3.3641457557678223 2.805161476135254
woman 2 6 5 11.76462459564209 4.26883602142334 0
? 2 7 1 2.9928181171417236 5.704558372497559 0
how 3 0 3 10.076904296875 7.264555931091309 0
difficult 3 1 9 11.185622215270996 5.892052173614502 1.3725037574768066
did 3 2 3 9.217989921569824 5.692422389984131 0.1996297836303711
he 3 3 2 10.024469375610352 3.55106258392334 2.141359806060791
hear 3 4 4 9.787163734436035 5.553238391876221 0
that 3 5 4 6.154532432556152 5.458253383636475 0.0949850082397461
you 3 6 3 8.27532958984375 4.783269882202148 0.6749835014343262
failed 3 7 6 12.644560813903809 6.553103923797607 0
the 3 8 3 8.455350875854492 5.62003755569458 0.9330663681030273
test 3 9 4 7.707939147949219 8.874629020690918 0
? 3 10 1 2.8609488010406494 7.140833377838135 1.7337956428527832
whose 4 0 5 13.415557861328125 7.264555931091309 0
did 4 1 3 11.524881362915039 6.718652725219727 0.545903205871582
she 4 2 3 11.366415023803711 2.521087169647217 4.19756555557251
say 4 3 3 14.215067863464355 6.0016188621521 0
that 4 4 4 3.968809127807617 5.419757843017578 0.5818610191345215
<unk> 4 5 5 2.842844009399414 3.7749452590942383 1.6448125839233398
eats 4 6 4 17.074932098388672 5.42790412902832 0
<unk> 4 7 5 0.19525054097175598 1.6246397495269775 3.8032643795013428
? 4 8 1 5.3283538818359375 5.319039344787598 0
how 5 0 3 10.076904296875 7.264555931091309 0
<unk> 5 1 5 1.778002381324768 5.892052173614502 1.3725037574768066
did 5 2 3 5.941825866699219 6.1909260749816895 0
she 5 3 3 15.015839576721191 2.983220100402832 3.2077059745788574
say 5 4 3 9.464183807373047 6.325646877288818 0
that 5 5 4 3.0566723346710205 5.657813549041748 0.6678333282470703
he 5 6 2 7.281828880310059 4.559403419494629 1.0984101295471191
announced 5 7 9 14.030804634094238 5.679650783538818 0
a 5 8 1 6.341819763183594 5.362868785858154 0.31678199768066406
plan 5 9 4 7.000585556030273 8.320879936218262 0
? 5 10 1 5.140139579772949 5.328940391540527 2.9919395446777344
how 6 0 3 10.076904296875 7.264555931091309 0
pretty 6 1 6 14.213766098022461 5.892052173614502 1.3725037574768066
did 6 2 3 7.55706262588501 6.018691062927246 0
he 6 3 2 9.604735374450684 3.3871614933013916 2.6315295696258545
hear 6 4 4 9.689613342285156 5.196413993835449 0
that 6 5 4 4.875268459320068 5.170286178588867 0.02612781524658203
she 6 6 3 9.695296287536621 4.509083271026611 0.6612029075622559
read 6 7 4 11.17790699005127 5.423626899719238 0
the 6 8 3 9.367399215698242 2.092121124267578 3.33150577545166
<unk> 6 9 5 0.9696131348609924 6.086228847503662 0
comics 6 10 6 15.279679298400879 6.903830051422119 0
? 6 11 1 3.0653204917907715 6.640221118927002 0.2636089324951172
what 7 0 4 4.278581619262695 7.264555931091309 0
kind 7 1 4 10.14083480834961 2.366767644882202 4.8977882862091064
does 7 2 4 7.534444332122803 3.651019811630249 0
<unk> 7 3 5 2.9067647457122803 2.53882098197937 1.112198829650879
speak 7 4 5 13.31533145904541 4.31300163269043 0
a 7 5 1 22.261682510375977 0.005960798356682062 4.307040834333748
language 7 6 8 11.593610763549805 6.1145243644714355 0
? 7 7 1 0.6377055644989014 3.3998305797576904 2.714693784713745
how 8 0 3 10.076904296875 7.264555931091309 0
expensive 8 1 9 16.482446670532227 5.892052173614502 1.3725037574768066
did 8 2 3 8.516212463378906 5.427089691162109 0.4649624824523926
they 8 3 4 8.052139282226562 3.6185195446014404 1.808570146560669
not 8 4 3 5.649876594543457 5.658108711242676 0
like 8 5 4 5.444274425506592 5.835533618927002 0
that 8 6 4 6.532917022705078 2.697115182876587 3.138418436050415
she 8 7 3 10.134979248046875 4.444580078125 0
wears 8 8 5 16.22222137451172 5.927055835723877 0
rings 8 9 5 15.097944259643555 3.7729921340942383 2.1540637016296387
? 8 10 1 3.6247358322143555 5.9937872886657715 0
how 9 0 3 10.076904296875 7.264555931091309 0
pretty 9 1 6 14.213766098022461 5.892052173614502 1.3725037574768066
did 9 2 3 7.55706262588501 6.018691062927246 0
she 9 3 3 11.814003944396973 3.3871614933013916 2.6315295696258545
say 9 4 3 10.888306617736816 5.399352550506592 0
that 9 5 4 3.7368369102478027 5.515925407409668 0
<unk> 9 6 5 2.6767826080322266 4.656620979309082 0.8593044281005859
likes 9 7 5 15.331928253173828 5.251136779785156 0
the 9 8 3 7.567727088928223 4.191864967346191 1.0592718124389648
woman 9 9 5 10.93828010559082 5.321083068847656 0
? 9 10 1 2.7084248065948486 5.838857650756836 0
how 10 0 3 10.076904296875 7.264555931091309 0
blue 10 1 4 13.61248779296875 5.892052173614502 1.3725037574768066
did 10 2 3 7.970718860626221 5.854703426361084 0.03734874725341797
he 10 3 2 11.627574920654297 2.734302520751953 3.120400905609131
hear 10 4 4 9.42095947265625 6.1109843254089355 0
that 10 5 4 4.628790378570557 5.2858757972717285 0.825108528137207
<unk> 10 6 5 2.8293638229370117 4.121607303619385 1.1642684936523438
loaned 10 7 6 19.94477081298828 6.25829553604126 0
a 10 8 1 11.20435905456543 1.1420838832855225 5.116211652755737
trumpet 10 9 7 18.748117446899414 3.9076287746429443 0
to 10 10 2 4.239321231842041 5.958856105804443 0
you 10 11 3 10.150700569152832 2.6405513286590576 3.3183047771453857
? 10 12 1 3.1790242195129395 6.792662620544434 0
how 11 0 3 10.076904296875 7.264555931091309 0
extravagant 11 1 11 18.576313018798828 5.892052173614502 1.3725037574768066
did 11 2 3 8.898670196533203 6.271407127380371 0
they 11 3 4 8.207357406616211 3.43599009513855 2.8354170322418213
not 11 4 3 5.329578876495361 5.909035682678223 0
like 11 5 4 5.7022809982299805 6.016158580780029 0
that 11 6 4 5.986385822296143 2.46090030670166 3.555258274078369
will 11 7 4 9.772117614746094 3.722782611846924 0
wears 11 8 5 18.570924758911133 3.8258824348449707 0
a 11 9 1 5.667287349700928 2.8934106826782227 0.932471752166748
hat 11 10 3 9.988417625427246 3.758096218109131 0
? 11 11 1 2.497328042984009 3.3256099224090576 0.43248629570007324
whose 12 0 5 13.415557861328125 7.264555931091309 0
did 12 1 3 11.524881362915039 6.718652725219727 0.545903205871582
they 12 2 4 8.167989730834961 2.521087169647217 4.19756555557251
not 12 3 3 7.48660135269165 6.39080810546875 0
like 12 4 4 6.576674461364746 6.896288871765137 0
that 12 5 4 6.803523540496826 1.8454644680023193 5.050824403762817
i 12 6 1 10.659327507019043 4.758337020874023 0
ate 12 7 3 13.76343822479248 6.195007801055908 0
old 12 8 3 12.922840118408203 3.0982577800750732 3.096750020980835
<unk> 12 9 5 0.26547741889953613 2.3942668437957764 0.7039909362792969
? 12 10 1 5.613611698150635 5.667351722717285 0
how 13 0 3 10.076904296875 7.264555931091309 0
<unk> 13 1 5 1.778002381324768 5.892052173614502 1.3725037574768066
did 13 2 3 5.941825866699219 6.1909260749816895 0
he 13 3 2 12.090353965759277 2.983220100402832 3.2077059745788574
hear 13 4 4 8.7626953125 5.913730621337891 0
that 13 5 4 4.443690776824951 5.200812816619873 0.7129178047180176
<unk> 13 6 5 3.2397985458374023 3.2260756492614746 1.9747371673583984
heard 13 7 5 11.71982479095459 6.117545127868652 0
a 13 8 1 10.0379638671875 1.1373459100723267 4.980199217796326
rumour 13 9 6 13.38532543182373 6.0771894454956055 0
? 13 10 1 3.4088778495788574 5.476452350616455 0.6007370948791504
how 14 0 3 10.076904296875 7.264555931091309 0
blue 14 1 4 13.61248779296875 5.892052173614502 1.3725037574768066
did 14 2 3 7.970718860626221 5.854703426361084 0.03734874725341797
<unk> 14 3 5 0.41246506571769714 2.734302520751953 3.120400905609131
give 14 4 4 10.042519569396973 6.714142322540283 0
a 14 5 1 6.7163825035095215 2.128002166748047 4.586140155792236
guitar 14 6 6 15.012174606323242 5.653531074523926 0
to 14 7 2 5.281039714813232 6.179357051849365 0
me 14 8 2 11.722086906433105 3.355443000793457 2.823914051055908
? 14 9 1 4.333057403564453 6.4401984214782715 0
whose 15 0 5 13.415557861328125 7.264555931091309 0
did 15 1 3 11.524881362915039 6.718652725219727 0.545903205871582
she 15 2 3 11.366415023803711 2.521087169647217 4.19756555557251
whisper 15 3 7 21.38829803466797 6.0016188621521 0
that 15 4 4 6.514730453491211 5.586594581604004 0.4150242805480957
he 15 5 2 10.809452056884766 0.803802490234375 4.782792091369629
buys 15 6 4 17.95566749572754 5.5923848152160645 0
coffee 15 7 6 16.424345016479492 2.058429718017578 3.5339550971984863
? 15 8 1 3.32896089553833 4.107812881469727 0
how 16 0 3 10.076904296875 7.264555931091309 0
<unk> 16 1 5 1.778002381324768 5.892052173614502 1.3725037574768066
did 16 2 3 5.941825866699219 6.1909260749816895 0
<unk> 16 3 5 0.4458414614200592 2.983220100402832 3.2077059745788574
<unk> 16 4 5 2.96915864944458 6.496491432189941 0
not 16 5 3 7.507447242736816 6.153387069702148 0.34310436248779297
demand 16 6 6 19.046072006225586 6.463057041168213 0
that 16 7 4 4.056046962738037 4.862987518310547 1.600069522857666
i 16 8 1 8.656998634338379 5.400055885314941 0
hire 16 9 4 14.06807804107666 6.480818748474121 0
a 16 10 1 7.766471862792969 1.9716285467147827 4.509190201759338
teddy 16 11 5 14.70916748046875 4.07635498046875 0
bear 16 12 4 4.39451789855957 3.7615041732788086 0.3148508071899414
? 16 13 1 1.579669713973999 4.433048248291016 0
how 17 0 3 10.076904296875 7.264555931091309 0
difficult 17 1 9 11.185622215270996 5.892052173614502 1.3725037574768066
does 17 2 4 7.591386318206787 5.692422389984131 0.1996297836303711
the 17 3 3 8.01697063446045 3.8829870223999023 1.8094353675842285
blue 17 4 4 13.40898609161377 8.728432655334473 0
agent 17 5 5 14.454473495483398 8.856598854064941 0
do 17 6 2 9.143400192260742 6.537552356719971 2.3190464973449707
math 17 7 4 21.66521644592285 3.686864137649536 2.8506882190704346
homework 17 8 8 16.532241821289062 5.919330596923828 0
? 17 9 1 3.5371482372283936 6.051890850067139 0
how 18 0 3 10.076904296875 7.264555931091309 0
important 18 1 9 10.024658203125 5.892052173614502 1.3725037574768066
is 18 2 2 6.964890003204346 6.264089107513428 0
she 18 3 3 10.645769119262695 5.392757892608643 0.8713312149047852
dating 18 4 6 17.952178955078125 5.775510311126709 0
the 18 5 3 6.601621627807617 4.859984874725342 0.9155254364013672
<unk> 18 6 5 0.7870500683784485 5.605165958404541 0
brothers 18 7 8 9.555777549743652 7.462590217590332 0
? 18 8 1 5.647249221801758 6.7488250732421875 0.7137651443481445
how 19 0 3 10.076904296875 7.264555931091309 0
unrealistic 19 1 11 16.183931350708008 5.892052173614502 1.3725037574768066
is 19 2 2 7.022824287414551 5.989473819732666 0
the 19 3 3 6.558022499084473 4.8080058097839355 1.1814680099487305
funny 19 4 5 14.133058547973633 5.593123912811279 0
man 19 5 3 8.45047664642334 7.76655912399292 0
singing 19 6 7 13.766228675842285 6.1437859535217285 1.6227731704711914
an 19 7 2 8.471878051757812 4.740096092224121 1.4036898612976074
aria 19 8 4 12.755206108093262 5.378847599029541 0
? 19 9 1 2.841568946838379 6.339959621429443 0
how 20 0 3 10.076904296875 7.264555931091309 0
discreet 20 1 8 18.930206298828125 5.892052173614502 1.3725037574768066
does 20 2 4 6.6999053955078125 6.7207722663879395 0
the 20 3 3 7.278097152709961 3.8162286281585693 2.90454363822937
teddy 20 4 5 18.32126808166504 7.756080627441406 0
bear 20 5 4 5.2346601486206055 5.016952991485596 2.7391276359558105
wonder 20 6 6 9.708307266235352 6.915441036224365 0
why 20 7 3 5.231539249420166 1.2177495956420898 5.697691440582275
he 20 8 2 11.022771835327148 0.9798819422721863 0.23786765336990356
bought 20 9 6 16.784868240356445 3.67085599899292 0
a 20 10 1 7.739175319671631 3.377380847930908 0.2934751510620117
ring 20 11 4 11.16739273071289 3.8806192874908447 0
? 20 12 1 1.4657584428787231 4.040515422821045 0
how 21 0 3 10.076904296875 7.264555931091309 0
yellow 21 1 6 17.659807205200195 5.892052173614502 1.3725037574768066
did 21 2 3 7.382769584655762 5.86433744430542 0.02771472930908203
the 21 3 3 7.520776748657227 3.017544746398926 2.846792697906494
lucky 21 4 5 16.226028442382812 7.58221435546875 0
girls 21 5 5 11.072486877441406 8.345337867736816 0
ask 21 6 3 9.241402626037598 7.733722686767578 0.6116151809692383
how 21 7 3 7.860744953155518 4.466096878051758 3.2676258087158203
she 21 8 3 9.460137367248535 6.1428446769714355 0
found 21 9 5 9.272372245788574 5.253737926483154 0.8891067504882812
a 21 10 1 7.778176784515381 5.311424255371094 0
boat 21 11 4 11.40143871307373 6.954349040985107 0
on 21 12 2 6.270506858825684 6.14737606048584 0.8069729804992676
the 21 13 3 4.410820960998535 4.022674083709717 2.124701976776123
way 21 14 3 8.602531433105469 5.588756561279297 0
to 21 15 2 3.3843069076538086 6.101149082183838 0
<unk> 21 16 5 0.7069237232208252 4.64403772354126 1.4571113586425781
? 21 17 1 3.671147108078003 5.082943439483643 0
how 22 0 3 10.076904296875 7.264555931091309 0
large 22 1 5 12.025925636291504 5.892052173614502 1.3725037574768066
did 22 2 3 8.337597846984863 4.574633598327637 1.3174185752868652
<unk> 22 3 5 0.1960584670305252 1.656851053237915 2.9177825450897217
<unk> 22 4 5 1.6556702852249146 5.223731994628906 0
invite 22 5 6 18.927581787109375 5.437513828277588 0
a 22 6 1 7.314720630645752 2.228811025619507 3.208702802658081
party 22 7 5 8.626761436462402 4.021551132202148 0
to 22 8 2 3.3554177284240723 5.0653815269470215 0
the 22 9 3 7.101373672485352 3.3933610916137695 1.672020435333252
city 22 10 4 8.959175109863281 3.7216668128967285 0
? 22 11 1 4.02532434463501 6.445067882537842 0
how 23 0 3 10.076904296875 7.264555931091309 0
likely 23 1 6 8.481863975524902 5.892052173614502 1.3725037574768066
did 23 2 3 7.714263439178467 5.52276086807251 0.3692913055419922
he 23 3 2 10.154644966125488 3.6383726596832275 1.8843882083892822
announce 23 4 8 16.002662658691406 5.688864707946777 0
a 23 5 1 6.219672679901123 4.628328800201416 1.0605359077453613
plan 23 6 4 7.72927188873291 7.999001979827881 0
to 23 7 2 2.675726890563965 5.737738609313965 2.261263370513916
buy 23 8 3 9.751980781555176 4.440053462982178 1.297685146331787
a 23 9 1 7.188576698303223 1.9448379278182983 2.4952155351638794
bean 23 10 4 18.81930160522461 2.7576873302459717 0
? 23 11 1 2.8604395389556885 4.915867805480957 0
how 24 0 3 10.076904296875 7.264555931091309 0
important 24 1 9 10.024658203125 5.892052173614502 1.3725037574768066
does 24 2 4 5.831037521362305 6.264089107513428 0
the 24 3 3 7.318356513977051 4.121187686920166 2.1429014205932617
<unk> 24 4 5 1.4219086170196533 7.7856011390686035 0
experience 24 5 10 11.193583488464355 7.761862754821777 0.023738384246826172
like 24 6 4 9.35571575164795 7.072212219238281 0.6896505355834961
the 24 7 3 6.570488452911377 2.630068063735962 4.442144155502319
possibility 24 8 11 14.64185619354248 3.5551042556762695 0
? 24 9 1 0.5769738554954529 1.972989559173584 1.5821146965026855
