word sentid sentpos wlen surp entropy entred
how 0 0 3 10.579030990600586 5.810532093048096 0
<unk> 0 1 5 0.8879801034927368 4.85373592376709 0.9567961692810059
did 0 2 3 5.018348217010498 5.329739093780518 0
she 0 3 3 12.22757339477539 3.1097545623779297 2.219984531402588
say 0 4 3 11.818490982055664 3.0108449459075928 0.09890961647033691
that 0 5 4 4.036704063415527 4.7688140869140625 0
he 0 6 2 8.46113395690918 3.211879253387451 1.5569348335266113
directed 0 7 8 16.76519012451172 2.344550848007202 0.867328405380249
the 0 8 3 7.301639556884766 5.135458469390869 0
movie 0 9 5 10.404290199279785 5.69980525970459 0
that 0 10 4 5.761519432067871 5.189697265625 0.5101079940795898
i 0 11 1 8.15616512298584 2.349276542663574 2.840420722961426
saw 0 12 3 12.951984405517578 2.1014811992645264 0.24779534339904785
yesterday 0 13 9 13.183653831481934 4.269327640533447 0
? 0 14 1 6.273178577423096 1.5242187976837158 2.7451088428497314
how 1 0 3 10.579030990600586 5.810532093048096 0
discreet 1 1 8 17.98748016357422 4.85373592376709 0.9567961692810059
did 1 2 3 5.985827445983887 5.671991348266602 0
<unk> 1 3 5 2.5370070934295654 2.0603866577148438 3.611604690551758
hire 1 4 4 15.193370819091797 5.20979642868042 0
an 1 5 2 9.47553539276123 5.332035541534424 0
agent 1 6 5 7.221477031707764 5.870494365692139 0
? 1 7 1 3.342277765274048 6.215911865234375 0
how 2 0 3 10.579030990600586 5.810532093048096 0
pretty 2 1 6 13.145891189575195 4.85373592376709 0.9567961692810059
does 2 2 4 5.2447967529296875 5.917842388153076 0
<unk> 2 3 5 1.7544225454330444 2.912151575088501 3.005690813064575
like 2 4 4 8.544389724731445 4.963032245635986 0
the 2 5 3 7.354358673095703 3.9931373596191406 0.9698948860168457
woman 2 6 5 10.308267593383789 5.033559799194336 0
? 2 7 1 3.4962689876556396 5.821236610412598 0
how 3 0 3 10.579030990600586 5.810532093048096 0
difficult 3 1 9 11.602666854858398 4.85373592376709 0.9567961692810059
did 3 2 3 5.772209167480469 6.110839366912842 0
he 3 3 2 14.891375541687012 0.6527718901634216 5.45806747674942
hear 3 4 4 10.398530960083008 2.8532657623291016 0
that 3 5 4 5.347506999969482 5.001058101654053 0
you 3 6 3 8.801494598388672 3.9902937412261963 1.0107643604278564
failed 3 7 6 15.967771530151367 4.343977928161621 0
the 3 8 3 8.467113494873047 5.487668514251709 0
test 3 9 4 13.005655288696289 6.517920017242432 0
? 3 10 1 3.3926384449005127 6.673778533935547 0
whose 4 0 5 12.81882095336914 5.810532093048096 0
did 4 1 3 9.108728408813477 8.279973030090332 0
she 4 2 3 10.985182762145996 3.1221070289611816 5.15786600112915
say 4 3 3 12.00711441040039 3.4307165145874023 0
that 4 4 4 3.9048449993133545 4.7102155685424805 0
