word sentid sentpos wlen surp entropy entred
who 0 0 3 7.506289482116699 6.1385884284973145 0
did 0 1 3 5.192036151885986 4.450888156890869 1.6877002716064453
he 0 2 2 7.4939680099487305 4.717348098754883 0
hear 0 3 4 11.531042098999023 3.4334025382995605 1.2839455604553223
that 0 4 4 6.951693534851074 2.405245780944824 1.0281567573547363
it 0 5 2 8.765957832336426 3.726022481918335 0
is 0 6 2 4.686216354370117 3.978736162185669 0
important 0 7 9 13.740140914916992 1.9475347995758057 2.0312013626098633
to 0 8 2 4.413514137268066 2.8818657398223877 0
see 0 9 3 9.841545104980469 1.9521987438201904 0.9296669960021973
? 0 10 1 8.421518325805664 3.9337034225463867 0
what 1 0 4 3.788788080215454 6.1385884284973145 0
is 1 1 2 7.343726634979248 2.77099347114563 3.3675949573516846
it 1 2 2 10.295795440673828 2.970916986465454 0
important 1 3 9 14.199301719665527 3.9287056922912598 0
that 1 4 4 4.9234299659729 3.4752700328826904 0.45343565940856934
<unk> 1 5 5 0.6673619151115417 3.1427645683288574 0.332505464553833
buys 1 6 4 15.65627384185791 4.541176795959473 0
? 1 7 1 6.678487300872803 1.2396718263626099 3.301504969596863
who 2 0 3 7.506289482116699 6.1385884284973145 0
did 2 1 3 5.192036151885986 4.450888156890869 1.6877002716064453
he 2 2 2 7.4939680099487305 4.717348098754883 0
hear 2 3 4 11.531042098999023 3.4334025382995605 1.2839455604553223
that 2 4 4 6.951693534851074 2.405245780944824 1.0281567573547363
it 2 5 2 8.765957832336426 3.726022481918335 0
is 2 6 2 4.686216354370117 3.978736162185669 0
important 2 7 9 13.740140914916992 1.9475347995758057 2.0312013626098633
that 2 8 4 4.702956676483154 2.8818657398223877 0
<unk> 2 9 5 0.7112289667129517 3.0859837532043457 0
knows 2 10 5 10.558940887451172 4.720109939575195 0
? 2 11 1 5.966067790985107 3.3737564086914062 1.346353530883789
where 3 0 5 8.569872856140137 6.1385884284973145 0
did 3 1 3 5.157658100128174 4.95064115524292 1.1879472732543945
<unk> 3 2 5 1.057958722114563 4.598178863525391 0.3524622917175293
tell 3 3 4 12.981687545776367 4.630636215209961 0
you 3 4 3 8.649726867675781 3.865771770477295 0.764864444732666
that 3 5 4 5.231373310089111 3.430835008621216 0.4349367618560791
she 3 6 3 9.496832847595215 3.8357999324798584 0
went 3 7 4 13.102422714233398 2.120065450668335 1.7157344818115234
? 3 8 1 6.162804126739502 2.9491000175476074 0
what 4 0 4 3.788788080215454 6.1385884284973145 0
did 4 1 3 7.881209373474121 2.77099347114563 3.3675949573516846
he 4 2 2 8.2311429977417 3.8855338096618652 0
hear 4 3 4 10.070396423339844 3.429351568222046 0.45618224143981934
that 4 4 4 7.318711280822754 2.363187074661255 1.066164493560791
<unk> 4 5 5 1.0981855392456055 3.737539052963257 0
does 4 6 4 3.7602269649505615 4.43804931640625 0
not 4 7 3 7.301794052124023 3.9839863777160645 0.45406293869018555
do 4 8 2 5.840327262878418 5.797932147979736 0
? 4 9 1 9.571161270141602 4.0062127113342285 1.7917194366455078
what 5 0 4 3.788788080215454 6.1385884284973145 0
did 5 1 3 7.881209373474121 2.77099347114563 3.3675949573516846
