word sentid sentpos wlen surp entropy entred
who 0 0 3 7.903862953186035 5.425001621246338 0
did 0 1 3 7.2087202072143555 2.6302549839019775 2.7947466373443604
he 0 2 2 10.610843658447266 3.204515218734741 0
hear 0 3 4 10.5535888671875 2.579559326171875 0.6249558925628662
that 0 4 4 6.5649614334106445 5.364755630493164 0
it 0 5 2 8.166481971740723 5.038425922393799 0.32632970809936523
is 0 6 2 4.741569995880127 3.9460387229919434 1.0923871994018555
important 0 7 9 12.130349159240723 4.007427215576172 0
to 0 8 2 3.2279601097106934 5.570466995239258 0
see 0 9 3 7.751109600067139 5.78947114944458 0
? 0 10 1 6.155783176422119 3.554088830947876 2.235382318496704
what 1 0 4 2.4654927253723145 5.425001621246338 0
is 1 1 2 7.0142621994018555 4.4752702713012695 0.9497313499450684
it 1 2 2 9.957894325256348 3.371096611022949 1.1041736602783203
important 1 3 9 11.928544998168945 5.8052659034729 0
that 1 4 4 4.587498188018799 5.9383015632629395 0
<unk> 1 5 5 4.0084733963012695 4.842250347137451 1.0960512161254883
buys 1 6 4 16.79640769958496 3.725323438644409 1.116926908493042
? 1 7 1 5.807711124420166 2.027850866317749 1.6974725723266602
who 2 0 3 7.903862953186035 5.425001621246338 0
did 2 1 3 7.2087202072143555 2.6302549839019775 2.7947466373443604
he 2 2 2 10.610843658447266 3.204515218734741 0
hear 2 3 4 10.5535888671875 2.579559326171875 0.6249558925628662
that 2 4 4 6.5649614334106445 5.364755630493164 0
it 2 5 2 8.166481971740723 5.038425922393799 0.32632970809936523
is 2 6 2 4.741569995880127 3.9460387229919434 1.0923871994018555
important 2 7 9 12.130349159240723 4.007427215576172 0
that 2 8 4 5.378559112548828 5.570466995239258 0
<unk> 2 9 5 4.384665489196777 4.200829029083252 1.3696379661560059
knows 2 10 5 11.061525344848633 4.181224346160889 0.01960468292236328
? 2 11 1 4.39894962310791 3.0573930740356445 1.1238312721252441
where 3 0 5 9.357904434204102 5.425001621246338 0
did 3 1 3 5.931602478027344 5.8704023361206055 0
<unk> 3 2 5 0.4323773682117462 3.0473320484161377 2.8230702877044678
tell 3 3 4 12.31917667388916 5.048982620239258 0
you 3 4 3 8.597585678100586 2.8760297298431396 2.172952890396118
that 3 5 4 6.946498870849609 3.687177896499634 0
she 3 6 3 12.355810165405273 2.692505359649658 0.9946725368499756
went 3 7 4 15.8318452835083 0.8363339304924011 1.856171429157257
? 3 8 1 4.619701862335205 5.0417022705078125 0
what 4 0 4 2.4654927253723145 5.425001621246338 0
did 4 1 3 6.727719783782959 4.4752702713012695 0.9497313499450684
he 4 2 2 11.09621524810791 3.0830295085906982 1.3922407627105713
hear 4 3 4 10.399544715881348 2.8941402435302734 0.1888892650604248
that 4 4 4 7.483806610107422 4.850277900695801 0
<unk> 4 5 5 3.28233003616333 4.1250786781311035 0.7251992225646973
does 4 6 4 2.9583756923675537 2.3469414710998535 1.77813720703125
not 4 7 3 9.437623023986816 3.6447274684906006 0
do 4 8 2 5.948791027069092 5.897475719451904 0
? 4 9 1 6.781161308288574 4.4898834228515625 1.4075922966003418
what 5 0 4 2.4654927253723145 5.425001621246338 0
did 5 1 3 6.727719783782959 4.4752702713012695 0.9497313499450684
he 5 2 2 11.09621524810791 3.0830295085906982 1.3922407627105713
hear 5 3 4 10.399544715881348 2.8941402435302734 0.1888892650604248
that 5 4 4 7.483806610107422 4.850277900695801 0
<unk> 5 5 5 3.28233003616333 4.1250786781311035 0.7251992225646973
thinks 5 6 6 13.831504821777344 2.3469414710998535 1.77813720703125
their 5 7 5 12.209990501403809 4.440855979919434 0
car 5 8 3 12.785697937011719 9.2539644241333 0
needed 5 9 6 12.563460350036621 5.833702564239502 3.420261859893799
