word sentid sentpos wlen surp entropy entred
who 0 0 3 7.184686660766602 6.331422805786133 0
was 0 1 3 9.922844886779785 3.834284782409668 2.497138023376465
that 0 2 4 7.160419464111328 4.679170608520508 0
quipped 0 3 7 20.988122940063477 5.2143025398254395 0
about 0 4 5 8.45997428894043 6.133342742919922 0
<unk> 0 5 5 1.680908203125 5.086845397949219 1.0464973449707031
analysis 0 6 8 16.58600616455078 4.658596515655518 0.42824888229370117
funny 0 7 5 17.691810607910156 5.585153102874756 0
? 0 8 1 2.1605212688446045 6.569605827331543 0
whom 1 0 4 9.5844144821167 6.331422805786133 0
were 1 1 4 12.1930570602417 4.1248884201049805 2.2065343856811523
two 1 2 3 10.256319999694824 6.4102606773376465 0
rumours 1 3 7 17.82950782775879 6.988232135772705 0
about 1 4 5 5.254532337188721 5.110848426818848 1.8773837089538574
waiting 1 5 7 11.155728340148926 5.797292232513428 0
? 1 6 1 2.5786616802215576 5.9731316566467285 0
who 2 0 3 7.184686660766602 6.331422805786133 0
does 2 1 4 5.605693340301514 3.834284782409668 2.497138023376465
that 2 2 4 8.415804862976074 1.9240776300430298 1.9102071523666382
wears 2 3 5 18.961763381958008 5.203752517700195 0
extravagant 2 4 11 18.34567642211914 3.440817356109619 1.7629351615905762
rings 2 5 5 13.47126293182373 4.240106582641602 0
make 2 6 4 12.5993013381958 6.049131393432617 0
the 2 7 3 7.347368240356445 5.2103271484375 0.8388042449951172
plan 2 8 4 13.56551456451416 4.831316947937012 0.3790102005004883
unrealistic 2 9 11 20.777446746826172 5.630212783813477 0
? 2 10 1 3.370495080947876 6.424418926239014 0
whom 3 0 4 9.5844144821167 6.331422805786133 0
loaned 3 1 6 19.785400390625 4.1248884201049805 2.2065343856811523
that 3 2 4 5.370670318603516 4.314701557159424 0
<unk> 3 3 5 1.452042818069458 5.731419086456299 0
heard 3 4 5 13.660229682922363 5.28175687789917 0.4496622085571289
the 3 5 3 7.135468482971191 6.353712558746338 0
claim 3 6 5 11.65946102142334 6.859378814697266 0
a 3 7 1 8.947029113769531 4.722522258758545 2.1368565559387207
trumpet 3 8 7 17.011959075927734 7.552243232727051 0
to 3 9 2 4.986058235168457 6.800814628601074 0.7514286041259766
you 3 10 3 8.91521167755127 5.245354175567627 1.5554604530334473
? 3 11 1 2.603668451309204 5.6907501220703125 0
who 4 0 3 7.184686660766602 6.331422805786133 0
is 4 1 2 8.42047119140625 3.834284782409668 2.497138023376465
that 4 2 4 7.213503360748291 4.244619369506836 0
is 4 3 2 6.987586498260498 4.858585357666016 0
a 4 4 1 6.503764629364014 4.751850605010986 0.1067347526550293
teacher 4 5 7 13.465856552124023 5.830003261566162 0
unlikely 4 6 8 15.815078735351562 5.678810119628906 0.15119314193725586
? 4 7 1 3.4866933822631836 6.306928634643555 0
whom 5 0 4 9.5844144821167 6.331422805786133 0
does 5 1 4 6.746494293212891 4.1248884201049805 2.2065343856811523
