word sentid sentpos wlen surp entropy entred
who 0 0 3 6.425954341888428 7.264555931091309 0
was 0 1 3 7.251486301422119 6.01674222946167 1.2478137016296387
that 0 2 4 8.686047554016113 4.392564296722412 1.6241779327392578
quipped 0 3 7 19.312292098999023 5.280364513397217 0
about 0 4 5 7.855596542358398 5.913674831390381 0
<unk> 0 5 5 0.794857382774353 4.2469563484191895 1.6667184829711914
analysis 0 6 8 16.25031852722168 5.346286773681641 0
funny 0 7 5 21.354310989379883 1.4565900564193726 3.889696717262268
? 0 8 1 4.391603946685791 7.151635646820068 0
whom 1 0 4 10.483805656433105 7.264555931091309 0
were 1 1 4 7.363545894622803 5.692946434020996 1.5716094970703125
two 1 2 3 9.816278457641602 3.3851540088653564 2.3077924251556396
rumours 1 3 7 19.033254623413086 4.422569751739502 0
about 1 4 5 7.267711639404297 6.339325428009033 0
waiting 1 5 7 13.258017539978027 4.212109088897705 2.127216339111328
? 1 6 1 0.0021644970402121544 0.026063760742545128 4.18604532815516
who 2 0 3 6.425954341888428 7.264555931091309 0
does 2 1 4 4.883845806121826 6.01674222946167 1.2478137016296387
that 2 2 4 8.214920997619629 3.0618364810943604 2.9549057483673096
wears 2 3 5 17.163057327270508 4.114981651306152 0
extravagant 2 4 11 19.24901580810547 1.8942897319793701 2.2206919193267822
rings 2 5 5 12.265241622924805 5.244481086730957 0
make 2 6 4 13.509594917297363 2.3065385818481445 2.9379425048828125
the 2 7 3 6.233917713165283 4.234227180480957 0
plan 2 8 4 13.739615440368652 4.568709373474121 0
unrealistic 2 9 11 15.632408142089844 5.9539642333984375 0
? 2 10 1 4.57932186126709 5.615871906280518 0.3380923271179199
whom 3 0 4 10.483805656433105 7.264555931091309 0
loaned 3 1 6 19.291662216186523 5.692946434020996 1.5716094970703125
that 3 2 4 7.639604091644287 2.4956486225128174 3.1972978115081787
<unk> 3 3 5 1.494401454925537 6.0367560386657715 0
heard 3 4 5 14.204472541809082 6.268021106719971 0
the 3 5 3 7.394436836242676 4.706599712371826 1.5614213943481445
