word sentid sentpos wlen surp entropy entred
where 0 0 5 8.856568336486816 5.810532093048096 0
did 0 1 3 5.3477301597595215 5.329425811767578 0.4811062812805176
<unk> 0 2 5 0.57876056432724 3.6283483505249023 1.7010774612426758
ask 0 3 3 10.084677696228027 5.223369598388672 0
who 0 4 3 8.285845756530762 5.273372173309326 0
<unk> 0 5 5 3.70851731300354 4.444689750671387 0.8286824226379395
took 0 6 4 12.098844528198242 4.96462345123291 0
? 0 7 1 5.002535820007324 5.063992500305176 0
what 1 0 4 2.9764037132263184 5.810532093048096 0
did 1 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
she 1 2 3 10.407879829406738 3.191605806350708 0
say 1 3 3 12.394618034362793 3.080582857131958 0.11102294921875
that 1 4 4 4.066652774810791 4.750420570373535 0
<unk> 1 5 5 3.356196880340576 3.2258059978485107 1.5246145725250244
asked 1 6 5 8.798250198364258 3.592803955078125 0
who 1 7 3 6.734063148498535 4.7092814445495605 0
will 1 8 4 6.7074713706970215 4.2715020179748535 0.43777942657470703
read 1 9 4 7.46525239944458 5.487429618835449 0
? 1 10 1 6.128092288970947 4.462757110595703 1.024672508239746
where 2 0 5 8.856568336486816 5.810532093048096 0
did 2 1 3 5.3477301597595215 5.329425811767578 0.4811062812805176
<unk> 2 2 5 0.57876056432724 3.6283483505249023 1.7010774612426758
ask 2 3 3 10.084677696228027 5.223369598388672 0
how 2 4 3 9.232124328613281 5.273372173309326 0
<unk> 2 5 5 1.5765023231506348 4.551666259765625 0.7217059135437012
went 2 6 4 11.221733093261719 4.523850440979004 0.027815818786621094
? 2 7 1 3.7553601264953613 4.502644062042236 0.021206378936767578
what 3 0 4 2.9764037132263184 5.810532093048096 0
did 3 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
will 3 2 4 10.315760612487793 3.191605806350708 0
ask 3 3 3 13.829475402832031 1.9930946826934814 1.1985111236572266
why 3 4 3 4.080517292022705 4.981340408325195 0
<unk> 3 5 5 3.3602466583251953 2.7166292667388916 2.2647111415863037
wears 3 6 5 17.5902156829834 3.475247859954834 0
? 3 7 1 4.818180084228516 3.3989031314849854 0.07634472846984863
what 4 0 4 2.9764037132263184 5.810532093048096 0
did 4 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
she 4 2 3 10.407879829406738 3.191605806350708 0
say 4 3 3 12.394618034362793 3.080582857131958 0.11102294921875
that 4 4 4 4.066652774810791 4.750420570373535 0
will 4 5 4 7.5127949714660645 3.2258059978485107 1.5246145725250244
thinks 4 6 6 17.921863555908203 1.8452562093734741 1.3805497884750366
he 4 7 2 7.718652248382568 5.259154319763184 0
knows 4 8 5 12.726109504699707 2.5374820232391357 2.721672296524048
where 4 9 5 7.213685035705566 4.468207836151123 0
<unk> 4 10 5 2.8828682899475098 3.580605983734131 0.8876018524169922
announced 4 11 9 15.804743766784668 3.937258243560791 0
? 4 12 1 3.2532575130462646 5.24847936630249 0
what 5 0 4 2.9764037132263184 5.810532093048096 0
did 5 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
they 5 2 4 6.0280256271362305 3.191605806350708 0
not 5 3 3 7.199544429779053 3.4242703914642334 0
like 5 4 4 3.6240625381469727 5.984145164489746 0
that 5 5 4 5.368214130401611 4.0497941970825195 1.9343509674072266
<unk> 5 6 5 2.839184045791626 4.869732856750488 0
wonders 5 7 7 16.615619659423828 5.489413261413574 0
how 5 8 3 7.429988861083984 4.048930644989014 1.4404826164245605
<unk> 5 9 5 1.8111149072647095 4.000007152557373 0.048923492431640625
was 5 10 3 7.800426483154297 4.984351634979248 0
? 5 11 1 6.373163223266602 3.6759896278381348 1.3083620071411133
what 6 0 4 2.9764037132263184 5.810532093048096 0
did 6 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
<unk> 6 2 5 0.4616394340991974 3.191605806350708 0
ask 6 3 3 10.577680587768555 5.488949775695801 0
when 6 4 4 5.538666248321533 5.190922260284424 0.29802751541137695
<unk> 6 5 5 3.6104230880737305 2.131345748901367 3.0595765113830566
ate 6 6 3 14.90731143951416 4.546166896820068 0
? 6 7 1 5.735152244567871 3.23742413520813 1.3087427616119385
what 7 0 4 2.9764037132263184 5.810532093048096 0
does 7 1 4 7.665314197540283 2.5409979820251465 3.269534111022949
<unk> 7 2 5 0.5767501592636108 3.5780932903289795 0
wonder 7 3 6 11.510299682617188 4.894375324249268 0
where 7 4 5 7.01760196685791 1.56783926486969 3.3265360593795776
<unk> 7 5 5 1.572465419769287 4.923826217651367 0
buys 7 6 4 16.179698944091797 4.075725555419922 0.8481006622314453
? 7 7 1 5.180486679077148 3.044584274291992 1.0311412811279297
what 8 0 4 2.9764037132263184 5.810532093048096 0
does 8 1 4 7.665314197540283 2.5409979820251465 3.269534111022949
will 8 2 4 10.266685485839844 3.5780932903289795 0
wonder 8 3 6 15.47404956817627 1.7220314741134644 1.8560618162155151
how 8 4 3 7.703150272369385 1.7506179809570312 0
he 8 5 2 9.433720588684082 4.880701541900635 0
will 8 6 4 6.207016944885254 2.348924160003662 2.5317773818969727
read 8 7 4 11.545090675354004 3.8405418395996094 0
? 8 8 1 5.1010637283325195 4.857326030731201 0
how 9 0 3 10.579030990600586 5.810532093048096 0
did 9 1 3 5.008901596069336 4.85373592376709 0.9567961692810059
he 9 2 2 11.282944679260254 1.737661361694336 3.116074562072754
hear 9 3 4 10.731541633605957 2.646497964859009 0
that 9 4 4 5.34957218170166 4.9881720542907715 0
<unk> 9 5 5 2.615487813949585 3.9689626693725586 1.019209384918213
thinks 9 6 6 13.821059226989746 3.797924757003784 0.17103791236877441
he 9 7 2 6.610754489898682 5.305367946624756 0
knows 9 8 5 12.596465110778809 2.4546802043914795 2.8506877422332764
where 9 9 5 7.427887439727783 4.337011337280273 0
<unk> 9 10 5 3.136460065841675 3.265803575515747 1.0712077617645264
gets 9 11 4 13.898930549621582 3.8003127574920654 0
? 9 12 1 4.815867900848389 4.548707008361816 0
whom 10 0 4 6.205172538757324 5.810532093048096 0
does 10 1 4 6.978634834289551 4.712320804595947 1.0982112884521484
<unk> 10 2 5 0.6590213775634766 3.9623966217041016 0.7499241828918457
wonder 10 3 6 10.804734230041504 4.867936611175537 0
how 10 4 3 9.198860168457031 1.008428931236267 3.85950767993927
<unk> 10 5 5 1.0928763151168823 4.754899501800537 0
is 10 6 2 6.088502883911133 4.557677745819092 0.1972217559814453
waiting 10 7 7 11.485770225524902 3.7432126998901367 0.8144650459289551
for 10 8 3 5.330434799194336 4.194153785705566 0
? 10 9 1 4.054672718048096 4.726811408996582 0
what 11 0 4 2.9764037132263184 5.810532093048096 0
did 11 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
<unk> 11 2 5 0.4616394340991974 3.191605806350708 0
ask 11 3 3 10.577680587768555 5.488949775695801 0
why 11 4 3 4.022653102874756 5.190922260284424 0.29802751541137695
<unk> 11 5 5 3.4899094104766846 2.703805685043335 2.487116575241089
is 11 6 2 6.338951587677002 3.786215305328369 0
? 11 7 1 4.0557403564453125 3.8472812175750732 0
what 12 0 4 2.9764037132263184 5.810532093048096 0
did 12 1 3 7.8522868156433105 2.5409979820251465 3.269534111022949
<unk> 12 2 5 0.4616394340991974 3.191605806350708 0
ask 12 3 3 10.577680587768555 5.488949775695801 0
who 12 4 3 8.093875885009766 5.190922260284424 0.29802751541137695
will 12 5 4 6.357967376708984 4.122282981872559 1.0686392784118652
is 12 6 2 8.09521484375 3.0366873741149902 1.0855956077575684
for 12 7 3 8.63646125793457 3.9868619441986084 0
? 12 8 1 4.434505462646484 5.361796855926514 0
whom 13 0 4 6.205172538757324 5.810532093048096 0
did 13 1 3 5.308838844299316 4.712320804595947 1.0982112884521484
