word sentid sentpos wlen surp entropy entred
what 0 0 4 0.5676602125167847 2.0428497791290283 0
did 0 1 3 4.506948947906494 5.388571262359619 0
i 0 2 1 8.325039863586426 5.972440719604492 0
buy 0 3 3 7.1831159591674805 7.4379167556762695 0
a 0 4 1 4.120530128479004 6.846827507019043 0.5910892486572266
guitar 0 5 6 10.732037544250488 8.445651054382324 0
for 0 6 3 3.7005691528320312 6.955327033996582 1.4903240203857422
myself 0 7 6 10.390610694885254 6.307864189147949 0.6474628448486328
because 0 8 7 9.019359588623047 3.9118294715881348 2.3960347175598145
they 0 9 4 3.4532930850982666 5.764732837677002 0
heard 0 10 5 8.490586280822754 7.553308963775635 0
? 0 11 1 9.552498817443848 6.434978485107422 1.118330478668213
what 1 0 4 0.5676602125167847 2.0428497791290283 0
will 1 1 4 9.029908180236816 5.388571262359619 0
they 1 2 4 5.310445308685303 5.6107378005981445 0
fail 1 3 4 9.537994384765625 7.480260372161865 0
the 1 4 3 6.538202285766602 5.441540718078613 2.038719654083252
test 1 5 4 12.127601623535156 8.911137580871582 0
if 1 6 2 9.97099781036377 9.104560852050781 0
they 1 7 4 2.5573513507843018 6.256384372711182 2.8481764793395996
do 1 8 2 6.3555684089660645 7.686861038208008 0
not 1 9 3 3.956850290298462 7.281765937805176 0.40509510040283203
? 1 10 1 8.072383880615234 8.178149223327637 0
whom 2 0 4 2.3681328296661377 2.0428497791290283 0
will 2 1 4 9.114740371704102 4.743856430053711 0
he 2 2 2 9.031888008117676 6.316173553466797 0
hire 2 3 4 11.53262710571289 9.554295539855957 0
someone 2 4 7 6.826928615570068 7.404903411865234 2.1493921279907227
if 2 5 2 10.245810508728027 2.0268502235412598 5.378053188323975
i 2 6 1 5.776211261749268 5.981429100036621 0
need 2 7 4 9.761872291564941 7.680322647094727 0
? 2 8 1 5.656421661376953 7.113036155700684 0.567286491394043
what 3 0 4 0.5676602125167847 2.0428497791290283 0
has 3 1 3 4.340118885040283 5.388571262359619 0
he 3 2 2 8.161876678466797 6.160680770874023 0
been 3 3 4 5.889411926269531 7.994960784912109 0
circulating 3 4 11 12.959711074829102 8.799677848815918 0
who 3 5 3 12.11819076538086 6.4019598960876465 2.3977179527282715
he 3 6 2 7.4021525382995605 8.0770845413208 0
thought 3 7 7 7.067193508148193 8.23454761505127 0
was 3 8 3 3.0780045986175537 6.539203643798828 1.6953439712524414
? 3 9 1 9.077157974243164 6.093253135681152 0.4459505081176758
what 4 0 4 0.5676602125167847 2.0428497791290283 0
will 4 1 4 9.029908180236816 5.388571262359619 0
he 4 2 2 6.465428352355957 5.6107378005981445 0
try 4 3 3 9.113962173461914 8.389517784118652 0
to 4 4 2 2.050708532333374 5.659775257110596 2.7297425270080566
call 4 5 4 7.661289215087891 8.309481620788574 0
you 4 6 3 7.172617435455322 5.398105144500732 2.911376476287842
if 4 7 2 9.20175552368164 7.682844161987305 0
she 4 8 3 6.332104206085205 5.689442157745361 1.9934020042419434
buys 4 9 4 13.890389442443848 8.207730293273926 0
? 4 10 1 8.374340057373047 5.687994480133057 2.519735813140869
what 5 0 4 0.5676602125167847 2.0428497791290283 0
did 5 1 3 4.506948947906494 5.388571262359619 0
she 5 2 3 9.009756088256836 5.972440719604492 0
say 5 3 3 8.96139907836914 8.899907112121582 0
she 5 4 3 6.690169334411621 6.227514266967773 2.6723928451538086
would 5 5 5 5.414234161376953 7.916760444641113 0
like 5 6 4 7.834657192230225 5.7725982666015625 2.144162178039551
the 5 7 3 3.394845724105835 6.562674045562744 0
man 5 8 3 10.141627311706543 7.538320064544678 0
if 5 9 2 9.483171463012695 6.059383392333984 1.4789366722106934
he 5 10 2 4.211430549621582 5.722014904022217 0.3373684883117676
read 5 11 4 4.408172130584717 7.915339946746826 0
? 5 12 1 7.21695613861084 6.564272403717041 1.3510675430297852
where 6 0 5 8.833909034729004 2.0428497791290283 0
did 6 1 3 8.502134323120117 6.150036334991455 0
i 6 2 1 7.809150218963623 6.365411281585693 0
buy 6 3 3 7.417684555053711 7.379575252532959 0
a 6 4 1 3.0109612941741943 6.124928951263428 1.2546463012695312
coffee 6 5 6 8.068512916564941 8.624701499938965 0
for 6 6 3 7.025055885314941 5.616252899169922 3.008448600769043
myself 6 7 6 10.177290916442871 7.919517517089844 0
because 6 8 7 8.94509506225586 3.3511924743652344 4.568325042724609
i 6 9 1 3.0306928157806396 5.880382061004639 0
went 6 10 4 6.499738693237305 7.542799949645996 0
? 6 11 1 9.584178924560547 4.298087120056152 3.2447128295898438
what 7 0 4 0.5676602125167847 2.0428497791290283 0
will 7 1 4 9.029908180236816 5.388571262359619 0
he 7 2 2 6.465428352355957 5.6107378005981445 0
circulate 7 3 9 19.14438819885254 8.389517784118652 0
a 7 4 1 5.793510913848877 6.513467788696289 1.8760499954223633
call 7 5 4 11.401750564575195 7.156281471252441 0
if 7 6 2 10.257390022277832 3.350959539413452 3.8053219318389893
she 7 7 3 5.244770526885986 5.844054222106934 0
buys 7 8 4 13.981890678405762 7.892658710479736 0
? 7 9 1 6.988733768463135 5.455298900604248 2.4373598098754883
whom 8 0 4 2.3681328296661377 2.0428497791290283 0
did 8 1 3 3.6107017993927 4.743856430053711 0
she 8 2 3 9.75157356262207 6.438116073608398 0
say 8 3 3 10.06668758392334 9.491035461425781 0
that 8 4 4 3.302764415740967 6.373943328857422 3.1170921325683594
she 8 5 3 4.368311882019043 7.526567459106445 0
gave 8 6 4 8.865472793579102 7.904224395751953 0
a 8 7 1 3.5144288539886475 5.777268886566162 2.126955509185791
guitar 8 8 6 12.344799041748047 6.921748638153076 0
to 8 9 2 5.755002975463867 6.626226425170898 0.29552221298217773
me 8 10 2 8.22925090789795 6.448854923248291 0.17737150192260742
when 8 11 4 7.982503414154053 5.672073841094971 0.7767810821533203
i 8 12 1 4.53744649887085 5.170401096343994 0.5016727447509766
hired 8 13 5 12.363911628723145 6.4791483879089355 0
? 8 14 1 10.095403671264648 6.382966995239258 0.09618139266967773
what 9 0 4 0.5676602125167847 2.0428497791290283 0
did 9 1 3 4.506948947906494 5.388571262359619 0
he 9 2 2 7.186361789703369 5.972440719604492 0
get 9 3 3 8.04121208190918 8.861623764038086 0
a 9 4 1 4.208690166473389 7.555753231048584 1.305870532989502
new 9 5 3 8.620183944702148 7.747341632843018 0
phone 9 6 5 11.731555938720703 8.0189208984375 0
for 9 7 3 4.984241008758545 5.411046028137207 2.607874870300293
<unk> 9 8 5 3.944082260131836 6.825629711151123 0
because 9 9 7 11.141393661499023 3.3640213012695312 3.461608409881592
she 9 10 3 4.659177303314209 5.504739284515381 0
saw 9 11 3 6.677793502807617 7.401743412017822 0
? 9 12 1 14.022377014160156 6.285668849945068 1.116074562072754
what 10 0 4 0.5676602125167847 2.0428497791290283 0
did 10 1 3 4.506948947906494 5.388571262359619 0
you 10 2 3 6.880381107330322 5.972440719604492 0
need 10 3 4 6.297628879547119 8.373537063598633 0
to 10 4 2 2.857445478439331 6.323685646057129 2.049851417541504
do 10 5 2 4.086300373077393 6.667746543884277 0
that 10 6 4 4.37714958190918 6.575531482696533 0.09221506118774414
if 10 7 2 8.519722938537598 7.636110305786133 0
you 10 8 3 2.11706805229187 5.739596843719482 1.8965134620666504
were 10 9 4 3.356773853302002 7.721938610076904 0
to 10 10 2 6.052999496459961 8.652029037475586 0
go 10 11 2 4.506898880004883 7.064223766326904 1.5878052711486816
and 10 12 3 6.4466047286987305 6.47554349899292 0.5886802673339844
buy 10 13 3 7.463004112243652 8.584193229675293 0
? 10 14 1 7.499972343444824 5.977020263671875 2.607172966003418
what 11 0 4 0.5676602125167847 2.0428497791290283 0
did 11 1 3 4.506948947906494 5.388571262359619 0
she 11 2 3 9.009756088256836 5.972440719604492 0
eat 11 3 3 12.238011360168457 8.899907112121582 0
the 11 4 3 3.1268792152404785 7.51481819152832 1.3850889205932617
<unk> 11 5 5 2.998051166534424 9.044686317443848 0
because 11 6 7 11.719254493713379 7.903037071228027 1.1416492462158203
they 11 7 4 2.966238021850586 5.62361478805542 2.2794222831726074
<unk> 11 8 5 7.544661045074463 7.446846008300781 0
? 11 9 1 8.004830360412598 7.017440319061279 0.42940568923950195
where 12 0 5 8.833909034729004 2.0428497791290283 0
did 12 1 3 8.502134323120117 6.150036334991455 0
she 12 2 3 8.983003616333008 6.365411281585693 0
say 12 3 3 8.311907768249512 9.29990291595459 0
that 12 4 4 3.1951987743377686 6.340877056121826 2.9590258598327637
he 12 5 2 3.431042194366455 7.463873863220215 0
will 12 6 4 8.13517951965332 8.07348346710205 0
hear 12 7 4 9.20993423461914 6.89979887008667 1.1736845970153809
a 12 8 1 2.3620784282684326 6.5313920974731445 0.3684067726135254
rumour 12 9 6 12.561044692993164 5.8824334144592285 0.648958683013916
if 12 10 2 12.44705867767334 1.1009364128112793 4.781497001647949
she 12 11 3 4.440908432006836 5.745993137359619 0
is 12 12 2 4.565655708312988 8.246712684631348 0
? 12 13 1 8.983238220214844 6.922453880310059 1.324258804321289
what 13 0 4 0.5676602125167847 2.0428497791290283 0
does 13 1 4 3.422555685043335 5.388571262359619 0
he 13 2 2 6.541353702545166 4.520507335662842 0.8680639266967773
speak 13 3 5 11.128522872924805 8.769131660461426 0
a 13 4 1 5.2339396476745605 5.530962944030762 3.238168716430664
<unk> 13 5 5 1.3595892190933228 6.441467761993408 0
language 13 6 8 0.2413681596517563 1.8214589357376099 4.620008826255798
because 13 7 7 12.56733226776123 5.842888832092285 0
you 13 8 3 5.046542167663574 5.929869651794434 0
were 13 9 4 4.315628528594971 7.8623366355896 0
? 13 10 1 10.840392112731934 9.096534729003906 0
who 14 0 3 5.43345832824707 2.0428497791290283 0
did 14 1 3 4.506770133972168 6.167061805725098 0
she 14 2 3 10.697258949279785 6.657506942749023 0
say 14 3 3 9.39570426940918 9.51141357421875 0
that 14 4 4 3.507929801940918 6.399605751037598 3.1118078231811523
she 14 5 3 4.624701499938965 7.4783148765563965 0
wears 14 6 5 10.767416000366211 7.857698917388916 0
extravagant 14 7 11 14.08158016204834 7.91898250579834 0
rings 14 8 5 13.298964500427246 9.317744255065918 0
when 14 9 4 7.916900157928467 6.208930015563965 3.108814239501953
she 14 10 3 2.5741336345672607 6.5993332862854 0
is 14 11 2 5.7619242668151855 8.39236831665039 0
waiting 14 12 7 6.695905685424805 7.6635518074035645 0.7288165092468262
for 14 13 3 0.14574016630649567 1.0803636312484741 6.58318817615509
? 14 14 1 8.977925300598145 4.768825054168701 0
what 15 0 4 0.5676602125167847 2.0428497791290283 0
does 15 1 4 3.422555685043335 5.388571262359619 0
<unk> 15 2 5 5.647182941436768 4.520507335662842 0.8680639266967773
eat 15 3 3 13.266817092895508 8.802557945251465 0
a 15 4 1 4.304440498352051 7.234405994415283 1.5681519508361816
yellow 15 5 6 13.296222686767578 6.614374160766602 0.6200318336486816
candy 15 6 5 12.707367897033691 7.621592044830322 0
whenever 15 7 8 13.888164520263672 7.7665863037109375 0
<unk> 15 8 5 4.574687480926514 5.6367268562316895 2.129859447479248
watches 15 9 7 11.803635597229004 8.907571792602539 0
? 15 10 1 5.979675769805908 6.607184886932373 2.300386905670166
whom 16 0 4 2.3681328296661377 2.0428497791290283 0
did 16 1 3 3.6107017993927 4.743856430053711 0
the 16 2 3 2.4586241245269775 6.438116073608398 0
pregnant 16 3 8 17.14273452758789 8.960010528564453 0
teddy 16 4 5 16.7401180267334 6.863097190856934 2.0969133377075195
