word sentid sentpos wlen surp entropy entred
how 0 0 3 9.393242835998535 2.2328031063079834 0
did 0 1 3 6.5123982429504395 6.728427886962891 0
bill 0 2 4 15.964475631713867 5.009372711181641 1.71905517578125
claim 0 3 5 17.117719650268555 5.4140167236328125 0
that 0 4 4 3.5865111351013184 6.842016696929932 0
today 0 5 5 12.605804443359375 6.934881687164307 0
is 0 6 2 4.436573028564453 8.350419044494629 0
his 0 7 3 10.609519958496094 1.3060028553009033 7.044416189193726
last 0 8 4 7.584272384643555 9.796070098876953 0
day 0 9 3 7.519016742706299 8.404282569885254 1.3917875289916992
? 0 10 1 3.1970412731170654 6.199491500854492 2.2047910690307617
how 1 0 3 9.393242835998535 2.2328031063079834 0
does 1 1 4 6.488260269165039 6.728427886962891 0
<unk> 1 2 5 4.188183307647705 5.206672191619873 1.5217556953430176
claim 1 3 5 12.624126434326172 7.160715579986572 0
that 1 4 4 2.73260498046875 6.1818952560424805 0.9788203239440918
he 1 5 2 4.251088619232178 7.004225254058838 0
has 1 6 3 2.0295751094818115 6.593405723571777 0.41081953048706055
a 1 7 1 5.672382831573486 8.318058967590332 0
boat 1 8 4 11.55528736114502 7.457422733306885 0.8606362342834473
and 1 9 3 5.6518144607543945 8.388285636901855 0
a 1 10 1 3.7347309589385986 8.54191780090332 0
car 1 11 3 9.842185974121094 7.467671871185303 1.0742459297180176
? 1 12 1 3.330113172531128 7.950805187225342 0
how 2 0 3 9.393242835998535 2.2328031063079834 0
did 2 1 3 6.5123982429504395 6.728427886962891 0
she 2 2 3 6.40887975692749 5.009372711181641 1.71905517578125
think 2 3 5 7.576163291931152 7.802522659301758 0
that 2 4 4 2.0999186038970947 5.3008036613464355 2.5017189979553223
she 2 5 3 5.1194868087768555 6.754568576812744 0
bought 2 6 6 9.29378604888916 7.121222496032715 0
beans 2 7 5 17.85186767578125 7.257250785827637 0
and 2 8 3 6.927534580230713 0.958472728729248 6.298778057098389
<unk> 2 9 5 2.5933690071105957 9.352614402770996 0
? 2 10 1 1.7759133577346802 7.241334915161133 2.1112794876098633
how 3 0 3 9.393242835998535 2.2328031063079834 0
does 3 1 4 6.488260269165039 6.728427886962891 0
<unk> 3 2 5 4.188183307647705 5.206672191619873 1.5217556953430176
claim 3 3 5 12.624126434326172 7.160715579986572 0
that 3 4 4 2.73260498046875 6.1818952560424805 0.9788203239440918
he 3 5 2 4.251088619232178 7.004225254058838 0
can 3 6 3 5.654479503631592 6.593405723571777 0.41081953048706055
make 3 7 4 5.529567718505859 6.20211124420166 0.3912944793701172
<unk> 3 8 5 4.122223377227783 7.179032325744629 0
and 3 9 3 6.59043025970459 8.01652717590332 0
espresso 3 10 8 21.35026741027832 7.653838634490967 0.3626885414123535
? 3 11 1 1.2380300760269165 6.070275783538818 1.5835628509521484
how 4 0 3 9.393242835998535 2.2328031063079834 0
does 4 1 4 6.488260269165039 6.728427886962891 0
she 4 2 3 6.474686145782471 5.206672191619873 1.5217556953430176
know 4 3 4 7.0431132316589355 8.061732292175293 0
that 4 4 4 2.6827025413513184 6.314499378204346 1.7472329139709473
she 4 5 3 4.796350479125977 7.00114631652832 0
failed 4 6 6 12.128530502319336 6.3033342361450195 0.6978120803833008
the 4 7 3 4.9546613693237305 5.799326419830322 0.5040078163146973
test 4 8 4 11.469738960266113 9.473832130432129 0
? 4 9 1 3.2826693058013916 8.374105453491211 1.099726676940918
how 5 0 3 9.393242835998535 2.2328031063079834 0
did 5 1 3 6.5123982429504395 6.728427886962891 0
he 5 2 2 4.75714111328125 5.009372711181641 1.71905517578125
say 5 3 3 6.596494197845459 7.847116470336914 0
that 5 4 4 2.8758280277252197 6.151820659637451 1.695295810699463
he 5 5 2 3.5984060764312744 6.607547283172607 0
went 5 6 4 7.597855091094971 7.097675323486328 0
to 5 7 2 4.451117992401123 6.391400337219238 0.7062749862670898
school 5 8 6 10.06291675567627 6.422940254211426 0
? 5 9 1 2.3830273151397705 6.893932819366455 0
how 6 0 3 9.393242835998535 2.2328031063079834 0
does 6 1 4 6.488260269165039 6.728427886962891 0
will 6 2 4 14.591485977172852 5.206672191619873 1.5217556953430176
think 6 3 5 11.528223037719727 4.126613616943359 1.0800585746765137
that 6 4 4 2.0192086696624756 5.038918495178223 0
bill 6 5 4 15.760418891906738 7.105506420135498 0
is 6 6 2 5.173861980438232 5.946307182312012 1.1591992378234863
pregnant 6 7 8 14.621959686279297 1.7654978036880493 4.180809378623962
in 6 8 2 6.116898536682129 6.928775310516357 0
class 6 9 5 12.267910957336426 5.185645580291748 1.7431297302246094
? 6 10 1 3.5214474201202393 7.1112060546875 0
how 7 0 3 9.393242835998535 2.2328031063079834 0
did 7 1 3 6.5123982429504395 6.728427886962891 0
<unk> 7 2 5 4.859258651733398 5.009372711181641 1.71905517578125
claim 7 3 5 11.138418197631836 8.1002197265625 0
that 7 4 4 2.648655652999878 5.773370742797852 2.3268489837646484
he 7 5 2 4.269046306610107 6.824065208435059 0
fell 7 6 4 11.524819374084473 7.118595600128174 0
asleep 7 7 6 10.671614646911621 7.332943439483643 0
in 7 8 2 4.465689659118652 6.914810657501221 0.4181327819824219
class 7 9 5 13.877018928527832 5.827783584594727 1.0870270729064941
today 7 10 5 13.28050422668457 6.73166036605835 0
? 7 11 1 1.8853541612625122 5.94942569732666 0.7822346687316895
how 8 0 3 9.393242835998535 2.2328031063079834 0
does 8 1 4 6.488260269165039 6.728427886962891 0
someone 8 2 7 6.312877655029297 5.206672191619873 1.5217556953430176
who 8 3 3 2.6700775623321533 6.75492000579834 0
speaks 8 4 6 9.419608116149902 7.227845191955566 0
a 8 5 1 4.368309020996094 6.550535678863525 0.677309513092041
<unk> 8 6 5 0.7252013683319092 4.903900146484375 1.6466355323791504
language 8 7 8 1.2210261821746826 5.095129013061523 0
solve 8 8 5 17.430471420288086 3.6966300010681152 1.3984990119934082
by 8 9 2 6.37081241607666 5.775042533874512 0
<unk> 8 10 5 1.577665090560913 5.615684986114502 0.15935754776000977
analysis 8 11 8 15.825711250305176 3.6302778720855713 1.9854071140289307
? 8 12 1 1.3486613035202026 5.2239460945129395 0
how 9 0 3 9.393242835998535 2.2328031063079834 0
does 9 1 4 6.488260269165039 6.728427886962891 0
<unk> 9 2 5 4.188183307647705 5.206672191619873 1.5217556953430176
claim 9 3 5 12.624126434326172 7.160715579986572 0
that 9 4 4 2.73260498046875 6.1818952560424805 0.9788203239440918
she 9 5 3 6.8806047439575195 7.004225254058838 0
sleeps 9 6 6 13.162019729614258 6.528397560119629 0.475827693939209
with 9 7 4 3.6499059200286865 7.444661617279053 0
a 9 8 1 4.095035552978516 7.3697896003723145 0.07487201690673828
teddy 9 9 5 14.823441505432129 5.813557147979736 1.5562324523925781
bear 9 10 4 2.454637050628662 6.4914326667785645 0
? 9 11 1 1.096817970275879 4.984310150146484 1.50712251663208
how 10 0 3 9.393242835998535 2.2328031063079834 0
does 10 1 4 6.488260269165039 6.728427886962891 0
someone 10 2 7 6.312877655029297 5.206672191619873 1.5217556953430176
who 10 3 3 2.6700775623321533 6.75492000579834 0
speaks 10 4 6 9.419608116149902 7.227845191955566 0
a 10 5 1 4.368309020996094 6.550535678863525 0.677309513092041
<unk> 10 6 5 0.7252013683319092 4.903900146484375 1.6466355323791504
language 10 7 8 1.2210261821746826 5.095129013061523 0
know 10 8 4 11.426858901977539 3.6966300010681152 1.3984990119934082
beans 10 9 5 22.213760375976562 5.14346981048584 0
and 10 10 3 6.8703484535217285 1.477114200592041 3.666355609893799
<unk> 10 11 5 2.873751640319824 8.878191947937012 0
? 10 12 1 0.6554202437400818 4.214613914489746 4.663578033447266
how 11 0 3 9.393242835998535 2.2328031063079834 0
does 11 1 4 6.488260269165039 6.728427886962891 0
<unk> 11 2 5 4.188183307647705 5.206672191619873 1.5217556953430176
hear 11 3 4 15.32969856262207 7.160715579986572 0
<unk> 11 4 5 3.874593734741211 5.8411712646484375 1.3195443153381348
and 11 5 3 5.710947036743164 6.972766876220703 0
espresso 11 6 8 21.08091163635254 6.6607584953308105 0.3120083808898926
? 11 7 1 0.6822274923324585 4.277100086212158 2.3836584091186523
how 12 0 3 9.393242835998535 2.2328031063079834 0
does 12 1 4 6.488260269165039 6.728427886962891 0
<unk> 12 2 5 4.188183307647705 5.206672191619873 1.5217556953430176
believe 12 3 7 10.077718734741211 7.160715579986572 0
<unk> 12 4 5 4.073541641235352 4.644620418548584 2.5160951614379883
and 12 5 3 5.109676361083984 7.121581554412842 0
espresso 12 6 8 21.31281852722168 5.008432865142822 2.1131486892700195
? 12 7 1 1.1191409826278687 5.517423152923584 0
how 13 0 3 9.393242835998535 2.2328031063079834 0
did 13 1 3 6.5123982429504395 6.728427886962891 0
she 13 2 3 6.40887975692749 5.009372711181641 1.71905517578125
know 13 3 4 6.6663899421691895 7.802522659301758 0
that 13 4 4 2.6091296672821045 5.782762050628662 2.0197606086730957
he 13 5 2 4.241564750671387 6.716643333435059 0
bought 13 6 6 9.162298202514648 7.1481499671936035 0
a 13 7 1 3.7010867595672607 7.197331428527832 0
boat 13 8 4 11.611189842224121 6.940083980560303 0.2572474479675293
yesterday 13 9 9 17.54730796813965 7.852620601654053 0
? 13 10 1 3.253894567489624 7.807544708251953 0.04507589340209961
how 14 0 3 9.393242835998535 2.2328031063079834 0
did 14 1 3 6.5123982429504395 6.728427886962891 0
<unk> 14 2 5 4.859258651733398 5.009372711181641 1.71905517578125
claim 14 3 5 11.138418197631836 8.1002197265625 0
that 14 4 4 2.648655652999878 5.773370742797852 2.3268489837646484
he 14 5 2 4.269046306610107 6.824065208435059 0
got 14 6 3 8.960243225097656 7.118595600128174 0
a 14 7 1 5.030107498168945 8.375923156738281 0
perfect 14 8 7 10.780414581298828 5.841426372528076 2.534496784210205
score 14 9 5 9.800985336303711 9.105008125305176 0
on 14 10 2 5.61433744430542 5.7298760414123535 3.3751320838928223
the 14 11 3 1.1804964542388916 5.208009243011475 0.5218667984008789
test 14 12 4 12.951704978942871 9.51749038696289 0
? 14 13 1 3.609153985977173 8.486804008483887 1.030686378479004
how 15 0 3 9.393242835998535 2.2328031063079834 0
does 15 1 4 6.488260269165039 6.728427886962891 0
the 15 2 3 2.0791878700256348 5.206672191619873 1.5217556953430176
discreet 15 3 8 19.310073852539062 9.00477123260498 0
party 15 4 5 11.10688304901123 9.636808395385742 0
think 15 5 5 14.367993354797363 7.67634916305542 1.9604592323303223
that 15 6 4 2.6147053241729736 3.776479959487915 3.899869203567505
the 15 7 3 3.960418462753296 6.494431018829346 0
blue 15 8 4 13.840723037719727 8.792915344238281 0
trumpet 15 9 7 18.95250129699707 9.185540199279785 0
met 15 10 3 13.046464920043945 9.256216049194336 0
someone 15 11 7 9.73342227935791 7.4880475997924805 1.7681684494018555
who 15 12 3 4.8877363204956055 6.130784034729004 1.3572635650634766
circulated 15 13 10 15.465723037719727 6.588870525360107 0
a 15 14 1 4.062591552734375 5.619904041290283 0.9689664840698242
teddy 15 15 5 16.579038619995117 7.038640975952148 0
bear 15 16 4 5.454168796539307 7.723473072052002 0
? 15 17 1 0.43024465441703796 3.1389293670654297 4.584543704986572
how 16 0 3 9.393242835998535 2.2328031063079834 0
did 16 1 3 6.5123982429504395 6.728427886962891 0
<unk> 16 2 5 4.859258651733398 5.009372711181641 1.71905517578125
think 16 3 5 9.823671340942383 8.1002197265625 0
that 16 4 4 2.1080713272094727 4.529000282287598 3.5712194442749023
the 16 5 3 3.4867827892303467 6.612311840057373 0
movie 16 6 5 6.577465534210205 9.467507362365723 0
is 16 7 2 5.554408073425293 7.538865089416504 1.9286422729492188
directed 16 8 8 13.528348922729492 2.3454396724700928 5.193425416946411
by 16 9 2 2.970048189163208 3.437826156616211 0
<unk> 16 10 5 0.8919724822044373 4.498514175415039 0
analysis 16 11 8 16.981563568115234 5.275763034820557 0
? 16 12 1 3.4572410583496094 6.579965591430664 0
how 17 0 3 9.393242835998535 2.2328031063079834 0
does 17 1 4 6.488260269165039 6.728427886962891 0
the 17 2 3 2.0791878700256348 5.206672191619873 1.5217556953430176
open 17 3 4 15.56268310546875 9.00477123260498 0
window 17 4 6 10.37699031829834 9.381624221801758 0
claim 17 5 5 10.274236679077148 7.36195182800293 2.019672393798828
that 17 6 4 4.865140914916992 6.951858043670654 0.4100937843322754
it 17 7 2 5.740796089172363 7.164459705352783 0
has 17 8 3 2.63873553276062 7.385186195373535 0
a 17 9 1 4.918727874755859 8.100003242492676 0
ring 17 10 4 11.72536563873291 7.947450160980225 0.15255308151245117
and 17 11 3 6.233821392059326 7.222811698913574 0.7246384620666504
a 17 12 1 2.5290935039520264 8.48122501373291 0
salad 17 13 5 13.912147521972656 7.511439323425293 0.9697856903076172
? 17 14 1 1.3219943046569824 6.171889305114746 1.3395500183105469
how 18 0 3 9.393242835998535 2.2328031063079834 0
did 18 1 3 6.5123982429504395 6.728427886962891 0
the 18 2 3 2.036426305770874 5.009372711181641 1.71905517578125
circulating 18 3 11 17.795513153076172 8.867889404296875 0
rumour 18 4 6 16.656644821166992 9.639453887939453 0
claim 18 5 5 16.370119094848633 2.2602875232696533 7.3791663646698
an 18 6 2 8.052465438842773 6.059609889984131 0
experience 18 7 10 8.756876945495605 8.382489204406738 0
that 18 8 4 3.2960588932037354 6.658333778381348 1.7241554260253906
she 18 9 3 7.605000019073486 7.284548282623291 0
bought 18 10 6 10.34154224395752 7.108151435852051 0.17639684677124023
a 18 11 1 4.161329746246338 7.124325752258301 0
cup 18 12 3 6.389432907104492 6.846765518188477 0.2775602340698242
of 18 13 2 0.8799843788146973 4.573780536651611 2.2729849815368652
coffee 18 14 6 0.25881069898605347 2.1659510135650635 2.407829523086548
? 18 15 1 0.0010865210788324475 0.015596596524119377 2.150354417040944
how 19 0 3 9.393242835998535 2.2328031063079834 0
does 19 1 4 6.488260269165039 6.728427886962891 0
<unk> 19 2 5 4.188183307647705 5.206672191619873 1.5217556953430176
claim 19 3 5 12.624126434326172 7.160715579986572 0
that 19 4 4 2.73260498046875 6.1818952560424805 0.9788203239440918
she 19 5 3 6.8806047439575195 7.004225254058838 0
can 19 6 3 5.673655986785889 6.528397560119629 0.475827693939209
buy 19 7 3 7.9678192138671875 6.284656047821045 0.24374151229858398
a 19 8 1 3.4731366634368896 7.507724285125732 0
story 19 9 5 7.5568461418151855 8.149850845336914 0
and 19 10 3 10.146431922912598 0.47777432203292847 7.672076523303986
possibilities 19 11 13 16.223196029663086 9.267638206481934 0
? 19 12 1 2.3465678691864014 5.500485897064209 3.7671523094177246
how 20 0 3 9.393242835998535 2.2328031063079834 0
does 20 1 4 6.488260269165039 6.728427886962891 0
the 20 2 3 2.0791878700256348 5.206672191619873 1.5217556953430176
wonder 20 3 6 14.508255958557129 9.00477123260498 0
know 20 4 4 13.800430297851562 7.855434894561768 1.149336338043213
that 20 5 4 3.4277024269104004 4.791304111480713 3.0641307830810547
it 20 6 2 5.560123920440674 6.700817584991455 0
asked 20 7 5 13.261476516723633 6.9564127922058105 0
for 20 8 3 1.8196454048156738 5.7196221351623535 1.236790657043457
an 20 9 2 6.602149963378906 5.544792652130127 0.17482948303222656
announced 20 10 9 12.366501808166504 8.31685733795166 0
plan 20 11 4 6.50730562210083 8.747117042541504 0
? 20 12 1 2.694795846939087 6.081113815307617 2.6660032272338867
how 21 0 3 9.393242835998535 2.2328031063079834 0
did 21 1 3 6.5123982429504395 6.728427886962891 0
the 21 2 3 2.036426305770874 5.009372711181641 1.71905517578125
extravagant 21 3 11 15.703088760375977 8.867889404296875 0
gift 21 4 4 11.260940551757812 10.089946746826172 0
claim 21 5 5 13.032655715942383 6.309345245361328 3.7806015014648438
that 21 6 4 5.307549476623535 6.847046375274658 0
it 21 7 2 5.848691463470459 6.933768272399902 0
went 21 8 4 6.788193225860596 7.760778427124023 0
to 21 9 2 3.953909397125244 6.712128639221191 1.048649787902832
the 21 10 3 2.038304567337036 6.760351181030273 0
sleepy 21 11 6 18.472990036010742 9.63068962097168 0
<unk> 21 12 5 3.8700854778289795 6.806824684143066 2.8238649368286133
store 21 13 5 9.992735862731934 6.380116939544678 0.42670774459838867
? 21 14 1 1.0982459783554077 5.2309722900390625 1.1491446495056152
