word sentid sentpos wlen surp entropy entred
what 0 0 4 0.3978290557861328 1.9206409454345703 0
did 0 1 3 3.6814124584198 5.2410759925842285 0
they 0 2 4 5.211099147796631 5.2281975746154785 0.01287841796875
not 0 3 3 7.5549116134643555 7.996817111968994 0
like 0 4 4 6.838667392730713 7.653385639190674 0.3434314727783203
that 0 5 4 4.425711631774902 6.941283226013184 0.7121024131774902
<unk> 0 6 5 3.505032539367676 7.735986709594727 0
likes 0 7 5 12.488702774047852 7.6219801902771 0.11400651931762695
and 0 8 3 5.744478225708008 7.082335472106934 0.539644718170166
accounts 0 9 8 15.836063385009766 8.28160572052002 0
? 0 10 1 10.297404289245605 2.3617448806762695 5.91986083984375
who 1 0 3 5.226932525634766 1.9206409454345703 0
did 1 1 3 3.931138515472412 6.49021577835083 0
she 1 2 3 9.963983535766602 5.841495513916016 0.6487202644348145
hear 1 3 4 11.707454681396484 8.126522064208984 0
a 1 4 1 4.5795135498046875 6.764537334442139 1.3619847297668457
rumour 1 5 6 13.25383472442627 5.893466472625732 0.8710708618164062
about 1 6 5 0.26671963930130005 1.1535062789916992 4.739960193634033
and 1 7 3 11.11691951751709 7.5204572677612305 0
wait 1 8 4 11.538747787475586 7.906889915466309 0
for 1 9 3 0.3373138904571533 2.207301616668701 5.699588298797607
? 1 10 1 8.575183868408203 4.081976890563965 0
what 2 0 4 0.3978290557861328 1.9206409454345703 0
did 2 1 3 3.6814124584198 5.2410759925842285 0
he 2 2 2 7.023650169372559 5.2281975746154785 0.01287841796875
hear 2 3 4 13.56258487701416 7.941164016723633 0
that 2 4 4 4.643134117126465 6.491378307342529 1.4497857093811035
<unk> 2 5 5 3.0271241664886475 7.677485942840576 0
ate 2 6 3 12.695198059082031 7.835718154907227 0
accounts 2 7 8 14.78311538696289 7.883657932281494 0
and 2 8 3 8.275444984436035 2.1792218685150146 5.7044360637664795
? 2 9 1 13.90051555633545 9.85797119140625 0
what 3 0 4 0.3978290557861328 1.9206409454345703 0
did 3 1 3 3.6814124584198 5.2410759925842285 0
will 3 2 4 14.39414119720459 5.2281975746154785 0.01287841796875
buy 3 3 3 11.131229400634766 4.628123760223389 0.6000738143920898
? 3 4 1 11.662858009338379 5.097166061401367 0
what 4 0 4 0.3978290557861328 1.9206409454345703 0
did 4 1 3 3.6814124584198 5.2410759925842285 0
you 4 2 3 6.898343563079834 5.2281975746154785 0.01287841796875
read 4 3 4 5.2975616455078125 7.770393371582031 0
about 4 4 5 2.1703736782073975 6.006597518920898 1.7637958526611328
and 4 5 3 10.067873001098633 7.034541606903076 0
announce 4 6 8 17.57544708251953 7.528932571411133 0
about 4 7 5 3.7953827381134033 5.418063163757324 2.1108694076538086
? 4 8 1 9.17666244506836 6.809720993041992 0
what 5 0 4 0.3978290557861328 1.9206409454345703 0
did 5 1 3 3.6814124584198 5.2410759925842285 0
he 5 2 2 7.023650169372559 5.2281975746154785 0.01287841796875
announce 5 3 8 18.028596878051758 7.941164016723633 0
a 5 4 1 4.029239654541016 6.31307315826416 1.6280908584594727
plan 5 5 4 4.817079067230225 6.1275410652160645 0.1855320930480957
and 5 6 3 7.629422664642334 5.8299241065979 0.29761695861816406
speak 5 7 5 11.414022445678711 8.925149917602539 0
? 5 8 1 8.558955192565918 5.33822774887085 3.5869221687316895
which 6 0 5 7.489163398742676 1.9206409454345703 0
subjects 6 1 8 18.853473663330078 5.986519813537598 0
did 6 2 3 5.980465412139893 7.681888580322266 0
she 6 3 3 10.730195999145508 7.134171962738037 0.5477166175842285
not 6 4 3 8.895186424255371 8.117520332336426 0
study 6 5 5 12.099637031555176 7.498361587524414 0.6191587448120117
for 6 6 3 2.6733758449554443 6.1016411781311035 1.3967204093933105
or 6 7 2 8.368971824645996 7.325766086578369 0
fail 6 8 4 12.255204200744629 8.53250789642334 0
the 6 9 3 5.5550761222839355 3.984537363052368 4.547970533370972
test 6 10 4 11.150141716003418 8.928350448608398 0
for 6 11 3 4.913941383361816 7.2539777755737305 1.674372673034668
? 6 12 1 7.470550537109375 7.335175514221191 0
what 7 0 4 0.3978290557861328 1.9206409454345703 0
did 7 1 3 3.6814124584198 5.2410759925842285 0
<unk> 7 2 5 4.868550777435303 5.2281975746154785 0.01287841796875
order 7 3 5 17.482877731323242 7.547550201416016 0
for 7 4 3 5.043834209442139 7.500832557678223 0.04671764373779297
me 7 5 2 7.316301345825195 5.10366678237915 2.3971657752990723
and 7 6 3 6.427945137023926 5.8415303230285645 0
borrow 7 7 6 19.036102294921875 5.936219215393066 0
for 7 8 3 5.935837268829346 6.030217170715332 0
you 7 9 3 6.6010966300964355 5.186299800872803 0.8439173698425293
