word sentid sentpos wlen surp entropy entred
how 0 0 3 7.228347301483154 2.0428497791290283 0
<unk> 0 1 5 3.4630110263824463 7.151403427124023 0
did 0 2 3 6.070438385009766 8.564102172851562 0
she 0 3 3 11.45422077178955 7.453655242919922 1.1104469299316406
say 0 4 3 9.977743148803711 9.194767951965332 0
that 0 5 4 4.217844486236572 6.068021774291992 3.12674617767334
he 0 6 2 3.0945351123809814 7.363564968109131 0
directed 0 7 8 6.666113376617432 7.886963844299316 0
the 0 8 3 1.6956511735916138 5.760692119598389 2.1262717247009277
movie 0 9 5 5.515294551849365 8.11087417602539 0
that 0 10 4 5.838890552520752 5.01037073135376 3.100503444671631
i 0 11 1 5.588433265686035 7.924284934997559 0
saw 0 12 3 3.470848560333252 7.560064792633057 0.36422014236450195
yesterday 0 13 9 7.172467231750488 6.889113903045654 0.6709508895874023
? 0 14 1 5.696987628936768 9.005414962768555 0
how 1 0 3 7.228347301483154 2.0428497791290283 0
discreet 1 1 8 19.62689781188965 7.151403427124023 0
did 1 2 3 7.066339015960693 6.844820022583008 0.3065834045410156
<unk> 1 3 5 4.049228191375732 6.836399078369141 0.008420944213867188
hire 1 4 4 13.821271896362305 9.045849800109863 0
an 1 5 2 7.305034637451172 7.543121814727783 1.50272798538208
agent 1 6 5 5.942049980163574 8.569681167602539 0
? 1 7 1 2.7460970878601074 6.58827543258667 1.9814057350158691
how 2 0 3 7.228347301483154 2.0428497791290283 0
pretty 2 1 6 14.81692886352539 7.151403427124023 0
does 2 2 4 6.241584777832031 7.247095584869385 0
<unk> 2 3 5 4.182833194732666 6.412391662597656 0.8347039222717285
like 2 4 4 9.688039779663086 8.198148727416992 0
the 2 5 3 2.7173311710357666 7.101484298706055 1.0966644287109375
woman 2 6 5 11.045839309692383 8.177127838134766 0
? 2 7 1 2.300048351287842 6.808328628540039 1.3687992095947266
how 3 0 3 7.228347301483154 2.0428497791290283 0
difficult 3 1 9 6.849817276000977 7.151403427124023 0
did 3 2 3 7.4871745109558105 7.177386283874512 0
he 3 3 2 7.093907356262207 6.8024749755859375 0.3749113082885742
hear 3 4 4 8.493570327758789 8.212032318115234 0
that 3 5 4 6.4167656898498535 6.729860782623291 1.4821715354919434
you 3 6 3 5.931229591369629 8.534412384033203 0
failed 3 7 6 11.258870124816895 7.68172550201416 0.852686882019043
the 3 8 3 5.815099239349365 5.474499225616455 2.207226276397705
test 3 9 4 9.77973747253418 9.348564147949219 0
? 3 10 1 2.818737506866455 8.206835746765137 1.141728401184082
whose 4 0 5 9.94840145111084 2.0428497791290283 0
did 4 1 3 14.837644577026367 9.935043334960938 0
she 4 2 3 9.956997871398926 7.162055015563965 2.7729883193969727
say 4 3 3 8.642147064208984 9.137052536010742 0
that 4 4 4 3.2604165077209473 6.590719223022461 2.5463333129882812
<unk> 4 5 5 2.651002883911133 7.217545032501221 0
eats 4 6 4 12.67672061920166 8.618857383728027 0
<unk> 4 7 5 4.443992614746094 7.767380237579346 0.8514771461486816
? 4 8 1 5.475541591644287 8.808656692504883 0
how 5 0 3 7.228347301483154 2.0428497791290283 0
<unk> 5 1 5 3.4630110263824463 7.151403427124023 0
did 5 2 3 6.070438385009766 8.564102172851562 0
she 5 3 3 11.45422077178955 7.453655242919922 1.1104469299316406
say 5 4 3 9.977743148803711 9.194767951965332 0
that 5 5 4 4.217844486236572 6.068021774291992 3.12674617767334
he 5 6 2 3.0945351123809814 7.363564968109131 0
announced 5 7 9 4.175691604614258 7.886963844299316 0
a 5 8 1 3.3876423835754395 5.412012100219727 2.47495174407959
plan 5 9 4 2.0564117431640625 5.9772844314575195 0
? 5 10 1 5.651682376861572 2.2185614109039307 3.758723020553589
how 6 0 3 7.228347301483154 2.0428497791290283 0
pretty 6 1 6 14.81692886352539 7.151403427124023 0
did 6 2 3 6.629968166351318 7.247095584869385 0
he 6 3 2 7.724287033081055 6.981016635894775 0.2660789489746094
hear 6 4 4 8.674989700317383 8.960540771484375 0
