word sentid sentpos wlen surp entropy entred
who 0 0 3 5.235901832580566 2.318894386291504 0
did 0 1 3 4.2155046463012695 5.8340535163879395 0
he 0 2 2 7.193869113922119 5.811207294464111 0.022846221923828125
hear 0 3 4 10.566717147827148 8.324068069458008 0
that 0 4 4 3.283315658569336 6.586135387420654 1.7379326820373535
it 0 5 2 7.901772499084473 2.510612726211548 4.0755226612091064
is 0 6 2 3.58608341217041 5.623779773712158 0
important 0 7 9 11.200382232666016 1.8706930875778198 3.7530866861343384
to 0 8 2 5.116847038269043 1.3893264532089233 0.4813666343688965
see 0 9 3 5.189053058624268 7.951000213623047 0
? 0 10 1 0.7414010167121887 3.4190263748168945 4.531973838806152
what 1 0 4 0.674957811832428 2.318894386291504 0
is 1 1 2 4.019774436950684 4.880807399749756 0
it 1 2 2 11.93791675567627 0.20107156038284302 4.679735839366913
important 1 3 9 10.663846015930176 7.742380142211914 0
that 1 4 4 1.889629602432251 4.691888809204102 3.0504913330078125
<unk> 1 5 5 4.317827224731445 6.350674629211426 0
buys 1 6 4 13.45977783203125 7.518890380859375 0
? 1 7 1 9.497016906738281 7.862361431121826 0
who 2 0 3 5.235901832580566 2.318894386291504 0
did 2 1 3 4.2155046463012695 5.8340535163879395 0
he 2 2 2 7.193869113922119 5.811207294464111 0.022846221923828125
hear 2 3 4 10.566717147827148 8.324068069458008 0
that 2 4 4 3.283315658569336 6.586135387420654 1.7379326820373535
it 2 5 2 7.901772499084473 2.510612726211548 4.0755226612091064
is 2 6 2 3.58608341217041 5.623779773712158 0
important 2 7 9 11.200382232666016 1.8706930875778198 3.7530866861343384
that 2 8 4 3.5828678607940674 1.3893264532089233 0.4813666343688965
<unk> 2 9 5 4.554365634918213 5.150967597961426 0
knows 2 10 5 6.477173328399658 7.256465435028076 0
? 2 11 1 0.2276250571012497 1.4248589277267456 5.831606507301331
where 3 0 5 8.335258483886719 2.318894386291504 0
did 3 1 3 6.965174198150635 6.09504508972168 0
<unk> 3 2 5 4.098491668701172 5.855429172515869 0.23961591720581055
tell 3 3 4 9.488861083984375 8.547995567321777 0
you 3 4 3 5.763719081878662 5.505034446716309 3.0429611206054688
that 3 5 4 11.95035457611084 0.040103062987327576 5.464931383728981
she 3 6 3 5.146580696105957 6.277450084686279 0
went 3 7 4 8.97350025177002 6.334840774536133 0
