word sentid sentpos wlen surp entropy entred
who 0 0 3 5.251245975494385 2.2328031063079834 0
was 0 1 3 4.234863758087158 6.2485880851745605 0
that 0 2 4 0.7903835773468018 3.278618097305298 2.9699699878692627
quipped 0 3 7 19.432584762573242 6.419321060180664 0
about 0 4 5 2.9663567543029785 4.976317405700684 1.4430036544799805
<unk> 0 5 5 2.955814838409424 6.5029988288879395 0
analysis 0 6 8 17.442638397216797 5.110295295715332 1.3927035331726074
funny 0 7 5 12.866235733032227 5.663039207458496 0
? 0 8 1 0.40766414999961853 2.6762306690216064 2.9868085384368896
whom 1 0 4 2.2959067821502686 2.2328031063079834 0
were 1 1 4 1.3470261096954346 4.598825931549072 0
two 1 2 3 8.572513580322266 4.938441753387451 0
rumours 1 3 7 17.0849609375 8.903849601745605 0
about 1 4 5 0.4268776774406433 2.173539400100708 6.7303102016448975
waiting 1 5 7 10.372295379638672 7.338078498840332 0
? 1 6 1 8.139126777648926 0.38551488518714905 6.952563613653183
who 2 0 3 5.251245975494385 2.2328031063079834 0
does 2 1 4 4.966757297515869 6.2485880851745605 0
that 2 2 4 2.9579248428344727 6.588754653930664 0
wears 2 3 5 15.477474212646484 8.20559310913086 0
extravagant 2 4 11 16.504940032958984 5.725247383117676 2.4803457260131836
rings 2 5 5 10.63018798828125 9.511775970458984 0
make 2 6 4 9.891950607299805 6.10423469543457 3.407541275024414
the 2 7 3 0.8829783201217651 4.188940525054932 1.9152941703796387
plan 2 8 4 8.003144264221191 9.995807647705078 0
unrealistic 2 9 11 12.5808744430542 5.872191905975342 4.123615741729736
? 2 10 1 1.3689050674438477 4.156625747680664 1.7155661582946777
whom 3 0 4 2.2959067821502686 2.2328031063079834 0
loaned 3 1 6 18.880023956298828 4.598825931549072 0
that 3 2 4 7.981699466705322 6.184021949768066 0
<unk> 3 3 5 2.8607141971588135 7.88691520690918 0
heard 3 4 5 14.066649436950684 7.518835067749023 0.36808013916015625
the 3 5 3 3.1379458904266357 6.309266090393066 1.209568977355957
claim 3 6 5 10.980438232421875 8.340312957763672 0
a 3 7 1 6.874526500701904 5.745683670043945 2.5946292877197266
trumpet 3 8 7 18.65476417541504 6.6464972496032715 0
to 3 9 2 8.391257286071777 8.383752822875977 0
you 3 10 3 7.710777282714844 6.596492290496826 1.7872605323791504
? 3 11 1 3.1427602767944336 7.469437122344971 0
who 4 0 3 5.251245975494385 2.2328031063079834 0
is 4 1 2 2.4306955337524414 6.2485880851745605 0
that 4 2 4 0.2595404088497162 1.5588968992233276 4.689691185951233
is 4 3 2 7.452454566955566 7.132377624511719 0
a 4 4 1 6.222218036651611 2.42488694190979 4.707490682601929
teacher 4 5 7 15.150514602661133 6.636547088623047 0
unlikely 4 6 8 16.19794464111328 6.2137041091918945 0.42284297943115234
? 4 7 1 0.40005987882614136 2.3694510459899902 3.8442530632019043
whom 5 0 4 2.2959067821502686 2.2328031063079834 0
does 5 1 4 5.109918594360352 4.598825931549072 0
one 5 2 3 4.233687877655029 5.646148204803467 0
story 5 3 5 2.25577974319458 6.939728260040283 0
about 5 4 5 0.0027075603138655424 0.0340651236474514 6.905663136392832
claim 5 5 5 10.582484245300293 8.269522666931152 0
the 5 6 3 2.4821252822875977 5.6305460929870605 2.638976573944092
possibility 5 7 11 11.487913131713867 8.99643325805664 0
is 5 8 2 9.736111640930176 2.5009050369262695 6.495528221130371
unrealistic 5 9 11 17.77138900756836 1.3077685832977295 1.19313645362854
? 5 10 1 0.924259603023529 3.111166000366211 0
what 6 0 4 0.6246620416641235 2.2328031063079834 0
was 6 1 3 2.057039737701416 4.342137336730957 0
that 6 2 4 0.1966843605041504 1.3173396587371826 3.0247976779937744
she 6 3 3 6.096426486968994 5.310180187225342 0
likely 6 4 6 14.403641700744629 6.9073991775512695 0
heard 6 5 5 7.014952182769775 7.0358452796936035 0
true 6 6 4 9.846617698669434 5.74390983581543 1.2919354438781738
? 6 7 1 3.0579113960266113 8.43026065826416 0
who 7 0 3 5.251245975494385 2.2328031063079834 0
was 7 1 3 4.234863758087158 6.2485880851745605 0
