word sentid sentpos wlen surp entropy entred
who 0 0 3 5.235901832580566 2.318894386291504 0
was 0 1 3 4.6454596519470215 5.8340535163879395 0
that 0 2 4 1.3348644971847534 5.548040390014648 0.286013126373291
quipped 0 3 7 17.358734130859375 7.439761161804199 0
about 0 4 5 2.8677055835723877 6.059774875640869 1.37998628616333
<unk> 0 5 5 5.245194911956787 8.41328239440918 0
analysis 0 6 8 20.093120574951172 0.7870665192604065 7.626215875148773
funny 0 7 5 16.391572952270508 4.631797790527344 0
? 0 8 1 0.0008783919038251042 0.011500097811222076 4.620297692716122
whom 1 0 4 2.1448659896850586 2.318894386291504 0
were 1 1 4 2.0804946422576904 6.376889228820801 0
two 1 2 3 7.963284969329834 5.8291015625 0.5477876663208008
rumours 1 3 7 17.297956466674805 2.373431444168091 3.455670118331909
about 1 4 5 3.384638547897339 0.9714942574501038 1.401937186717987
waiting 1 5 7 7.196073532104492 8.138113975524902 0
? 1 6 1 1.3320616483688354 1.0035756826400757 7.134538292884827
who 2 0 3 5.235901832580566 2.318894386291504 0
does 2 1 4 5.260202884674072 5.8340535163879395 0
that 2 2 4 0.597785472869873 3.322493076324463 2.5115604400634766
wears 2 3 5 16.144790649414062 6.475013256072998 0
extravagant 2 4 11 15.444674491882324 7.230635643005371 0
rings 2 5 5 10.717561721801758 9.16171646118164 0
make 2 6 4 11.271398544311523 5.266380310058594 3.895336151123047
the 2 7 3 2.2220802307128906 5.976447582244873 0
plan 2 8 4 3.7385857105255127 9.465802192687988 0
unrealistic 2 9 11 9.244611740112305 2.0543792247772217 7.411422967910767
? 2 10 1 0.8176754117012024 2.7032597064971924 0
whom 3 0 4 2.1448659896850586 2.318894386291504 0
loaned 3 1 6 16.384742736816406 6.376889228820801 0
that 3 2 4 6.98224401473999 6.989551544189453 0
<unk> 3 3 5 4.162778377532959 9.446829795837402 0
heard 3 4 5 15.455673217773438 9.04026985168457 0.40655994415283203
the 3 5 3 4.121943473815918 5.668751239776611 3.371518611907959
claim 3 6 5 12.376770973205566 7.868385314941406 0
a 3 7 1 8.656033515930176 2.1292965412139893 5.739088773727417
trumpet 3 8 7 20.595691680908203 7.64821720123291 0
to 3 9 2 8.577473640441895 8.003317832946777 0
you 3 10 3 7.741508960723877 7.094595909118652 0.908721923828125
? 3 11 1 0.0005406121490523219 0.00717051001265645 7.087425399105996
who 4 0 3 5.235901832580566 2.318894386291504 0
is 4 1 2 1.944646954536438 5.8340535163879395 0
that 4 2 4 0.05920333415269852 0.5298599004745483 5.304193615913391
is 4 3 2 5.953652858734131 6.444447040557861 0
a 4 4 1 6.972509860992432 2.9208149909973145 3.523632049560547
teacher 4 5 7 10.071476936340332 8.559527397155762 0
unlikely 4 6 8 16.105789184570312 6.161617755889893 2.397909641265869
? 4 7 1 0.0004770010127685964 0.0065257190726697445 6.155092036817223
whom 5 0 4 2.1448659896850586 2.318894386291504 0
does 5 1 4 6.50617790222168 6.376889228820801 0
one 5 2 3 6.772886753082275 4.470201015472412 1.9066882133483887
story 5 3 5 1.779295802116394 6.98802375793457 0
about 5 4 5 0.019132735207676888 0.19450800120830536 6.793515756726265
claim 5 5 5 13.588730812072754 9.44819450378418 0
the 5 6 3 6.976745128631592 3.440678834915161 6.0075156688690186
possibility 5 7 11 9.87750244140625 7.750624656677246 0
is 5 8 2 8.017241477966309 2.3981099128723145 5.352514743804932
unrealistic 5 9 11 18.334199905395508 0.4811411499977112 1.9169687628746033
? 5 10 1 0.0008752981084398925 0.009930419735610485 0.4712107302621007
what 6 0 4 0.674957811832428 2.318894386291504 0
was 6 1 3 1.4837510585784912 4.880807399749756 0
that 6 2 4 0.22984562814235687 1.416947603225708 3.463859796524048
she 6 3 3 5.988526821136475 7.258937835693359 0
