word sentid sentpos wlen surp entropy entred
where 0 0 5 8.833909034729004 2.0428497791290283 0
did 0 1 3 8.502134323120117 6.150036334991455 0
<unk> 0 2 5 4.524926662445068 6.365411281585693 0
ask 0 3 3 10.20505142211914 9.497669219970703 0
who 0 4 3 8.96250057220459 5.048518657684326 4.449150562286377
<unk> 0 5 5 4.910470485687256 7.566023826599121 0
took 0 6 4 8.724440574645996 8.748348236083984 0
? 0 7 1 8.674473762512207 6.7333173751831055 2.015030860900879
what 1 0 4 0.5676602125167847 2.0428497791290283 0
did 1 1 3 4.506948947906494 5.388571262359619 0
she 1 2 3 9.009756088256836 5.972440719604492 0
say 1 3 3 8.96139907836914 8.899907112121582 0
that 1 4 4 3.683210849761963 6.227514266967773 2.6723928451538086
<unk> 1 5 5 2.8626928329467773 7.461313724517822 0
asked 1 6 5 6.92928409576416 8.552237510681152 0
who 1 7 3 8.367471694946289 5.327638149261475 3.2245993614196777
will 1 8 4 6.737819194793701 7.307963848114014 0
read 1 9 4 7.824158191680908 6.991455078125 0.31650876998901367
? 1 10 1 6.837091445922852 6.185082912445068 0.8063721656799316
where 2 0 5 8.833909034729004 2.0428497791290283 0
did 2 1 3 8.502134323120117 6.150036334991455 0
<unk> 2 2 5 4.524926662445068 6.365411281585693 0
ask 2 3 3 10.20505142211914 9.497669219970703 0
how 2 4 3 7.368408679962158 5.048518657684326 4.449150562286377
<unk> 2 5 5 3.7775683403015137 7.0934319496154785 0
went 2 6 4 7.376355171203613 8.955361366271973 0
? 2 7 1 5.134527683258057 5.01738166809082 3.9379796981811523
what 3 0 4 0.5676602125167847 2.0428497791290283 0
did 3 1 3 4.506948947906494 5.388571262359619 0
will 3 2 4 12.96430778503418 5.972440719604492 0
ask 3 3 3 9.892298698425293 5.244712829589844 0.7277278900146484
why 3 4 3 6.936807155609131 4.467135906219482 0.7775769233703613
<unk> 3 5 5 3.2285044193267822 6.573646545410156 0
wears 3 6 5 11.291417121887207 8.548215866088867 0
? 3 7 1 5.898931980133057 6.999733924865723 1.5484819412231445
what 4 0 4 0.5676602125167847 2.0428497791290283 0
did 4 1 3 4.506948947906494 5.388571262359619 0
she 4 2 3 9.009756088256836 5.972440719604492 0
say 4 3 3 8.96139907836914 8.899907112121582 0
that 4 4 4 3.683210849761963 6.227514266967773 2.6723928451538086
will 4 5 4 9.121362686157227 7.461313724517822 0
thinks 4 6 6 11.015341758728027 8.013701438903809 0
he 4 7 2 6.597255229949951 6.572486400604248 1.4412150382995605
knows 4 8 5 4.600424289703369 8.006744384765625 0
where 4 9 5 7.816929340362549 6.902594566345215 1.1041498184204102
<unk> 4 10 5 2.9539499282836914 6.20767068862915 0.6949238777160645
announced 4 11 9 11.01046371459961 8.425042152404785 0
? 4 12 1 6.786673545837402 6.016787052154541 2.408255100250244
what 5 0 4 0.5676602125167847 2.0428497791290283 0
did 5 1 3 4.506948947906494 5.388571262359619 0
they 5 2 4 6.219961166381836 5.972440719604492 0
not 5 3 3 8.32752799987793 8.474769592285156 0
like 5 4 4 7.216577529907227 8.698518753051758 0
that 5 5 4 5.040561199188232 7.504189968109131 1.194328784942627
<unk> 5 6 5 4.575194358825684 7.841254711151123 0
wonders 5 7 7 18.028427124023438 8.30781078338623 0
how 5 8 3 8.52366828918457 6.289003372192383 2.0188074111938477
