word sentid sentpos wlen surp entropy entred
how 0 0 3 6.769035339355469 1.4452098608016968 0
did 0 1 3 8.326289176940918 1.2673306465148926 0.1778792142868042
bill 0 2 4 17.020185470581055 2.875203847885132 0
claim 0 3 5 19.858917236328125 4.281810283660889 0
that 0 4 4 1.3949519395828247 4.746488571166992 0
today 0 5 5 17.015132904052734 1.434509038925171 3.3119795322418213
is 0 6 2 2.5948715209960938 5.838008880615234 0
his 0 7 3 8.477568626403809 7.344626426696777 0
last 0 8 4 8.998759269714355 9.267956733703613 0
day 0 9 3 7.293951988220215 8.298111915588379 0.9698448181152344
? 0 10 1 5.17326545715332 5.500340938568115 2.7977709770202637
how 1 0 3 6.769035339355469 1.4452098608016968 0
does 1 1 4 6.37860107421875 1.2673306465148926 0.1778792142868042
<unk> 1 2 5 1.9686248302459717 2.7557435035705566 0
claim 1 3 5 11.807215690612793 5.952756404876709 0
that 1 4 4 1.4191302061080933 4.571573257446289 1.38118314743042
he 1 5 2 7.71742582321167 1.5143824815750122 3.057190775871277
has 1 6 3 2.865068197250366 3.3687543869018555 0
a 1 7 1 6.677579879760742 3.9332687854766846 0
boat 1 8 4 12.054156303405762 9.115391731262207 0
and 1 9 3 6.350895404815674 4.819983959197998 4.295407772064209
a 1 10 1 4.22674036026001 7.829591274261475 0
car 1 11 3 11.018245697021484 9.37854290008545 0
? 1 12 1 1.9127850532531738 5.952375411987305 3.4261674880981445
how 2 0 3 6.769035339355469 1.4452098608016968 0
did 2 1 3 8.326289176940918 1.2673306465148926 0.1778792142868042
she 2 2 3 6.862258434295654 2.875203847885132 0
think 2 3 5 5.482601165771484 6.669595241546631 0
that 2 4 4 0.857604444026947 2.94160532951355 3.727989912033081
she 2 5 3 8.407697677612305 1.3074084520339966 1.6341968774795532
bought 2 6 6 10.720673561096191 6.208436012268066 0
beans 2 7 5 18.24831771850586 6.186576843261719 0.021859169006347656
and 2 8 3 3.2669644355773926 5.333454608917236 0.8531222343444824
<unk> 2 9 5 1.6365102529525757 7.774098873138428 0
? 2 10 1 4.837233543395996 7.901186466217041 0
how 3 0 3 6.769035339355469 1.4452098608016968 0
does 3 1 4 6.37860107421875 1.2673306465148926 0.1778792142868042
<unk> 3 2 5 1.9686248302459717 2.7557435035705566 0
claim 3 3 5 11.807215690612793 5.952756404876709 0
that 3 4 4 1.4191302061080933 4.571573257446289 1.38118314743042
he 3 5 2 7.71742582321167 1.5143824815750122 3.057190775871277
can 3 6 3 6.912903308868408 3.3687543869018555 0
make 3 7 4 7.875908374786377 6.464114665985107 0
<unk> 3 8 5 2.7606663703918457 4.9242658615112305 1.539848804473877
and 3 9 3 9.27281665802002 2.5109670162200928 2.4132988452911377
espresso 3 10 8 21.047605514526367 6.382115840911865 0
? 3 11 1 0.4969773590564728 2.712494373321533 3.669621467590332
how 4 0 3 6.769035339355469 1.4452098608016968 0
does 4 1 4 6.37860107421875 1.2673306465148926 0.1778792142868042
she 4 2 3 6.738701343536377 2.7557435035705566 0
know 4 3 4 8.359367370605469 6.731328964233398 0
that 4 4 4 2.0587575435638428 2.8123271465301514 3.919001817703247
she 4 5 3 8.571900367736816 0.9667887091636658 1.8455384373664856
failed 4 6 6 13.94975471496582 3.2735023498535156 0
the 4 7 3 9.566757202148438 1.6888443231582642 1.5846580266952515
test 4 8 4 10.297027587890625 8.321572303771973 0
? 4 9 1 1.2122668027877808 5.190977096557617 3.1305952072143555
how 5 0 3 6.769035339355469 1.4452098608016968 0
did 5 1 3 8.326289176940918 1.2673306465148926 0.1778792142868042
he 5 2 2 2.1826953887939453 2.875203847885132 0
say 5 3 3 6.377407073974609 6.688785552978516 0
that 5 4 4 0.3929864466190338 1.8087176084518433 4.880067944526672
he 5 5 2 7.334287643432617 0.9249479174613953 0.883769690990448
went 5 6 4 6.770980358123779 6.547528266906738 0
to 5 7 2 0.6553727388381958 3.0714876651763916 3.4760406017303467
school 5 8 6 8.435257911682129 7.533804416656494 0
? 5 9 1 0.17801101505756378 1.26631760597229 6.267486810684204
how 6 0 3 6.769035339355469 1.4452098608016968 0
does 6 1 4 6.37860107421875 1.2673306465148926 0.1778792142868042
will 6 2 4 11.691564559936523 2.7557435035705566 0
think 6 3 5 7.423536777496338 6.4759392738342285 0
that 6 4 4 2.324322462081909 2.9239072799682617 3.552031993865967
bill 6 5 4 14.904975891113281 1.3290399312973022 1.5948673486709595
is 6 6 2 1.3193491697311401 4.399746894836426 0
pregnant 6 7 8 13.047954559326172 7.338179111480713 0
in 6 8 2 9.082569122314453 1.3119467496871948 6.026232361793518
class 6 9 5 12.64823055267334 4.56646203994751 0
? 6 10 1 0.9562731385231018 3.7991504669189453 0.7673115730285645
how 7 0 3 6.769035339355469 1.4452098608016968 0
did 7 1 3 8.326289176940918 1.2673306465148926 0.1778792142868042
<unk> 7 2 5 2.333095073699951 2.875203847885132 0
claim 7 3 5 11.58530330657959 6.7222795486450195 0
that 7 4 4 1.2306650876998901 4.344758033752441 2.377521514892578
he 7 5 2 7.630039691925049 1.3468066453933716 2.99795138835907
fell 7 6 4 10.345206260681152 5.768228530883789 0
asleep 7 7 6 9.731220245361328 2.615441083908081 3.152787446975708
in 7 8 2 7.635387897491455 0.5994306206703186 2.0160104632377625
class 7 9 5 11.846284866333008 5.7187418937683105 0
today 7 10 5 13.80126667022705 2.443997621536255 3.2747442722320557
? 7 11 1 1.092026710510254 3.6268608570098877 0
how 8 0 3 6.769035339355469 1.4452098608016968 0
does 8 1 4 6.37860107421875 1.2673306465148926 0.1778792142868042
someone 8 2 7 14.681364059448242 2.7557435035705566 0
who 8 3 3 2.81811261177063 6.695024490356445 0
speaks 8 4 6 8.169790267944336 6.322227478027344 0.37279701232910156
