word sentid sentpos wlen surp entropy entred
what 0 0 4 0.10931195318698883 0.6414519548416138 0
did 0 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
they 0 2 4 3.399366617202759 4.181119918823242 0
not 0 3 3 2.2598190307617188 6.3211164474487305 0
like 0 4 4 0.028822187334299088 0.2965541481971741 6.024562299251556
that 0 5 4 0.129506915807724 0.8631933927536011 0
<unk> 0 6 5 0.1878683865070343 1.330290675163269 0
likes 0 7 5 12.781097412109375 7.387416362762451 0
and 0 8 3 8.081500053405762 2.825735330581665 4.561681032180786
accounts 0 9 8 13.525559425354004 7.321537494659424 0
? 0 10 1 2.02649188041687 4.825949192047119 2.4955883026123047
who 1 0 3 8.167930603027344 0.6414519548416138 0
did 1 1 3 1.3975750207901 5.4399094581604 0
she 1 2 3 7.423589706420898 5.01194429397583 0.4279651641845703
hear 1 3 4 4.610215663909912 7.4197821617126465 0
a 1 4 1 10.38106918334961 0.4937065541744232 6.926075607538223
rumour 1 5 6 11.275501251220703 8.638596534729004 0
about 1 6 5 4.34278678894043 4.368991374969482 4.2696051597595215
and 1 7 3 8.77783203125 5.917294025421143 0
wait 1 8 4 11.11628532409668 7.860847473144531 0
for 1 9 3 1.6589529514312744 1.900048851966858 5.960798621177673
? 1 10 1 0.029916536062955856 0.2648138105869293 1.6352350413799286
what 2 0 4 0.10931195318698883 0.6414519548416138 0
did 2 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
he 2 2 2 2.897989273071289 4.181119918823242 0
hear 2 3 4 3.4358980655670166 5.672231197357178 0
that 2 4 4 0.12230920791625977 0.7793043851852417 4.892926812171936
<unk> 2 5 5 0.06372454762458801 0.5522849559783936 0.22701942920684814
ate 2 6 3 13.070337295532227 6.837020397186279 0
accounts 2 7 8 22.483564376831055 0.2751610279083252 6.561859369277954
and 2 8 3 6.7505645751953125 3.9678657054901123 0
? 2 9 1 4.536914825439453 8.613486289978027 0
what 3 0 4 0.10931195318698883 0.6414519548416138 0
did 3 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
will 3 2 4 7.581623554229736 4.181119918823242 0
buy 3 3 3 10.386799812316895 7.290499210357666 0
? 3 4 1 0.4843142628669739 2.903212547302246 4.38728666305542
what 4 0 4 0.10931195318698883 0.6414519548416138 0
did 4 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
you 4 2 3 7.660024166107178 4.181119918823242 0
read 4 3 4 9.390935897827148 4.377096176147461 0
about 4 4 5 6.7365403175354 2.960458755493164 1.4166374206542969
and 4 5 3 8.326991081237793 3.729273796081543 0
announce 4 6 8 16.491151809692383 6.454205513000488 0
about 4 7 5 11.172807693481445 2.4394850730895996 4.014720439910889
? 4 8 1 0.4885472357273102 2.400041103363037 0.0394439697265625
what 5 0 4 0.10931195318698883 0.6414519548416138 0
did 5 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
he 5 2 2 2.897989273071289 4.181119918823242 0
announce 5 3 8 14.424510955810547 5.672231197357178 0
a 5 4 1 9.869256973266602 2.056739568710327 3.6154916286468506
plan 5 5 4 10.991646766662598 7.730443954467773 0
and 5 6 3 7.62455415725708 4.7497239112854 2.980720043182373
speak 5 7 5 13.229467391967773 8.495882987976074 0
? 5 8 1 1.6238467693328857 4.6335978507995605 3.8622851371765137
which 6 0 5 8.635933876037598 0.6414519548416138 0
subjects 6 1 8 20.478015899658203 5.308597564697266 0
did 6 2 3 6.931027412414551 8.495584487915039 0
she 6 3 3 8.170109748840332 5.733591556549072 2.761992931365967
not 6 4 3 3.88651967048645 7.266202926635742 0
study 6 5 5 18.344547271728516 0.5208258032798767 6.7453771233558655
for 6 6 3 2.20333194732666 5.66205358505249 0
or 6 7 2 7.995567798614502 5.757274627685547 0
fail 6 8 4 15.230164527893066 7.0140767097473145 0
the 6 9 3 8.954076766967773 3.407731771469116 3.6063449382781982
test 6 10 4 10.649089813232422 8.13483715057373 0
for 6 11 3 5.233078956604004 6.752455234527588 1.3823819160461426
? 6 12 1 0.35776904225349426 2.413527488708496 4.338927745819092
what 7 0 4 0.10931195318698883 0.6414519548416138 0
did 7 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
<unk> 7 2 5 1.0589581727981567 4.181119918823242 0
order 7 3 5 15.548202514648438 1.6735562086105347 2.5075637102127075
for 7 4 3 4.179368019104004 6.523565292358398 0
me 7 5 2 8.194096565246582 1.4722083806991577 5.051356911659241
and 7 6 3 8.718011856079102 2.157053232192993 0
borrow 7 7 6 17.57320213317871 4.309256553649902 0
for 7 8 3 10.139603614807129 0.47233113646507263 3.8369254171848297
you 7 9 3 9.73568058013916 0.27978187799453735 0.19254925847053528
? 7 10 1 0.07229488343000412 0.5989961624145508 0
what 8 0 4 0.10931195318698883 0.6414519548416138 0
does 8 1 4 0.05698543041944504 0.39528530836105347 0.2461666464805603
will 8 2 4 8.412572860717773 2.557133913040161 0
like 8 3 4 5.686239242553711 7.146093368530273 0
and 8 4 3 11.786914825439453 3.5523178577423096 3.593775510787964
girls 8 5 5 20.18771743774414 4.644237995147705 0
? 8 6 1 0.5311013460159302 2.9450793266296387 1.6991586685180664
what 9 0 4 0.10931195318698883 0.6414519548416138 0
did 9 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
they 9 2 4 3.399366617202759 4.181119918823242 0
not 9 3 3 2.2598190307617188 6.3211164474487305 0
like 9 4 4 0.028822187334299088 0.2965541481971741 6.024562299251556
that 9 5 4 0.129506915807724 0.8631933927536011 0
will 9 6 4 8.786065101623535 1.330290675163269 0
bought 9 7 6 17.84966468811035 5.154585361480713 0
<unk> 9 8 5 4.990636825561523 1.02741539478302 4.127169966697693
and 9 9 3 7.107846260070801 2.2312467098236084 0
? 9 10 1 5.541490077972412 6.1778740882873535 0
what 10 0 4 0.10931195318698883 0.6414519548416138 0
did 10 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
he 10 2 2 2.897989273071289 4.181119918823242 0
hear 10 3 4 3.4358980655670166 5.672231197357178 0
that 10 4 4 0.12230920791625977 0.7793043851852417 4.892926812171936
<unk> 10 5 5 0.06372454762458801 0.5522849559783936 0.22701942920684814
ate 10 6 3 13.070337295532227 6.837020397186279 0
and 10 7 3 11.347219467163086 0.2751610279083252 6.561859369277954
story 10 8 5 17.662738800048828 8.517770767211914 0
? 10 9 1 0.5139955878257751 2.857042074203491 5.660728693008423
which 11 0 5 8.635933876037598 0.6414519548416138 0
things 11 1 6 19.523916244506836 5.308597564697266 0
did 11 2 3 3.7396295070648193 7.719752788543701 0
she 11 3 3 9.297331809997559 7.003968715667725 0.7157840728759766
