word sentid sentpos wlen surp entropy entred
what 0 0 4 0.39613816142082214 2.1120078563690186 0
did 0 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
they 0 2 4 3.261241912841797 4.082444190979004 0
not 0 3 3 0.7429053783416748 2.9777333736419678 1.1047108173370361
like 0 4 4 0.11322948336601257 0.9899966716766357 1.987736701965332
that 0 5 4 0.6445826888084412 2.715682029724121 0
<unk> 0 6 5 0.9580703973770142 4.711302280426025 0
likes 0 7 5 14.011862754821777 7.3756890296936035 0
and 0 8 3 6.310077667236328 5.244594573974609 2.131094455718994
accounts 0 9 8 13.713403701782227 7.49125337600708 0
? 0 10 1 3.630762815475464 4.907885551452637 2.5833678245544434
who 1 0 3 6.09699821472168 2.1120078563690186 0
did 1 1 3 1.3106130361557007 5.455871105194092 0
she 1 2 3 6.717432022094727 4.182128429412842 1.27374267578125
hear 1 3 4 5.483506202697754 5.471806049346924 0
a 1 4 1 10.266201972961426 0.852210521697998 4.619595527648926
rumour 1 5 6 9.36751651763916 8.481950759887695 0
about 1 6 5 6.58769416809082 1.2264436483383179 7.255507111549377
and 1 7 3 10.675481796264648 4.385946750640869 0
wait 1 8 4 9.166747093200684 6.6733856201171875 0
for 1 9 3 0.8784403204917908 3.3504858016967773 3.32289981842041
? 1 10 1 0.029203297570347786 0.25884073972702026 3.091645061969757
what 2 0 4 0.39613816142082214 2.1120078563690186 0
did 2 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
he 2 2 2 4.9207000732421875 4.082444190979004 0
hear 2 3 4 7.90419864654541 4.216263771057129 0
that 2 4 4 0.18982546031475067 0.8052765727043152 3.4109871983528137
<unk> 2 5 5 0.21776974201202393 1.5236507654190063 0
ate 2 6 3 12.916176795959473 7.500673294067383 0
accounts 2 7 8 17.36823844909668 2.8650283813476562 4.635644912719727
and 2 8 3 6.4511942863464355 4.943281650543213 0
? 2 9 1 17.126331329345703 9.039410591125488 0
what 3 0 4 0.39613816142082214 2.1120078563690186 0
did 3 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
will 3 2 4 8.495089530944824 4.082444190979004 0
buy 3 3 3 11.08089542388916 4.892117500305176 0
? 3 4 1 0.1499176323413849 1.0070995092391968 3.885017991065979
what 4 0 4 0.39613816142082214 2.1120078563690186 0
did 4 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
you 4 2 3 6.978126525878906 4.082444190979004 0
read 4 3 4 8.155274391174316 4.0515594482421875 0.030884742736816406
about 4 4 5 7.152132511138916 4.404107093811035 0
and 4 5 3 7.2082839012146 4.703845024108887 0
announce 4 6 8 14.459916114807129 7.113801002502441 0
about 4 7 5 12.497910499572754 1.2583065032958984 5.855494499206543
? 4 8 1 4.815442085266113 4.013164043426514 0
what 5 0 4 0.39613816142082214 2.1120078563690186 0
did 5 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
he 5 2 2 4.9207000732421875 4.082444190979004 0
announce 5 3 8 16.02473258972168 4.216263771057129 0
a 5 4 1 9.851163864135742 0.6275618076324463 3.5887019634246826
plan 5 5 4 7.532987117767334 8.106069564819336 0
and 5 6 3 7.831062316894531 3.6439595222473145 4.4621100425720215
speak 5 7 5 12.814069747924805 8.938018798828125 0
? 5 8 1 4.735506057739258 4.994919300079346 3.9430994987487793
which 6 0 5 6.4517927169799805 2.1120078563690186 0
subjects 6 1 8 20.49991226196289 4.08685827255249 0
did 6 2 3 5.922019004821777 7.838019847869873 0
she 6 3 3 7.67138671875 5.054706573486328 2.783313274383545
not 6 4 3 1.4535651206970215 5.615781307220459 0
study 6 5 5 15.514144897460938 3.450537919998169 2.16524338722229
for 6 6 3 6.44780158996582 5.81619930267334 0
or 6 7 2 6.761491298675537 3.975486993789673 1.840712308883667
fail 6 8 4 13.275775909423828 8.556427001953125 0
the 6 9 3 6.930660724639893 3.6133792400360107 4.943047761917114
test 6 10 4 9.693927764892578 10.118614196777344 0
for 6 11 3 4.982864856719971 8.044350624084473 2.074263572692871
? 6 12 1 0.40494832396507263 2.5075559616088867 5.536794662475586
what 7 0 4 0.39613816142082214 2.1120078563690186 0
did 7 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
<unk> 7 2 5 1.4193792343139648 4.082444190979004 0
order 7 3 5 12.804793357849121 7.103846073150635 0
for 7 4 3 4.8086724281311035 5.437563896179199 1.6662821769714355
me 7 5 2 7.671388149261475 2.8318114280700684 2.605752468109131
and 7 6 3 6.6840410232543945 2.650724172592163 0.18108725547790527
borrow 7 7 6 18.3474178314209 7.101860523223877 0
for 7 8 3 4.655436992645264 6.060197353363037 1.0416631698608398
you 7 9 3 11.451502799987793 0.1608608514070511 5.899336501955986
? 7 10 1 0.6099269390106201 2.892857551574707 0
what 8 0 4 0.39613816142082214 2.1120078563690186 0
does 8 1 4 0.24226990342140198 1.0422722101211548 1.0697356462478638
will 8 2 4 9.251254081726074 1.5533570051193237 0
like 8 3 4 0.6588878631591797 3.398005962371826 0
and 8 4 3 9.821839332580566 4.26882266998291 0
girls 8 5 5 17.42671775817871 6.539347171783447 0
? 8 6 1 10.144533157348633 7.483252048492432 0
what 9 0 4 0.39613816142082214 2.1120078563690186 0
did 9 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
they 9 2 4 3.261241912841797 4.082444190979004 0
not 9 3 3 0.7429053783416748 2.9777333736419678 1.1047108173370361
like 9 4 4 0.11322948336601257 0.9899966716766357 1.987736701965332
that 9 5 4 0.6445826888084412 2.715682029724121 0
will 9 6 4 8.747546195983887 4.711302280426025 0
bought 9 7 6 11.965197563171387 7.673336982727051 0
<unk> 9 8 5 10.4179105758667 0.2376193255186081 7.435717657208443
and 9 9 3 6.978044033050537 2.0005409717559814 0
