word sentid sentpos wlen surp entropy entred
what 0 0 4 0.1613607257604599 1.0119181871414185 0
did 0 1 3 4.702426433563232 1.1423838138580322 0
they 0 2 4 5.093216896057129 2.0131442546844482 0
not 0 3 3 2.801386594772339 6.227668762207031 0
like 0 4 4 0.1710404008626938 1.2259278297424316 5.0017409324646
that 0 5 4 0.3927474021911621 1.9097368717193604 0
<unk> 0 6 5 0.33472132682800293 2.158048629760742 0
likes 0 7 5 12.130644798278809 7.446974754333496 0
and 0 8 3 9.383185386657715 1.1360739469528198 6.310900807380676
accounts 0 9 8 16.559541702270508 7.104529857635498 0
? 0 10 1 4.667655944824219 4.421022891998291 2.683506965637207
who 1 0 3 7.44409704208374 1.0119181871414185 0
did 1 1 3 1.5168722867965698 5.656373023986816 0
she 1 2 3 8.625622749328613 3.8049280643463135 1.851444959640503
hear 1 3 4 8.852104187011719 7.7323102951049805 0
a 1 4 1 10.422179222106934 0.40044456720352173 7.331865727901459
rumour 1 5 6 11.143104553222656 7.7575788497924805 0
about 1 6 5 4.280046463012695 2.9843878746032715 4.773190975189209
and 1 7 3 9.691285133361816 4.582461357116699 0
wait 1 8 4 10.511865615844727 8.237143516540527 0
for 1 9 3 0.8445908427238464 3.2108638286590576 5.02627968788147
? 1 10 1 0.03939969837665558 0.3248791992664337 2.885984629392624
what 2 0 4 0.1613607257604599 1.0119181871414185 0
did 2 1 3 4.702426433563232 1.1423838138580322 0
he 2 2 2 4.936285018920898 2.0131442546844482 0
hear 2 3 4 7.809351921081543 5.678907871246338 0
that 2 4 4 0.048730481415987015 0.39488065242767334 5.2840272188186646
<unk> 2 5 5 0.08969098329544067 0.7835100293159485 0
ate 2 6 3 13.211352348327637 7.392667293548584 0
accounts 2 7 8 27.732439041137695 0.17179633677005768 7.220870956778526
and 2 8 3 6.037310600280762 2.3667330741882324 0
? 2 9 1 7.940412998199463 7.662336826324463 0
what 3 0 4 0.1613607257604599 1.0119181871414185 0
did 3 1 3 4.702426433563232 1.1423838138580322 0
will 3 2 4 8.595551490783691 2.0131442546844482 0
buy 3 3 3 9.510390281677246 6.421077251434326 0
? 3 4 1 0.12352468818426132 0.9005111455917358 5.52056610584259
what 4 0 4 0.1613607257604599 1.0119181871414185 0
did 4 1 3 4.702426433563232 1.1423838138580322 0
you 4 2 3 8.763676643371582 2.0131442546844482 0
read 4 3 4 10.301371574401855 5.57565975189209 0
about 4 4 5 6.614834308624268 5.259914398193359 0.31574535369873047
and 4 5 3 9.431008338928223 3.795146942138672 1.4647674560546875
announce 4 6 8 15.631791114807129 7.582890033721924 0
about 4 7 5 9.697417259216309 1.8305925130844116 5.752297520637512
? 4 8 1 0.5325210690498352 2.547853946685791 0
what 5 0 4 0.1613607257604599 1.0119181871414185 0
did 5 1 3 4.702426433563232 1.1423838138580322 0
he 5 2 2 4.936285018920898 2.0131442546844482 0
announce 5 3 8 15.021780967712402 5.678907871246338 0
a 5 4 1 8.691455841064453 0.9400510787963867 4.738856792449951
plan 5 5 4 9.33021354675293 8.147320747375488 0
and 5 6 3 8.457815170288086 3.633936643600464 4.513384103775024
speak 5 7 5 11.493368148803711 8.167749404907227 0
? 5 8 1 3.397473096847534 5.5366902351379395 2.631059169769287
which 6 0 5 7.487135410308838 1.0119181871414185 0
subjects 6 1 8 19.33486557006836 4.59047269821167 0
did 6 2 3 6.033491134643555 7.027200222015381 0
she 6 3 3 8.477705001831055 4.925902366638184 2.1012978553771973
not 6 4 3 3.742551326751709 7.917540550231934 0
study 6 5 5 17.913644790649414 4.050152778625488 3.8673877716064453
for 6 6 3 6.103005409240723 4.7586870193481445 0
or 6 7 2 9.99927806854248 2.8364129066467285 1.922274112701416
fail 6 8 4 13.795783996582031 8.200481414794922 0
the 6 9 3 8.247190475463867 4.186337471008301 4.014143943786621
test 6 10 4 10.591931343078613 9.279130935668945 0
for 6 11 3 3.923652410507202 7.390141487121582 1.8889894485473633
? 6 12 1 0.11206862330436707 0.9439389705657959 6.446202516555786
what 7 0 4 0.1613607257604599 1.0119181871414185 0
did 7 1 3 4.702426433563232 1.1423838138580322 0
<unk> 7 2 5 0.33849674463272095 2.0131442546844482 0
order 7 3 5 18.064830780029297 0.5520927906036377 1.4610514640808105
