word sentid sentpos wlen surp entropy entred
how 0 0 3 6.2304277420043945 1.0882279872894287 0
<unk> 0 1 5 0.3875681459903717 1.2767682075500488 0
did 0 2 3 5.158721923828125 6.393810272216797 0
she 0 3 3 9.28221607208252 4.805067539215088 1.588742733001709
say 0 4 3 10.351846694946289 6.536467552185059 0
that 0 5 4 1.6770873069763184 4.040264129638672 2.4962034225463867
he 0 6 2 6.986410617828369 1.0547161102294922 2.9855480194091797
directed 0 7 8 8.591883659362793 6.8990983963012695 0
the 0 8 3 6.016952991485596 5.710677146911621 1.1884212493896484
movie 0 9 5 9.547937393188477 8.53368854522705 0
that 0 10 4 4.67537260055542 6.129141330718994 2.4045472145080566
i 0 11 1 6.706945896148682 3.436495780944824 2.69264554977417
saw 0 12 3 5.481053829193115 6.860779285430908 0
yesterday 0 13 9 11.799104690551758 4.196991920471191 2.663787364959717
? 0 14 1 0.24406109750270844 1.6464985609054565 2.550493359565735
how 1 0 3 6.2304277420043945 1.0882279872894287 0
discreet 1 1 8 24.656604766845703 1.2767682075500488 0
did 1 2 3 7.596083641052246 4.688930034637451 0
<unk> 1 3 5 0.9057464599609375 4.084571361541748 0.6043586730957031
hire 1 4 4 12.862747192382812 7.408980369567871 0
an 1 5 2 11.244178771972656 2.044055461883545 5.364924907684326
agent 1 6 5 9.808605194091797 8.306924819946289 0
? 1 7 1 1.1433980464935303 4.380049228668213 3.926875591278076
how 2 0 3 6.2304277420043945 1.0882279872894287 0
pretty 2 1 6 18.763595581054688 1.2767682075500488 0
does 2 2 4 6.773716926574707 1.0212675333023071 0.2555006742477417
<unk> 2 3 5 0.4146263897418976 2.518602132797241 0
like 2 4 4 5.134625434875488 6.462937355041504 0
the 2 5 3 7.435668468475342 3.935060977935791 2.527876377105713
woman 2 6 5 11.306563377380371 7.6355977058410645 0
? 2 7 1 5.65562105178833 6.6437811851501465 0.991816520690918
how 3 0 3 6.2304277420043945 1.0882279872894287 0
difficult 3 1 9 17.35114860534668 1.2767682075500488 0
did 3 2 3 9.218037605285645 5.811509609222412 0
he 3 3 2 4.722091197967529 4.508074760437012 1.3034348487854004
hear 3 4 4 8.264144897460938 6.307531356811523 0
that 3 5 4 1.0281058549880981 3.418743848800659 2.8887875080108643
you 3 6 3 10.45419692993164 1.344577431678772 2.074166417121887
failed 3 7 6 13.253243446350098 6.360189437866211 0
the 3 8 3 10.205117225646973 0.650795578956604 5.709393858909607
test 3 9 4 10.44642162322998 9.034089088439941 0
? 3 10 1 3.9699113368988037 6.917056083679199 2.117033004760742
whose 4 0 5 10.961007118225098 1.0882279872894287 0
did 4 1 3 11.077041625976562 9.715920448303223 0
she 4 2 3 8.778669357299805 5.286163806915283 4.4297566413879395
say 4 3 3 9.203572273254395 5.10136604309082 0.1847977638244629
that 4 4 4 1.5495127439498901 3.5292649269104004 1.57210111618042
<unk> 4 5 5 0.14140385389328003 1.1053228378295898 2.4239420890808105
eats 4 6 4 16.18115997314453 7.215701580047607 0
<unk> 4 7 5 2.8030519485473633 5.018546104431152 2.197155475616455
? 4 8 1 2.208861827850342 5.69616174697876 0
how 5 0 3 6.2304277420043945 1.0882279872894287 0
<unk> 5 1 5 0.3875681459903717 1.2767682075500488 0
did 5 2 3 5.158721923828125 6.393810272216797 0
she 5 3 3 9.28221607208252 4.805067539215088 1.588742733001709
say 5 4 3 10.351846694946289 6.536467552185059 0
that 5 5 4 1.6770873069763184 4.040264129638672 2.4962034225463867
he 5 6 2 6.986410617828369 1.0547161102294922 2.9855480194091797
announced 5 7 9 14.439495086669922 6.8990983963012695 0
a 5 8 1 6.516692161560059 3.65409779548645 3.2450006008148193
plan 5 9 4 8.536824226379395 8.314872741699219 0
? 5 10 1 4.288501262664795 3.4242382049560547 4.890634536743164
how 6 0 3 6.2304277420043945 1.0882279872894287 0
pretty 6 1 6 18.763595581054688 1.2767682075500488 0
did 6 2 3 8.596338272094727 1.0212675333023071 0.2555006742477417
he 6 3 2 4.541900634765625 2.6608691215515137 0
hear 6 4 4 6.431901931762695 6.357992649078369 0
that 6 5 4 0.8095967173576355 3.053363561630249 3.30462908744812
she 6 6 3 10.045493125915527 1.2335071563720703 1.8198564052581787
read 6 7 4 8.787460327148438 7.027876853942871 0
the 6 8 3 7.3587212562561035 4.157881259918213 2.869995594024658
<unk> 6 9 5 2.0330891609191895 8.298869132995605 0
comics 6 10 6 14.311493873596191 7.398968696594238 0.8999004364013672
? 6 11 1 2.1795668601989746 6.870560169219971 0.5284085273742676
what 7 0 4 0.1944780796766281 1.0882279872894287 0
kind 7 1 4 14.882596969604492 0.6586740016937256 0.4295539855957031
does 7 2 4 10.19906234741211 2.6438655853271484 0
<unk> 7 3 5 0.8778813481330872 3.761849880218506 0
speak 7 4 5 11.040141105651855 6.752382278442383 0
a 7 5 1 8.353108406066895 5.064826965332031 1.6875553131103516
language 7 6 8 12.943300247192383 6.784162998199463 0
? 7 7 1 0.8420376181602478 3.835437059402466 2.948725938796997
how 8 0 3 6.2304277420043945 1.0882279872894287 0
expensive 8 1 9 17.755374908447266 1.2767682075500488 0
did 8 2 3 8.355265617370605 6.483100414276123 0
they 8 3 4 5.214139938354492 4.8071441650390625 1.6759562492370605
not 8 4 3 1.4922292232513428 5.116634368896484 0
like 8 5 4 0.21123136579990387 1.5964275598526 3.5202068090438843
that 8 6 4 0.5576596856117249 2.4124057292938232 0
she 8 7 3 9.284672737121582 2.415931224822998 0
wears 8 8 5 13.719130516052246 6.882268905639648 0
rings 8 9 5 14.731882095336914 3.5311989784240723 3.351069927215576
? 8 10 1 2.051872968673706 4.933304309844971 0
how 9 0 3 6.2304277420043945 1.0882279872894287 0
pretty 9 1 6 18.763595581054688 1.2767682075500488 0
did 9 2 3 8.596338272094727 1.0212675333023071 0.2555006742477417
she 9 3 3 8.509862899780273 2.6608691215515137 0
say 9 4 3 10.04127311706543 6.428772449493408 0
that 9 5 4 1.6367318630218506 3.9740395545959473 2.454732894897461
<unk> 9 6 5 0.13339640200138092 1.0555024147033691 2.918537139892578
likes 9 7 5 13.805322647094727 7.4782233238220215 0
the 9 8 3 6.943875312805176 4.577513217926025 2.900710105895996
woman 9 9 5 10.480762481689453 7.084038257598877 0
? 9 10 1 3.9147021770477295 6.204303741455078 0.8797345161437988
how 10 0 3 6.2304277420043945 1.0882279872894287 0
blue 10 1 4 20.01822853088379 1.2767682075500488 0
did 10 2 3 6.348104476928711 4.097833156585693 0
he 10 3 2 4.744997501373291 4.1622090339660645 0
hear 10 4 4 8.719968795776367 6.353179454803467 0
that 10 5 4 0.9455728530883789 3.387131690979004 2.966047763824463
<unk> 10 6 5 0.16636492311954498 1.2924392223358154 2.0946924686431885
loaned 10 7 6 15.67034912109375 7.786531448364258 0
a 10 8 1 5.856573104858398 4.709137916564941 3.0773935317993164
trumpet 10 9 7 15.12426471710205 8.287875175476074 0
to 10 10 2 2.0360121726989746 5.867526531219482 2.420348644256592
you 10 11 3 9.379297256469727 5.590048313140869 0.2774782180786133
? 10 12 1 0.7313111424446106 3.748234987258911 1.841813325881958
how 11 0 3 6.2304277420043945 1.0882279872894287 0
extravagant 11 1 11 22.688880920410156 1.2767682075500488 0
did 11 2 3 10.43935775756836 4.800405025482178 0
they 11 3 4 4.911848068237305 4.206882953643799 0.5935220718383789
not 11 4 3 1.4779279232025146 5.0815749168396 0
like 11 5 4 0.19256553053855896 1.4710923433303833 3.6104825735092163
that 11 6 4 0.5354748368263245 2.2862024307250977 0
will 11 7 4 6.258723735809326 2.3927500247955322 0
wears 11 8 5 18.46520233154297 7.347386360168457 0
a 11 9 1 4.964650630950928 3.7559287548065186 3.5914576053619385
hat 11 10 3 8.03743839263916 7.535471439361572 0
? 11 11 1 2.789590358734131 5.654439449310303 1.8810319900512695
whose 12 0 5 10.961007118225098 1.0882279872894287 0
did 12 1 3 11.077041625976562 9.715920448303223 0
they 12 2 4 6.00843620300293 5.286163806915283 4.4297566413879395
not 12 3 3 0.9595791697502136 4.215158462524414 1.0710053443908691
like 12 4 4 0.1288725584745407 1.048539638519287 3.166618824005127
that 12 5 4 0.36186254024505615 1.8107004165649414 0
i 12 6 1 6.588092803955078 2.115893602371216 0
ate 12 7 3 13.992439270019531 7.292017459869385 0
old 12 8 3 12.536399841308594 3.9420318603515625 3.3499855995178223
<unk> 12 9 5 0.8310679197311401 4.7513580322265625 0
? 12 10 1 3.225308895111084 6.783218860626221 0
how 13 0 3 6.2304277420043945 1.0882279872894287 0
<unk> 13 1 5 0.3875681459903717 1.2767682075500488 0
did 13 2 3 5.158721923828125 6.393810272216797 0
he 13 3 2 4.700626850128174 4.805067539215088 1.588742733001709
