word sentid sentpos wlen surp entropy entred
who 0 0 3 6.81278133392334 1.4452098608016968 0
was 0 1 3 5.78075647354126 6.302037239074707 0
that 0 2 4 8.029075622558594 8.77074909210205 0
quipped 0 3 7 21.076366424560547 2.3733160495758057 6.397433042526245
about 0 4 5 7.604326248168945 2.4760777950286865 0
<unk> 0 5 5 0.7301769852638245 3.408005714416504 0
analysis 0 6 8 16.108842849731445 4.4893598556518555 0
funny 0 7 5 20.475780487060547 3.857703447341919 0.6316564083099365
? 0 8 1 4.08032751083374 5.159028053283691 0
whom 1 0 4 4.427868366241455 1.4452098608016968 0
were 1 1 4 13.075604438781738 1.4140819311141968 0.0311279296875
two 1 2 3 9.405665397644043 6.3110527992248535 0
rumours 1 3 7 17.49991798400879 8.085947036743164 0
about 1 4 5 5.332584381103516 3.9884564876556396 4.097490549087524
waiting 1 5 7 14.485748291015625 4.482054233551025 0
? 1 6 1 6.974950313568115 1.0376062393188477 3.4444479942321777
who 2 0 3 6.81278133392334 1.4452098608016968 0
does 2 1 4 3.934648036956787 6.302037239074707 0
that 2 2 4 4.106845378875732 5.2993292808532715 1.0027079582214355
wears 2 3 5 20.384790420532227 2.886406421661377 2.4129228591918945
extravagant 2 4 11 17.032670974731445 6.5205535888671875 0
rings 2 5 5 11.557021141052246 9.689821243286133 0
make 2 6 4 12.833534240722656 5.7299981117248535 3.9598231315612793
the 2 7 3 4.378925800323486 6.404139041900635 0
plan 2 8 4 11.738617897033691 8.752504348754883 0
unrealistic 2 9 11 14.028111457824707 7.242123126983643 1.5103812217712402
? 2 10 1 8.503353118896484 4.45172643661499 2.7903966903686523
whom 3 0 4 4.427868366241455 1.4452098608016968 0
loaned 3 1 6 23.92683219909668 1.4140819311141968 0.0311279296875
that 3 2 4 5.826111793518066 6.23328161239624 0
<unk> 3 3 5 0.36321064829826355 3.0350139141082764 3.198267698287964
heard 3 4 5 10.846537590026855 7.599101543426514 0
the 3 5 3 7.391180992126465 2.9637882709503174 4.635313272476196
claim 3 6 5 10.195954322814941 6.681924819946289 0
a 3 7 1 11.412088394165039 3.4017724990844727 3.2801523208618164
trumpet 3 8 7 17.904653549194336 8.036456108093262 0
to 3 9 2 5.029836654663086 7.604066371917725 0.4323897361755371
you 3 10 3 8.492857933044434 6.208858489990234 1.3952078819274902
? 3 11 1 2.514676332473755 6.630379676818848 0
who 4 0 3 6.81278133392334 1.4452098608016968 0
is 4 1 2 4.641551494598389 6.302037239074707 0
that 4 2 4 7.573922157287598 8.402955055236816 0
is 4 3 2 9.904838562011719 1.8438072204589844 6.559147834777832
a 4 4 1 6.081003665924072 7.240691661834717 0
teacher 4 5 7 11.989850044250488 8.356487274169922 0
unlikely 4 6 8 18.637489318847656 5.480185031890869 2.8763022422790527
? 4 7 1 4.145511150360107 4.704863548278809 0.7753214836120605
whom 5 0 4 4.427868366241455 1.4452098608016968 0
does 5 1 4 2.6118812561035156 1.4140819311141968 0.0311279296875
one 5 2 3 8.95158576965332 3.162658929824829 0
story 5 3 5 9.52639389038086 7.240615367889404 0
about 5 4 5 7.007017612457275 6.374234676361084 0.8663806915283203
claim 5 5 5 17.25483512878418 3.751805305480957 2.622429370880127
the 5 6 3 7.7818827629089355 3.272644519805908 0.47916078567504883
possibility 5 7 11 8.690113067626953 7.474283695220947 0
is 5 8 2 3.1662099361419678 2.283559560775757 5.19072413444519
unrealistic 5 9 11 18.538190841674805 3.3694403171539307 0
? 5 10 1 3.416260004043579 4.469038009643555 0
what 6 0 4 0.24559028446674347 1.4452098608016968 0
was 6 1 3 6.911019802093506 1.6946603059768677 0
that 6 2 4 6.6873931884765625 4.446653366088867 0
she 6 3 3 9.956703186035156 1.256170392036438 3.190482974052429
likely 6 4 6 12.806108474731445 6.04565954208374 0
heard 6 5 5 7.4300456047058105 7.925364971160889 0
true 6 6 4 13.725266456604004 3.067983865737915 4.857381105422974
? 6 7 1 3.472592353820801 6.864651679992676 0
who 7 0 3 6.81278133392334 1.4452098608016968 0
was 7 1 3 5.78075647354126 6.302037239074707 0
that 7 2 4 8.029075622558594 8.77074909210205 0
knows 7 3 5 16.85688591003418 2.3733160495758057 6.397433042526245
someone 7 4 7 15.375161170959473 2.0094058513641357 0.3639101982116699
probable 7 5 8 18.738101959228516 6.467283248901367 0
? 7 6 1 0.9291362166404724 4.138684272766113 2.328598976135254
who 8 0 3 6.81278133392334 1.4452098608016968 0
does 8 1 4 3.934648036956787 6.302037239074707 0
