word sentid sentpos wlen surp entropy entred
who 0 0 3 6.844511985778809 1.0882279872894287 0
was 0 1 3 5.956348896026611 5.5849609375 0
that 0 2 4 7.12295389175415 8.154282569885254 0
quipped 0 3 7 22.224470138549805 3.4182586669921875 4.736023902893066
about 0 4 5 6.111557483673096 4.834354400634766 0
<unk> 0 5 5 1.9082419872283936 4.627526760101318 0.20682764053344727
analysis 0 6 8 16.851909637451172 6.47340202331543 0
funny 0 7 5 20.622188568115234 5.086031913757324 1.3873701095581055
? 0 8 1 2.2303614616394043 5.276234149932861 0
whom 1 0 4 4.295182704925537 1.0882279872894287 0
were 1 1 4 12.993664741516113 2.7461798191070557 0
two 1 2 3 9.39503288269043 8.502045631408691 0
rumours 1 3 7 19.251874923706055 5.742546081542969 2.7594995498657227
about 1 4 5 6.189034938812256 5.805133819580078 0
waiting 1 5 7 12.912349700927734 4.063827037811279 1.7413067817687988
? 1 6 1 4.842073440551758 0.6452769041061401 3.418550133705139
who 2 0 3 6.844511985778809 1.0882279872894287 0
does 2 1 4 3.2783517837524414 5.5849609375 0
that 2 2 4 3.8647844791412354 4.92744779586792 0.6575131416320801
wears 2 3 5 20.679304122924805 1.3670252561569214 3.5604225397109985
extravagant 2 4 11 17.29659652709961 5.559246063232422 0
rings 2 5 5 11.226167678833008 7.568727493286133 0
make 2 6 4 13.777469635009766 4.961802959442139 2.606924533843994
the 2 7 3 5.63332986831665 5.971673011779785 0
plan 2 8 4 11.129400253295898 6.630870342254639 0
unrealistic 2 9 11 16.294450759887695 4.966779708862305 1.664090633392334
? 2 10 1 3.1430001258850098 4.079174995422363 0.8876047134399414
whom 3 0 4 4.295182704925537 1.0882279872894287 0
loaned 3 1 6 19.57098960876465 2.7461798191070557 0
that 3 2 4 5.262721538543701 4.8093719482421875 0
<unk> 3 3 5 0.1883992850780487 1.460602045059204 3.3487699031829834
heard 3 4 5 11.820111274719238 8.195886611938477 0
the 3 5 3 6.75201940536499 5.242710113525391 2.953176498413086
claim 3 6 5 13.500622749328613 7.546782970428467 0
a 3 7 1 8.822476387023926 5.375710487365723 2.171072483062744
trumpet 3 8 7 14.95817756652832 7.224798679351807 0
to 3 9 2 4.191720485687256 6.549546718597412 0.6752519607543945
you 3 10 3 8.944683074951172 6.123071670532227 0.42647504806518555
? 3 11 1 0.6153333783149719 3.28229022026062 2.8407814502716064
who 4 0 3 6.844511985778809 1.0882279872894287 0
is 4 1 2 4.245962142944336 5.5849609375 0
that 4 2 4 6.3202290534973145 7.984338760375977 0
is 4 3 2 8.948351860046387 2.7963175773620605 5.188021183013916
a 4 4 1 5.04941463470459 6.027283191680908 0
teacher 4 5 7 14.638364791870117 5.573050498962402 0.45423269271850586
unlikely 4 6 8 18.150218963623047 4.911770820617676 0.6612796783447266
? 4 7 1 4.625037670135498 4.483621597290039 0.4281492233276367
whom 5 0 4 4.295182704925537 1.0882279872894287 0
does 5 1 4 3.3380930423736572 2.7461798191070557 0
one 5 2 3 11.093493461608887 3.6334612369537354 0
story 5 3 5 11.138193130493164 6.334971904754639 0
about 5 4 5 7.48961877822876 6.222979545593262 0.11199235916137695
claim 5 5 5 20.776655197143555 4.381419658660889 1.841559886932373
the 5 6 3 6.41627311706543 5.313244819641113 0
possibility 5 7 11 10.262622833251953 7.306060791015625 0
is 5 8 2 5.665164470672607 3.7419276237487793 3.5641331672668457
unrealistic 5 9 11 16.43479347229004 4.98697566986084 0
? 5 10 1 3.029588222503662 4.23903751373291 0.7479381561279297
what 6 0 4 0.1944780796766281 1.0882279872894287 0
was 6 1 3 12.01023006439209 0.6586740016937256 0.4295539855957031
that 6 2 4 8.483339309692383 3.7250263690948486 0
she 6 3 3 8.622925758361816 1.5932787656784058 2.131747603416443
likely 6 4 6 11.917269706726074 6.624575138092041 0
heard 6 5 5 9.16010570526123 7.210004806518555 0
true 6 6 4 14.080439567565918 3.469552516937256 3.740452289581299
? 6 7 1 4.382151126861572 6.675013542175293 0
who 7 0 3 6.844511985778809 1.0882279872894287 0
was 7 1 3 5.956348896026611 5.5849609375 0
that 7 2 4 7.12295389175415 8.154282569885254 0
knows 7 3 5 16.138042449951172 3.4182586669921875 4.736023902893066
someone 7 4 7 14.172098159790039 2.0934388637542725 1.324819803237915
probable 7 5 8 20.912673950195312 4.641510009765625 0
? 7 6 1 4.753238677978516 5.444827556610107 0
who 8 0 3 6.844511985778809 1.0882279872894287 0
does 8 1 4 3.2783517837524414 5.5849609375 0
that 8 2 4 3.8647844791412354 4.92744779586792 0.6575131416320801
got 8 3 3 18.66634178161621 1.3670252561569214 3.5604225397109985
a 8 4 1 4.2631354331970215 6.228793144226074 0
new 8 5 3 6.777601718902588 8.123587608337402 0
phone 8 6 5 12.529728889465332 7.942908763885498 0.1806788444519043
for 8 7 3 3.376008987426758 6.151397228240967 1.7915115356445312
<unk> 8 8 5 2.724106550216675 4.35486364364624 1.7965335845947266
not 8 9 3 7.983158111572266 5.388493537902832 0
make 8 10 4 12.439282417297363 5.784829616546631 0
sense 8 11 5 8.730828285217285 5.474579334259033 0.31025028228759766
? 8 12 1 3.6389896869659424 4.763711452484131 0.7108678817749023
whom 9 0 4 4.295182704925537 1.0882279872894287 0
did 9 1 3 0.581156313419342 2.7461798191070557 0
an 9 2 2 9.173739433288574 4.13331937789917 0
account 9 3 7 12.109551429748535 6.375317096710205 0
for 9 4 3 3.721463680267334 5.501169681549072 0.8741474151611328
buy 9 5 3 19.03375244140625 4.347059726715088 1.1541099548339844
a 9 6 1 9.485370635986328 0.7979898452758789 3.549069881439209
gift 9 7 4 10.421026229858398 7.887981414794922 0
? 9 8 1 1.5126291513442993 4.058028221130371 3.829953193664551
what 10 0 4 0.1944780796766281 1.0882279872894287 0
is 10 1 2 7.414939880371094 0.6586740016937256 0.4295539855957031
that 10 2 4 7.716716289520264 3.1078503131866455 0
come 10 3 4 17.052005767822266 1.5500041246414185 1.557846188545227
to 10 4 2 1.2089334726333618 4.11952018737793 0
our 10 5 3 10.3361177444458 5.480050563812256 0
party 10 6 5 10.56197452545166 8.634872436523438 0
likely 10 7 6 15.228812217712402 1.1536871194839478 7.48118531703949
? 10 8 1 2.084308624267578 4.203997611999512 0
who 11 0 3 6.844511985778809 1.0882279872894287 0
does 11 1 4 3.2783517837524414 5.5849609375 0
the 11 2 3 7.721912384033203 4.92744779586792 0.6575131416320801
extravagant 11 3 11 17.61189079284668 5.627509117126465 0
rings 11 4 5 14.75402545928955 6.492806911468506 0
that 11 5 4 2.381603479385376 5.958271503448486 0.5345354080200195
takes 11 6 5 15.950742721557617 2.919203519821167 3.0390679836273193
to 11 7 2 3.3455493450164795 6.164546012878418 0
school 11 8 6 12.56682014465332 7.14880895614624 0
are 11 9 3 10.596949577331543 5.307403087615967 1.8414058685302734
funny 11 10 5 11.890389442443848 7.678640842437744 0
? 11 11 1 2.8940043449401855 5.110318183898926 2.5683226585388184
who 12 0 3 6.844511985778809 1.0882279872894287 0
is 12 1 2 4.245962142944336 5.5849609375 0
that 12 2 4 6.3202290534973145 7.984338760375977 0
<unk> 12 3 5 0.5998216271400452 2.7963175773620605 5.188021183013916
is 12 4 2 2.8068106174468994 6.18820333480835 0
trying 12 5 6 7.869982719421387 6.80435037612915 0
to 12 6 2 0.016693368554115295 0.15221798419952393 6.6521323919296265
call 12 7 4 9.899761199951172 5.861462593078613 0
unrealistic 12 8 11 21.10369300842285 4.6089301109313965 1.2525324821472168
? 12 9 1 2.86672306060791 5.495621681213379 0
who 13 0 3 6.844511985778809 1.0882279872894287 0
was 13 1 3 5.956348896026611 5.5849609375 0
that 13 2 4 7.12295389175415 8.154282569885254 0
they 13 3 4 4.9554595947265625 3.4182586669921875 4.736023902893066
loaned 13 4 6 20.37506866455078 5.63131856918335 0
a 13 5 1 5.664116382598877 5.650760650634766 0
trumpet 13 6 7 16.121299743652344 7.973114967346191 0
to 13 7 2 2.217886447906494 5.8212761878967285 2.151838779449463
funny 13 8 5 17.18170166015625 5.898277759552002 0
? 13 9 1 3.032140016555786 6.126663684844971 0
who 14 0 3 6.844511985778809 1.0882279872894287 0
was 14 1 3 5.956348896026611 5.5849609375 0
that 14 2 4 7.12295389175415 8.154282569885254 0
heard 14 3 5 16.148178100585938 3.4182586669921875 4.736023902893066
the 14 4 3 7.391968250274658 4.851312637329102 0
claim 14 5 5 14.649725914001465 6.222161769866943 0
funny 14 6 5 18.775943756103516 5.469767093658447 0.7523946762084961
