word sentid sentpos wlen surp entropy entred
who 0 0 3 7.44409704208374 1.0119181871414185 0
was 0 1 3 5.230779647827148 5.656373023986816 0
that 0 2 4 7.581820964813232 6.939141750335693 0
quipped 0 3 7 23.122352600097656 2.4581947326660156 4.480947017669678
about 0 4 5 7.500941753387451 4.451244354248047 0
<unk> 0 5 5 1.9740387201309204 5.558325290679932 0
analysis 0 6 8 17.364238739013672 6.712535381317139 0
funny 0 7 5 22.115957260131836 5.030531883239746 1.6820034980773926
? 0 8 1 3.577759265899658 5.929129600524902 0
whom 1 0 4 4.7185444831848145 1.0119181871414185 0
were 1 1 4 6.817706108093262 1.9984103441238403 0
two 1 2 3 10.028451919555664 4.551666259765625 0
rumours 1 3 7 21.995250701904297 3.8557028770446777 0.6959633827209473
about 1 4 5 7.604611396789551 1.7403433322906494 2.1153595447540283
waiting 1 5 7 15.854157447814941 1.3453694581985474 0.39497387409210205
? 1 6 1 2.3449814319610596 1.8062716722488403 0
who 2 0 3 7.44409704208374 1.0119181871414185 0
does 2 1 4 3.640399694442749 5.656373023986816 0
that 2 2 4 5.752896785736084 3.308671712875366 2.34770131111145
wears 2 3 5 21.138099670410156 5.526268482208252 0
extravagant 2 4 11 20.590518951416016 2.2445085048675537 3.2817599773406982
rings 2 5 5 12.199360847473145 4.7679009437561035 0
make 2 6 4 13.732400894165039 2.5441911220550537 2.22370982170105
the 2 7 3 7.2569475173950195 3.3966798782348633 0
plan 2 8 4 12.148002624511719 8.821090698242188 0
unrealistic 2 9 11 18.26775360107422 3.657095193862915 5.1639955043792725
? 2 10 1 0.6781666278839111 2.6367955207824707 1.0202996730804443
whom 3 0 4 4.7185444831848145 1.0119181871414185 0
loaned 3 1 6 22.036361694335938 1.9984103441238403 0
that 3 2 4 7.439877510070801 2.5220980644226074 0
<unk> 3 3 5 0.40925899147987366 2.8208091259002686 0
heard 3 4 5 10.714895248413086 8.163453102111816 0
the 3 5 3 10.19406795501709 1.2051094770431519 6.9583436250686646
claim 3 6 5 11.16740894317627 8.318563461303711 0
a 3 7 1 11.566203117370605 2.940936803817749 5.377626657485962
trumpet 3 8 7 16.22325897216797 8.491530418395996 0
to 3 9 2 8.564377784729004 2.4020321369171143 6.089498281478882
